,Rank,NameCountry/Region,Overall,Teaching,Research,Citations,Industry Income,International Outlook
0,1,University of OxfordUnited Kingdom,95.7,91.0,99.6,98.0,74.4,96.3
1,=2,California Institute of TechnologyUnited States,95.0,93.6,96.9,97.8,90.4,83.8
2,=2,Harvard UniversityUnited States,95.0,94.5,98.9,99.2,48.9,79.8
3,4,Stanford UniversityUnited States,94.9,92.3,96.8,99.9,91.0,79.7
4,=5,University of CambridgeUnited Kingdom,94.6,90.9,99.5,96.2,56.7,95.8
5,=5,Massachusetts Institute of TechnologyUnited States,94.6,90.9,94.4,99.7,93.7,89.9
6,7,Princeton UniversityUnited States,93.6,89.5,96.0,99.0,88.8,80.7
7,8,"University of California, BerkeleyUnited States",92.2,85.7,96.0,99.1,84.7,77.6
8,9,Yale UniversityUnited States,90.8,90.7,93.0,97.0,56.2,69.9
9,10,The University of ChicagoUnited States,89.8,87.2,90.6,98.3,56.3,74.4
10,11,Columbia UniversityUnited States,89.6,87.8,89.6,97.3,48.0,79.8
11,12,Imperial College LondonUnited Kingdom,89.3,81.4,88.3,97.6,70.8,97.5
12,=13,Johns Hopkins UniversityUnited States,88.4,80.0,90.8,97.2,93.7,74.6
13,=13,University of PennsylvaniaUnited States,88.4,84.5,89.2,97.1,77.6,69.7
14,15,ETH ZurichSwitzerland,88.2,81.3,92.4,90.7,62.5,97.9
15,=16,Peking UniversityChinaExplore,87.5,91.4,94.6,81.7,93.1,65.1
16,=16,Tsinghua UniversityChinaExplore,87.5,88.1,95.7,86.8,100.0,50.6
17,=18,University of TorontoCanadaExplore,87.2,77.6,93.0,92.6,61.2,89.1
18,=18,UCLUnited Kingdom,87.2,76.8,88.9,96.9,44.7,96.7
19,20,"University of California, Los AngelesUnited States",86.7,82.1,89.8,96.0,56.5,65.1
20,21,National University of SingaporeSingaporeExplore,85.2,76.3,90.6,87.3,75.4,94.4
21,22,Cornell UniversityUnited States,85.0,78.6,85.4,97.2,38.3,75.4
22,23,Duke UniversityUnited States,83.5,79.2,78.6,95.6,99.0,66.6
23,=24,University of Michigan-Ann ArborUnited States,83.1,78.6,85.4,94.0,48.9,59.5
24,=24,Northwestern UniversityUnited States,83.1,74.3,82.1,97.6,81.6,65.3
25,26,New York UniversityUnited States,82.4,75.4,83.1,94.7,41.4,72.3
26,27,London School of Economics and Political ScienceUnited Kingdom,80.8,68.0,80.8,94.4,35.8,92.7
27,28,Carnegie Mellon UniversityUnited States,80.6,64.7,80.0,99.0,59.0,80.8
28,29,University of WashingtonUnited States,79.8,68.8,78.8,99.0,46.3,61.7
29,=30,University of EdinburghUnited Kingdom,78.9,66.1,74.2,95.6,40.2,95.2
30,=30,University of Hong KongHong Kong,78.9,66.2,72.2,95.0,58.5,98.8
31,32,LMU MunichGermanyExplore,78.6,68.1,77.9,90.3,100.0,69.1
32,33,University of MelbourneAustralia,77.8,67.5,73.8,88.4,74.9,94.0
33,34,"University of California, San DiegoUnited States",77.7,60.5,75.6,97.9,96.6,68.1
34,=35,King’s College LondonUnited Kingdom,76.0,57.6,71.2,96.9,43.7,95.9
35,=35,The University of TokyoJapan,76.0,86.9,90.3,58.2,88.1,42.0
36,37,University of British ColumbiaCanada,75.8,61.6,74.0,89.4,47.4,94.9
37,38,Technical University of MunichGermany,75.6,64.5,74.8,85.5,100.0,76.1
38,39,Karolinska InstituteSweden,74.3,55.1,71.0,94.2,70.5,86.2
39,=40,École Polytechnique Fédérale de LausanneSwitzerland,74.1,63.8,67.0,85.5,74.9,98.3
40,=40,Paris Sciences et Lettres – PSL Research University ParisFrance,74.1,69.1,71.2,80.1,78.7,80.5
41,=42,Heidelberg UniversityGermany,73.6,67.9,59.9,95.5,54.2,69.6
42,=42,KU LeuvenBelgiumExplore,73.6,59.1,73.2,86.2,99.2,74.2
43,44,McGill UniversityCanada,73.4,63.3,70.9,83.9,45.3,91.5
44,45,Georgia Institute of TechnologyUnited States,73.3,58.2,69.4,91.4,71.4,77.7
45,46,"Nanyang Technological University, SingaporeSingapore",73.0,57.2,70.3,85.1,87.0,93.9
46,47,University of Texas at AustinUnited States,72.9,67.9,71.5,89.4,50.1,39.8
47,48,University of Illinois at Urbana-ChampaignUnited States,72.6,65.7,77.3,80.9,50.0,55.4
48,49,Chinese University of Hong KongHong KongExplore,71.3,55.1,58.6,95.0,60.2,95.0
49,50,University of ManchesterUnited KingdomExplore,71.2,56.4,65.0,89.1,45.6,92.4
50,51,Washington University in St LouisUnited States,70.7,60.5,57.5,98.5,44.9,62.1
51,52,University of North Carolina at Chapel HillUnited States,70.6,62.2,63.4,95.6,45.0,41.1
52,53,Wageningen University & ResearchNetherlands,70.1,50.1,58.1,95.6,100.0,86.4
53,=54,Australian National UniversityAustralia,70.0,49.8,67.7,87.8,47.8,96.5
54,=54,The University of QueenslandAustraliaExplore,70.0,55.0,62.0,85.8,86.2,93.4
55,=54,Seoul National UniversitySouth Korea,70.0,73.8,73.8,68.5,98.2,36.9
56,57,Monash UniversityAustralia,69.9,54.3,61.7,87.7,79.2,91.0
57,=58,University of SydneyAustralia,69.8,51.8,62.2,90.5,66.1,90.9
58,=58,University of Wisconsin-MadisonUnited States,69.8,67.4,69.5,79.2,47.5,50.4
59,60,Fudan UniversityChina,69.7,66.8,68.4,79.0,70.7,48.6
60,61,Kyoto UniversityJapan,69.6,78.5,78.9,58.3,80.8,38.2
61,62,Boston UniversityUnited States,69.5,57.3,60.2,93.8,46.5,65.5
62,63,University of Southern CaliforniaUnited States,69.3,62.1,58.8,90.3,41.2,65.5
63,64,Brown UniversityUnited States,69.1,62.2,56.6,92.9,37.4,61.9
64,65,University of AmsterdamNetherlandsExplore,68.9,49.0,63.3,91.6,41.6,89.8
65,66,The Hong Kong University of Science and TechnologyHong KongExplore,68.8,50.9,62.1,86.6,65.1,97.6
66,67,"University of California, DavisUnited States",67.9,58.8,64.6,81.5,50.7,68.9
67,68,"University of California, Santa BarbaraUnited States",67.7,45.2,58.9,96.6,79.8,73.6
68,69,Utrecht UniversityNetherlandsExplore,67.6,46.6,63.1,90.1,77.0,76.3
69,70,UNSW SydneyAustraliaExplore,67.4,50.4,60.4,84.1,72.7,95.2
70,71,Leiden UniversityNetherlandsExplore,67.1,44.8,65.1,86.8,71.8,84.1
71,72,Erasmus University RotterdamNetherlandsExplore,67.0,40.2,57.8,97.0,76.5,88.5
72,73,Charité - Universitätsmedizin BerlinGermany,66.8,48.6,50.6,98.7,92.2,68.1
73,74,Humboldt University of BerlinGermany,66.3,59.9,66.7,73.5,41.6,70.1
74,=75,Delft University of TechnologyNetherlands,65.8,57.1,71.1,59.4,97.7,93.6
75,=75,Zhejiang UniversityChinaExplore,65.8,67.2,69.9,58.6,100.0,61.6
76,=75,University of ZurichSwitzerland,65.8,52.2,49.6,89.4,61.9,92.5
77,=78,University of TübingenGermany,65.4,53.3,58.7,82.9,82.7,65.2
78,=78,University of WarwickUnited Kingdom,65.4,46.9,53.0,90.7,44.8,94.5
79,=80,University of GroningenNetherlandsExplore,65.2,42.5,55.3,90.6,81.1,88.7
80,=80,McMaster UniversityCanadaExplore,65.2,44.3,50.6,93.1,98.3,85.1
81,82,Emory UniversityUnited States,65.1,55.1,44.9,98.1,48.2,59.7
82,83,Free University of BerlinGermany,64.8,55.4,65.2,72.9,41.9,75.7
83,84,Shanghai Jiao Tong UniversityChinaExplore,64.7,64.2,71.9,59.3,100.0,47.0
84,85,Ohio State University (Main campus)United States,63.8,54.7,52.2,86.1,53.2,60.6
85,=86,University of GlasgowUnited KingdomExplore,63.7,41.9,49.9,94.0,40.7,93.1
86,=86,University of MinnesotaUnited States,63.7,55.9,57.9,81.7,80.4,40.8
87,=88,University of MontrealCanadaExplore,63.6,50.4,52.9,81.7,69.5,85.7
88,=88,University of Science and Technology of ChinaChinaExplore,63.6,63.4,61.5,72.8,70.3,34.5
89,=88,Sorbonne UniversityFrance,63.6,61.0,53.6,76.6,38.2,70.4
90,91,Hong Kong Polytechnic UniversityHong KongExplore,63.3,45.4,53.9,83.7,46.0,97.1
91,91,Institut Polytechnique de ParisFranceExplore,63.3,57.3,54.7,69.0,77.1,94.5
92,92,University of BristolUnited Kingdom,63.1,40.6,49.2,94.7,43.7,89.1
93,=93,"University of Maryland, College ParkUnited States",63.0,49.3,56.8,89.8,39.3,42.9
94,=93,Michigan State UniversityUnited States,63.0,58.1,56.1,77.2,37.7,62.0
95,=96,University of CopenhagenDenmark,62.7,46.8,47.1,88.8,54.4,86.8
96,=96,Ghent UniversityBelgium,62.7,48.9,58.4,79.2,83.3,62.4
97,98,"University of California, IrvineUnited States",62.4,42.5,49.0,93.8,52.0,73.2
98,=99,Dartmouth CollegeUnited States,62.3,60.1,40.2,93.6,38.9,41.7
99,=99,Korea Advanced Institute of Science and Technology (KAIST)South Korea,62.3,64.1,66.5,59.3,100.0,38.0
100,=101,University of BernSwitzerland,62.2,45.0,44.9,88.2,90.6,87.3
101,=101,University of HelsinkiFinland,62.2,44.3,56.9,88.5,37.8,57.3
102,103,University of BaselSwitzerland,62.1,42.9,42.0,89.5,99.9,97.0
103,104,Aarhus UniversityDenmark,61.7,39.3,58.4,82.4,74.9,76.9
104,=105,University of BirminghamUnited Kingdom,61.5,40.3,45.2,93.3,40.6,91.7
105,=105,Nanjing UniversityChina,61.5,54.9,54.6,74.0,86.8,56.6
