,Rank,NameCountry/Region,Overall,Teaching,Research,Citations,Industry Income,International Outlook
0,1,University of OxfordUnited Kingdom,96.0,91.8,99.5,99.1,67.0,96.3
1,2,University of CambridgeUnited Kingdom,94.8,92.1,98.8,97.1,52.9,94.3
2,3,Stanford UniversityUnited States,94.7,93.6,96.8,99.9,64.6,79.3
3,4,Massachusetts Institute of TechnologyUnited States,94.2,91.9,92.7,99.9,87.6,89.0
4,5,California Institute of TechnologyUnited States,94.1,94.5,97.2,99.2,88.2,62.3
5,6,Harvard UniversityUnited States,93.6,90.1,98.4,99.6,48.7,79.7
6,7,Princeton UniversityUnited States,92.3,89.9,93.6,99.4,57.3,80.1
7,8,Yale UniversityUnited States,91.3,91.6,93.5,97.8,51.5,68.3
8,9,Imperial College LondonUnited Kingdom,90.3,85.8,87.7,97.8,67.3,97.1
9,10,The University of ChicagoUnited States,90.2,90.2,90.1,99.0,41.4,70.9
10,11,ETH ZurichSwitzerland,89.3,83.3,91.4,93.8,56.1,98.2
11,=12,Johns Hopkins UniversityUnited States,89.0,81.9,90.5,98.5,95.5,71.9
12,=12,University of PennsylvaniaUnited States,89.0,87.4,89.2,98.4,70.3,63.6
13,14,UCLUnited Kingdom,87.8,79.1,90.1,95.9,42.4,95.8
14,15,"University of California, BerkeleyUnited States",87.7,78.7,92.3,99.7,49.3,69.8
15,16,Columbia UniversityUnited States,87.2,85.4,83.1,98.8,44.8,79.0
16,17,"University of California, Los AngelesUnited States",86.4,82.6,87.9,97.8,49.4,62.1
17,18,Duke UniversityUnited States,85.4,84.1,78.8,98.2,100.0,61.0
18,19,Cornell UniversityUnited States,85.1,79.7,85.4,97.4,36.9,71.8
19,20,University of Michigan-Ann ArborUnited States,84.1,80.0,85.9,96.0,45.9,58.0
20,21,University of TorontoCanadaExplore,84.0,75.8,86.3,92.8,50.3,82.8
21,22,Tsinghua UniversityChinaExplore,82.9,87.7,94.1,74.8,99.8,45.8
22,23,National University of SingaporeSingaporeExplore,82.4,77.3,88.8,78.9,67.6,95.5
23,24,Carnegie Mellon UniversityUnited States,82.0,69.0,81.2,99.3,48.1,79.4
24,25,Northwestern UniversityUnited States,81.7,69.0,83.6,97.8,75.8,63.0
25,26,London School of Economics and Political ScienceUnited Kingdom,81.3,71.0,83.1,91.0,34.8,92.5
26,27,New York UniversityUnited States,81.0,77.7,76.1,96.6,38.9,65.0
27,28,University of WashingtonUnited States,80.4,70.7,79.7,98.9,47.6,59.3
28,29,University of EdinburghUnited Kingdom,79.8,69.2,73.7,96.8,38.2,93.3
29,30,"University of California, San DiegoUnited States",79.7,65.4,79.2,98.2,96.0,59.9
30,31,Peking UniversityChinaExplore,79.3,88.8,80.4,76.7,48.3,57.5
