,Rank,NameCountry/Region,Overall,Teaching,Research,Citations,Industry Income,International Outlook
46,47,The Hong Kong University of Science and TechnologyHong KongExplore,73.1,57.4,66.1,89.8,71.9,97.7
47,=48,University of Illinois at Urbana-ChampaignUnited States,72.9,63.2,78.0,84.4,47.9,54.3
48,=48,"Nanyang Technological University, SingaporeSingapore",72.9,57.6,70.4,84.9,76.5,95.1
49,50,Australian National UniversityAustralia,72.1,54.4,69.7,88.4,46.4,95.5
50,51,University of Wisconsin-MadisonUnited States,72.0,68.8,70.3,85.3,46.3,47.4
51,52,Washington University in St LouisUnited States,71.5,64.2,57.5,98.8,40.7,57.1
52,53,Brown UniversityUnited States,70.0,64.0,56.1,94.9,36.5,61.4
53,54,University of North Carolina at Chapel HillUnited States,69.9,59.7,63.2,96.9,43.9,38.0
54,=55,"University of California, DavisUnited States",69.7,62.4,66.9,83.2,51.4,62.4
55,=55,University of ManchesterUnited KingdomExplore,69.7,56.9,63.8,85.2,44.7,91.0
56,=57,"University of California, Santa BarbaraUnited States",69.6,47.9,63.6,96.4,84.5,68.1
57,=57,Chinese University of Hong KongHong KongExplore,69.6,55.8,62.8,84.5,55.2,97.8
58,59,Wageningen University & ResearchNetherlands,69.4,49.3,57.1,96.1,100.0,81.9
59,60,University of SydneyAustralia,69.3,51.0,61.5,90.7,67.7,89.2
60,61,Boston UniversityUnited States,68.5,57.3,55.6,95.7,41.4,64.4
61,=62,University of AmsterdamNetherlandsExplore,68.1,48.0,63.4,91.2,45.3,82.0
62,=62,University of Southern CaliforniaUnited States,68.1,54.7,59.3,93.1,39.7,66.2
63,64,Seoul National UniversitySouth Korea,68.0,72.3,71.6,66.5,86.6,35.8
64,65,Kyoto UniversityJapan,67.7,73.7,78.1,59.9,66.2,33.7
65,66,The University of QueenslandAustraliaExplore,67.4,49.3,58.7,86.8,80.9,92.5
66,=67,Delft University of TechnologyNetherlands,66.7,55.3,72.3,63.2,99.4,92.8
67,=67,Leiden UniversityNetherlandsExplore,66.7,48.3,65.0,83.1,72.7,79.4
68,69,Erasmus University RotterdamNetherlandsExplore,66.3,39.4,57.3,97.1,63.6,87.3
69,70,Ohio State University (Main campus)United States,66.1,57.5,56.1,87.3,53.3,59.5
70,71,UNSW SydneyAustraliaExplore,65.9,50.2,58.2,82.9,57.9,93.7
71,72,McMaster UniversityCanadaExplore,65.4,44.5,50.1,94.8,94.0,82.7
72,73,University of GroningenNetherlandsExplore,65.1,42.3,55.6,91.6,79.8,82.5
73,74,Humboldt University of BerlinGermany,65.0,61.8,66.8,67.9,40.2,67.8
74,=75,Monash UniversityAustralia,64.7,47.3,56.6,83.8,67.2,89.9
75,=75,Utrecht UniversityNetherlandsExplore,64.7,44.1,61.2,88.4,65.3,65.5
76,77,University of WarwickUnited Kingdom,64.6,46.9,52.7,88.8,42.8,93.8
77,78,Penn State (Main campus)United States,64.2,55.2,67.1,75.7,52.1,47.4
78,79,University of MinnesotaUnited States,64.1,55.2,59.3,82.7,78.2,40.2
79,=80,Charité - Universitätsmedizin BerlinGermany,64.0,47.6,47.3,94.9,92.7,63.5
80,=80,Emory UniversityUnited States,64.0,56.0,40.4,98.8,45.4,57.9
81,=80,University of Science and Technology of ChinaChinaExplore,64.0,64.6,59.5,74.7,79.6,31.3
82,=80,Sorbonne UniversityFrance,64.0,62.3,50.6,79.9,38.4,69.2
83,84,Michigan State UniversityUnited States,63.9,56.6,57.4,80.0,37.8,63.3
84,85,University of MontrealCanadaExplore,63.4,48.2,49.7,86.4,70.0,84.1
85,86,University of FreiburgGermany,63.3,49.1,51.6,83.1,100.0,75.7
86,87,University of BristolUnited Kingdom,63.2,41.8,48.4,95.5,40.9,86.6
87,88,Purdue University West LafayetteUnited States,63.1,57.5,66.4,63.0,64.3,72.0
88,89,Sungkyunkwan University (SKKU)South KoreaExplore,63.0,57.6,61.2,70.3,97.3,51.1
89,90,University of ZurichSwitzerland,62.8,47.0,46.7,88.2,53.0,92.2
90,=91,"University of Maryland, College ParkUnited States",62.7,46.9,59.1,89.6,39.2,41.2
91,=91,University of TübingenGermany,62.7,51.2,56.2,80.1,67.0,64.0
92,93,École PolytechniqueFranceExplore,62.5,59.6,49.1,70.2,69.6,95.2
93,=94,University of BaselSwitzerland,62.4,43.0,41.2,91.4,99.4,96.1
94,=94,Dartmouth CollegeUnited States,62.4,58.4,39.9,96.4,41.0,39.6
95,=96,"University of California, IrvineUnited States",62.3,43.3,46.5,94.9,58.9,71.9
96,=96,University of HelsinkiFinland,62.3,43.4,59.3,88.1,38.1,55.1
97,=96,Lund UniversitySweden,62.3,40.7,54.3,86.3,81.0,77.7
98,=99,University of GlasgowUnited KingdomExplore,62.2,41.1,47.9,91.8,40.0,92.3
99,=99,RWTH Aachen UniversityGermany,62.2,55.6,61.5,67.3,98.1,59.0
100,101,University of CopenhagenDenmark,62.1,48.1,44.1,89.6,48.1,85.4
101,=102,Georgetown UniversityUnited States,61.9,57.3,37.9,93.9,62.5,47.2
102,=102,Uppsala UniversitySweden,61.9,41.6,56.4,85.0,74.6,68.1
103,104,University of ArizonaUnited States,61.8,52.6,53.7,85.3,52.7,40.2
104,=105,University of BonnGermany,61.6,47.6,47.0,88.0,93.3,60.3
105,=105,Rice UniversityUnited States,61.6,49.1,39.7,93.7,45.4,77.0
106,=107,University of Virginia (Main campus)United States,61.5,54.4,43.5,91.3,41.6,48.9
107,=107,Zhejiang UniversityChinaExplore,61.5,66.0,64.7,50.6,100.0,61.8
108,109,Fudan UniversityChina,61.4,61.9,58.6,68.1,58.6,44.8
109,=110,Korea Advanced Institute of Science and Technology (KAIST)South Korea,61.3,62.6,66.4,58.1,99.9,35.5
110,=110,Queen Mary University of LondonUnited Kingdom,61.3,35.3,43.1,98.0,44.1,96.7
111,112,University of BirminghamUnited Kingdom,60.9,39.6,45.6,92.1,39.3,89.2
112,=113,University of BernSwitzerland,60.4,44.5,41.2,86.6,85.0,87.3
113,=113,University of Pittsburgh-Pittsburgh campusUnited States,60.4,47.4,45.5,95.1,40.7,39.3
114,115,Aarhus UniversityDenmark,60.3,37.2,54.0,85.4,66.7,74.8
115,116,Vanderbilt UniversityUnited States,60.2,48.7,42.1,95.4,47.5,43.0
116,=117,Free University of BerlinGermany,60.1,57.2,63.3,58.4,42.4,71.6
117,=117,University of SheffieldUnited Kingdom,60.1,45.2,46.4,83.0,45.8,87.3
118,119,Case Western Reserve UniversityUnited States,60.0,48.4,39.9,95.3,42.1,52.2
119,=120,University of AdelaideAustralia,59.9,34.3,41.6,95.3,64.8,91.7
120,=120,National Taiwan University (NTU)TaiwanExplore,59.9,57.0,62.7,64.0,65.4,41.9
121,122,University of SouthamptonUnited Kingdom,59.8,40.2,44.3,88.0,40.1,94.2
122,123,Ghent UniversityBelgium,59.7,43.3,55.5,78.4,80.9,59.5
123,124,University of Colorado BoulderUnited States,59.6,44.8,45.6,93.1,41.7,47.3
124,125,University of GöttingenGermany,59.5,49.6,48.6,82.0,37.0,60.9
125,126,City University of Hong KongHong KongExplore,59.3,41.0,48.9,77.6,62.4,99.6
126,127,Maastricht UniversityNetherlands,59.0,40.2,48.3,77.0,82.9,97.6
127,=128,Radboud University NijmegenNetherlandsExplore,58.9,36.0,49.9,88.2,46.2,73.0
128,=128,University of YorkUnited Kingdom,58.9,40.3,46.6,85.1,36.4,85.4
129,130,Université Paris CitéFrance,58.8,52.0,36.1,88.3,35.6,66.6
130,=131,University of OsloNorway,58.7,39.6,43.8,90.0,40.7,75.5
131,=131,The University of Western AustraliaAustralia,58.7,32.5,43.9,91.0,57.0,94.3
132,133,Durham UniversityUnited Kingdom,58.5,45.5,47.8,75.5,37.9,91.7
133,=134,Indiana UniversityUnited States,58.4,50.8,49.7,76.7,49.8,53.5
134,=134,University of ViennaAustria,58.4,48.1,55.3,64.6,37.1,94.2
135,=136,University of AlbertaCanada,58.2,47.9,48.8,70.3,60.5,87.5
136,=136,University of Cape TownSouth AfricaExplore,58.2,33.2,42.8,90.3,85.3,81.8
137,138,Vrije Universiteit AmsterdamNetherlands,58.1,35.7,48.1,88.4,52.5,68.8
138,=139,Lancaster UniversityUnited Kingdom,58.0,34.7,39.4,92.5,36.0,94.2
139,=139,Tufts UniversityUnited States,58.0,49.1,34.2,94.4,38.6,49.6
140,=141,University of OttawaCanadaExplore,57.9,41.3,42.0,86.2,46.5,77.7
141,=141,Ulm UniversityGermany,57.9,40.6,36.6,94.9,75.7,57.5
142,143,Pompeu Fabra UniversitySpain,57.8,37.7,40.1,94.4,44.5,66.5
143,=144,University of GenevaSwitzerland,57.6,38.1,43.7,80.4,63.3,98.4
144,=144,Nanjing UniversityChina,57.6,50.7,48.0,71.8,84.9,57.8
145,=146,University of ExeterUnited KingdomExplore,57.4,33.9,38.9,92.4,37.8,91.9
146,=146,Pohang University of Science and Technology (POSTECH)South KoreaExplore,57.4,51.7,50.9,72.2,99.6,32.9
147,=146,University of SussexUnited Kingdom,57.4,35.3,37.9,91.8,35.9,93.6
148,=149,University of HamburgGermany,57.3,44.4,49.8,74.0,98.5,58.1
149,=149,Sant’Anna School of Advanced Studies – PisaItaly,57.3,45.0,42.3,82.5,84.7,56.0
150,=149,Technical University of BerlinGermany,57.3,50.4,53.9,62.3,92.7,66.2
151,=152,Université Catholique de LouvainBelgium,57.2,38.8,51.5,75.7,53.7,80.5
152,=152,University of NottinghamUnited Kingdom,57.2,42.7,42.6,80.3,39.4,87.5
153,=152,Scuola Normale Superiore di PisaItaly,57.2,57.2,38.1,79.2,35.9,52.8
154,=155,Arizona State University (Tempe)United StatesExplore,57.1,39.3,50.7,81.6,38.5,61.8
155,=155,University of LeedsUnited Kingdom,57.1,41.1,45.9,78.0,39.9,87.5
156,=157,Autonomous University of BarcelonaSpainExplore,56.9,40.9,36.1,92.9,44.8,64.3
157,=157,University of CologneGermany,56.9,43.6,42.9,81.5,70.6,62.9
158,=157,University of MannheimGermany,56.9,41.9,50.0,78.2,58.6,58.5
159,=157,University of Notre DameUnited States,56.9,52.9,46.2,73.5,38.1,55.3
160,=157,Shanghai Jiao Tong UniversityChinaExplore,56.9,58.0,63.0,47.9,99.9,49.8
161,=157,TU DresdenGermany,56.9,46.5,48.5,73.0,94.1,55.8
162,163,University of WürzburgGermany,56.8,38.7,42.4,87.5,65.6,61.5
163,164,Trinity College DublinIrelandExplore,56.4,41.7,43.9,75.4,41.2,94.4
164,165,University of LiverpoolUnited Kingdom,56.3,35.2,37.5,88.8,38.8,92.2
165,=166,Bielefeld UniversityGermany,56.1,36.1,42.7,91.1,59.4,48.6
166,=166,University of LeicesterUnited Kingdom,56.1,30.1,34.8,96.2,38.1,90.7
167,=168,University of AberdeenUnited Kingdom,56.0,30.4,33.3,95.2,45.8,95.7
168,=168,University of BolognaItalyExplore,56.0,51.5,34.8,83.8,45.1,50.7
169,=168,Rutgers University – New BrunswickUnited States,56.0,47.8,48.5,73.9,41.1,51.5
170,171,Hong Kong Polytechnic UniversityHong KongExplore,55.9,41.0,46.6,71.8,42.3,94.1
171,172,University of Alabama at BirminghamUnited States,55.7,39.2,33.6,97.3,74.8,37.4
172,=173,"Northeastern University, USUnited States",55.6,38.0,27.9,97.5,38.0,75.0
173,=173,University of RochesterUnited States,55.6,43.4,30.3,91.4,40.9,67.2
174,=175,University of FloridaUnited States,55.4,54.0,53.8,61.9,57.9,40.0
175,=175,Karlsruhe Institute of TechnologyGermany,55.4,45.4,47.8,66.5,91.3,69.1
176,=175,Stockholm UniversitySweden,55.4,30.0,46.4,85.0,36.6,81.3
177,178,Texas A&M UniversityUnited States,55.3,49.3,54.8,62.8,45.3,54.3
178,=179,University of AucklandNew ZealandExplore,55.2,31.4,43.9,80.2,62.4,94.0
179,=179,"University of California, Santa CruzUnited States",55.2,33.1,34.9,97.7,39.1,60.6
180,=179,Korea UniversitySouth KoreaExplore,55.2,48.4,50.2,64.5,93.9,52.0
181,=179,Queensland University of TechnologyAustraliaExplore,55.2,31.9,40.3,86.4,62.4,81.4
182,183,University of Erlangen-NurembergGermany,54.9,41.1,45.8,75.2,89.6,52.9
183,=184,Aalto UniversityFinland,54.8,41.8,39.4,76.7,48.3,82.3
184,=184,Technical University of DenmarkDenmark,54.8,39.4,40.2,73.8,71.6,92.8
185,=186,Eindhoven University of TechnologyNetherlands,54.7,44.6,48.8,61.0,99.8,78.3
186,=186,University of GothenburgSweden,54.7,27.5,41.5,93.5,40.1,65.7
187,188,Télécom ParisFrance,54.6,42.6,38.3,74.4,76.6,81.7
188,=189,Lomonosov Moscow State UniversityRussian Federation,54.3,78.2,63.0,15.6,90.7,66.6
189,=189,University of MünsterGermany,54.3,41.0,42.5,81.3,47.5,48.7
190,=189,Tel Aviv UniversityIsrael,54.3,41.3,51.3,71.2,41.8,54.7
191,192,University of East AngliaUnited KingdomExplore,54.2,28.3,30.1,97.2,35.7,87.7
192,193,University of CanberraAustralia,54.1,25.2,31.1,99.2,38.6,86.9
193,=194,University of Duisburg-EssenGermanyExplore,54.0,34.4,32.8,91.8,71.6,60.0
194,=194,University of Technology SydneyAustraliaExplore,54.0,33.5,42.9,75.3,50.3,96.1
195,=194,University of the WitwatersrandSouth AfricaExplore,54.0,31.2,43.2,78.8,100.0,73.7
196,197,Yonsei University (Seoul campus)South KoreaExplore,53.9,51.2,52.6,53.0,98.9,58.4
197,=198,University of AntwerpBelgium,53.8,35.6,44.5,75.8,72.2,69.6
198,=198,Cardiff UniversityUnited KingdomExplore,53.8,32.5,35.5,87.1,37.8,85.1
199,=198,George Washington UniversityUnited States,53.8,48.6,32.4,81.5,35.0,55.5
200,=198,University of LausanneSwitzerland,53.8,33.1,44.2,73.3,67.8,92.7
201,=198,University of St AndrewsUnited Kingdom,53.8,42.2,41.8,67.8,37.6,96.6
202,201–250,Aalborg UniversityDenmarkExplore,50.1–53.7,28.5,39.1,87.1,48.0,75.1
203,201–250,University of BarcelonaSpainExplore,50.1–53.7,37.3,32.5,87.6,41.2,54.7
204,201–250,University of BergenNorway,50.1–53.7,29.5,29.4,94.1,37.1,78.3
205,201–250,Brandeis UniversityUnited States,50.1–53.7,28.5,22.9,100.0,35.6,53.4
206,201–250,University of CalgaryCanada,50.1–53.7,33.9,34.2,84.7,48.1,77.2
207,201–250,Copenhagen Business SchoolDenmark,50.1–53.7,25.3,32.4,83.7,43.6,92.2
208,201–250,University of DundeeUnited KingdomExplore,50.1–53.7,24.8,31.2,90.5,46.5,80.4
209,201–250,École Normale Supérieure de LyonFrance,50.1–53.7,45.2,43.5,63.9,47.0,70.7
210,201–250,Griffith UniversityAustraliaExplore,50.1–53.7,25.5,32.7,86.0,42.0,81.8
211,201–250,University of Hawai’i at MānoaUnited States,50.1–53.7,36.3,38.9,73.8,51.5,65.5
212,201–250,Hebrew University of JerusalemIsrael,50.1–53.7,48.2,45.1,62.3,41.4,60.3
213,201–250,University of HohenheimGermany,50.1–53.7,34.4,31.0,92.0,50.0,55.7
214,201–250,Howard UniversityUnited States,50.1–53.7,42.8,15.3,99.0,34.4,34.0
215,201–250,University of IowaUnited States,50.1–53.7,43.1,29.5,82.3,54.0,46.5
216,201–250,James Cook UniversityAustralia,50.1–53.7,23.3,28.4,93.3,45.9,75.7
217,201–250,King Abdulaziz UniversitySaudi ArabiaExplore,50.1–53.7,29.5,16.5,96.4,78.9,93.1
218,201–250,University of KonstanzGermany,50.1–53.7,38.8,44.2,66.4,72.1,65.6
219,201–250,KTH Royal Institute of TechnologySweden,50.1–53.7,40.5,42.7,62.3,50.5,89.0
220,201–250,Université Libre de BruxellesBelgium,50.1–53.7,30.2,41.5,73.6,42.7,87.0
221,201–250,University of LuxembourgLuxembourg,50.1–53.7,37.9,36.5,75.8,45.2,99.7
222,201–250,Macquarie UniversityAustraliaExplore,50.1–53.7,37.8,42.6,71.8,53.1,83.9
223,201–250,University of MassachusettsUnited States,50.1–53.7,38.5,31.1,87.0,49.9,61.7
224,201–250,Medical University of GrazAustria,50.1–53.7,30.9,25.1,91.7,62.1,74.2
225,201–250,Medical University of ViennaAustria,50.1–53.7,33.4,23.5,90.3,53.0,78.8
226,201–250,University of MiamiUnited States,50.1–53.7,44.0,25.2,83.2,41.3,59.1
227,201–250,Moscow Institute of Physics and Technology (MIPT)Russian Federation,50.1–53.7,53.3,45.6,47.2,99.9,58.7
228,201–250,Newcastle UniversityUnited KingdomExplore,50.1–53.7,31.5,36.2,85.5,41.7,87.8
229,201–250,University of OtagoNew Zealand,50.1–53.7,30.2,32.1,84.7,37.0,89.8
230,201–250,University of PaduaItaly,50.1–53.7,42.5,30.9,80.2,38.4,45.1
231,201–250,Paris-Sud UniversityFrance,50.1–53.7,33.7,32.3,85.9,35.1,65.3
232,201–250,Queen’s University BelfastUnited KingdomExplore,50.1–53.7,31.2,35.5,83.7,38.7,96.4
233,201–250,RCSI University of Medicine and Health SciencesIrelandExplore,50.1–53.7,30.1,26.9,90.0,47.5,93.7
234,201–250,University of ReadingUnited Kingdom,50.1–53.7,32.1,35.2,76.9,40.3,91.9
235,201–250,"St George’s, University of LondonUnited Kingdom",50.1–53.7,24.0,22.0,98.2,36.9,79.6
236,201–250,University of South Florida (Tampa)United States,50.1–53.7,30.5,34.2,87.3,89.0,54.7
237,201–250,Tilburg UniversityNetherlands,50.1–53.7,36.8,48.8,62.1,55.9,78.2
238,201–250,University of TwenteNetherlands,50.1–53.7,35.2,46.8,55.6,85.0,90.8
239,201–250,Ulsan National Institute of Science and Technology (UNIST)South KoreaExplore,50.1–53.7,27.8,38.6,91.3,80.5,51.9
240,201–250,University College DublinIreland,50.1–53.7,30.8,36.5,73.6,43.9,92.5
241,201–250,University of UtahUnited States,50.1–53.7,39.0,34.7,86.4,48.3,33.0
242,201–250,Virginia Polytechnic Institute and State UniversityUnited StatesExplore,50.1–53.7,37.5,42.3,70.9,47.5,54.0
243,201–250,Vita-Salute San Raffaele UniversityItaly,50.1–53.7,38.7,22.4,97.6,35.9,43.1
244,201–250,Vrije Universiteit BrusselBelgium,50.1–53.7,37.4,42.3,62.7,87.0,75.4
245,201–250,Wake Forest UniversityUnited States,50.1–53.7,42.8,18.8,94.1,43.6,31.2
246,201–250,University of WaterlooCanadaExplore,50.1–53.7,35.0,42.1,66.3,45.1,84.1
247,201–250,Western UniversityCanada,50.1–53.7,40.2,35.7,76.4,59.1,80.0
248,201–250,William & MaryUnited States,50.1–53.7,47.5,21.1,87.4,35.3,37.3
249,201–250,University of WollongongAustraliaExplore,50.1–53.7,29.9,35.0,75.5,55.7,93.4
250,251–300,Alfaisal UniversitySaudi ArabiaExplore,46.9–50.0,19.6,21.2,95.0,50.4,98.1
251,251–300,Auckland University of TechnologyNew ZealandExplore,46.9–50.0,19.7,18.4,98.0,36.7,95.8
252,251–300,Autonomous University of MadridSpain,46.9–50.0,40.1,28.7,74.5,38.6,51.5
253,251–300,University of BathUnited Kingdom,46.9–50.0,28.6,31.1,75.7,37.5,90.3
254,251–300,Brighton and Sussex Medical SchoolUnited Kingdom,46.9–50.0,15.9,19.9,100.0,34.4,77.7
255,251–300,University at BuffaloUnited States,46.9–50.0,37.2,32.7,73.8,42.1,64.7
256,251–300,"University of California, RiversideUnited States",46.9–50.0,31.2,30.3,85.9,39.4,64.7
257,251–300,Chalmers University of TechnologySweden,46.9–50.0,36.1,42.1,60.0,74.1,82.9
258,251–300,University of Cincinnati – UptownUnited States,46.9–50.0,35.5,30.8,83.9,39.4,40.9
259,251–300,Curtin UniversityAustraliaExplore,46.9–50.0,23.4,30.4,83.2,44.8,94.2
260,251–300,Dalhousie UniversityCanadaExplore,46.9–50.0,27.7,29.6,79.5,44.4,85.4
261,251–300,University of DelawareUnited States,46.9–50.0,28.5,38.2,71.5,90.6,47.2
262,251–300,École des Ponts ParisTechFrance,46.9–50.0,39.9,24.5,73.1,57.5,82.3
263,251–300,University of EssexUnited Kingdom,46.9–50.0,31.6,34.3,68.6,35.0,96.5
264,251–300,Flinders UniversityAustraliaExplore,46.9–50.0,22.5,29.9,84.4,37.7,88.0
265,251–300,Florida State UniversityUnited States,46.9–50.0,38.0,40.1,69.2,39.4,43.5
266,251–300,George Mason UniversityUnited States,46.9–50.0,29.9,26.3,89.5,35.8,46.2
267,251–300,Heriot-Watt UniversityUnited KingdomExplore,46.9–50.0,28.4,26.7,75.2,42.0,94.0
268,251–300,HSE UniversityRussian Federation,46.9–50.0,35.9,37.3,78.1,56.5,42.0
269,251–300,University of Illinois at ChicagoUnited States,46.9–50.0,45.0,33.4,69.7,43.2,54.9
270,251–300,University of KielGermany,46.9–50.0,30.6,27.5,86.8,34.4,54.9
271,251–300,La Trobe UniversityAustralia,46.9–50.0,27.1,33.1,73.3,51.3,83.8
272,251–300,Université LavalCanadaExplore,46.9–50.0,40.1,31.8,67.6,59.6,69.2
273,251–300,Macau University of Science and TechnologyMacaoExplore,46.9–50.0,27.1,22.4,83.0,34.8,99.6
274,251–300,Medical University of InnsbruckAustria,46.9–50.0,30.5,14.2,89.1,51.5,93.9
275,251–300,University of Galway – Ollscoil na GaillimheIreland,46.9–50.0,27.1,29.9,76.3,42.4,79.8
276,251–300,University of NavarraSpain,46.9–50.0,30.4,27.9,80.3,85.5,65.1
277,251–300,University of OregonUnited States,46.9–50.0,34.0,29.3,83.7,34.7,37.0
278,251–300,Oregon Health and Science UniversityUnited States,46.9–50.0,35.7,16.7,99.7,47.6,26.6
279,251–300,University of OuluFinlandExplore,46.9–50.0,30.3,34.4,76.4,43.0,54.3
280,251–300,University of PassauGermany,46.9–50.0,32.8,39.3,75.5,47.5,59.1
281,251–300,University of PotsdamGermany,46.9–50.0,36.8,40.8,65.2,56.2,57.4
282,251–300,Queen’s UniversityCanadaExplore,46.9–50.0,41.5,37.8,62.6,65.7,66.3
283,251–300,"Royal Holloway, University of LondonUnited Kingdom",46.9–50.0,30.6,30.2,73.4,37.1,92.8
284,251–300,Ruhr University BochumGermany,46.9–50.0,39.7,45.0,57.9,54.5,55.0
285,251–300,University of São PauloBrazil,46.9–50.0,56.4,54.0,40.6,39.9,33.9
286,251–300,Sapienza University of RomeItaly,46.9–50.0,40.4,40.0,69.8,43.6,40.5
287,251–300,Simon Fraser UniversityCanadaExplore,46.9–50.0,24.1,35.5,75.3,47.0,91.1
288,251–300,University of South AustraliaAustralia,46.9–50.0,31.5,39.4,65.8,82.5,89.3
289,251–300,University of Southern DenmarkDenmark,46.9–50.0,21.4,28.1,85.1,69.7,80.9
290,251–300,Stellenbosch UniversitySouth AfricaExplore,46.9–50.0,29.5,34.6,74.4,59.1,54.8
291,251–300,University of StuttgartGermany,46.9–50.0,41.8,45.4,52.4,61.1,53.1
292,251–300,Sun Yat-sen UniversityChinaExplore,46.9–50.0,43.6,35.8,63.5,56.4,34.9
293,251–300,University of SurreyUnited Kingdom,46.9–50.0,30.2,34.3,71.9,46.8,93.7
294,251–300,Swansea UniversityUnited Kingdom,46.9–50.0,21.3,24.1,93.3,36.8,83.2
295,251–300,Syracuse UniversityUnited States,46.9–50.0,35.1,29.6,78.1,35.3,48.7
296,251–300,Tampere UniversityFinland,46.9–50.0,26.4,34.7,81.8,52.6,49.3
297,251–300,Technical University of DarmstadtGermany,46.9–50.0,42.4,44.2,50.4,89.5,57.2
298,251–300,Tohoku UniversityJapan,46.9–50.0,52.7,54.4,39.8,86.4,38.1
299,251–300,Tokyo Institute of TechnologyJapan,46.9–50.0,51.2,51.8,37.4,69.3,40.5
300,251–300,Western Sydney UniversityAustralia,46.9–50.0,23.5,29.1,82.8,40.4,83.7
301,301–350,Aix-Marseille UniversityFrance,44.5–46.8,41.3,25.3,67.1,36.8,60.5
302,301–350,Anglia Ruskin University (ARU)United Kingdom,44.5–46.8,17.9,14.4,99.9,35.1,83.7
