,Rank,NameCountry/Region,Overall,Teaching,Research,Citations,Industry Income,International Outlook
0,1,University of OxfordUnited Kingdom,95.4,90.5,99.6,98.4,65.5,96.4
1,2,California Institute of TechnologyUnited States,94.5,92.1,97.2,97.9,88.0,82.5
2,3,University of CambridgeUnited Kingdom,94.4,91.4,98.7,95.8,59.3,95.0
3,4,Stanford UniversityUnited States,94.3,92.8,96.4,99.9,66.2,79.5
4,5,Massachusetts Institute of TechnologyUnited States,93.6,90.5,92.4,99.5,86.9,89.0
5,6,Princeton UniversityUnited States,93.2,90.3,96.3,98.8,58.6,81.1
6,7,Harvard UniversityUnited States,93.0,89.2,98.6,99.1,47.3,76.3
7,8,Yale UniversityUnited States,91.7,92.0,94.8,97.3,52.4,68.7
8,9,The University of ChicagoUnited States,90.2,89.1,91.4,96.7,52.7,76.0
9,10,Imperial College LondonUnited Kingdom,89.8,84.5,87.6,97.0,69.9,97.1
10,11,University of PennsylvaniaUnited States,89.6,87.5,90.4,98.2,74.0,65.0
11,12,Johns Hopkins UniversityUnited States,89.2,81.7,91.4,98.3,91.3,73.2
12,=13,"University of California, BerkeleyUnited States",88.3,83.0,90.6,99.2,46.1,70.4
13,=13,ETH ZurichSwitzerland,88.3,81.8,92.8,90.3,56.8,98.2
14,15,UCLUnited Kingdom,87.1,77.8,88.7,96.1,42.7,96.2
15,16,Columbia UniversityUnited States,87.0,85.6,82.6,98.2,44.8,79.3
16,17,"University of California, Los AngelesUnited States",86.8,83.1,88.6,97.3,51.3,64.1
17,18,University of TorontoCanadaExplore,85.5,76.6,89.5,93.6,50.5,84.7
18,19,Cornell UniversityUnited States,85.1,79.7,86.0,96.6,37.1,73.4
19,20,Duke UniversityUnited States,84.0,82.4,76.8,97.0,99.9,61.5
20,21,University of Michigan-Ann ArborUnited States,83.8,79.4,86.1,94.9,47.7,59.2
21,22,Northwestern UniversityUnited States,83.5,74.2,83.8,97.8,78.4,64.1
22,23,Tsinghua UniversityChinaExplore,82.6,86.6,94.0,74.6,100.0,47.4
23,24,Peking UniversityChinaExplore,82.3,89.1,90.0,73.2,86.6,59.6
24,25,National University of SingaporeSingaporeExplore,81.9,76.8,90.4,76.9,58.8,95.5
25,26,University of WashingtonUnited States,81.6,72.2,82.2,98.6,47.5,60.4
26,=27,Carnegie Mellon UniversityUnited States,81.3,65.9,82.7,98.2,50.5,80.6
27,=27,London School of Economics and Political ScienceUnited Kingdom,81.3,69.0,83.0,92.8,35.1,93.2
28,29,New York UniversityUnited States,81.1,76.8,77.5,96.5,38.7,65.4
29,30,University of EdinburghUnited Kingdom,79.4,67.3,74.1,96.4,38.9,93.8
30,31,"University of California, San DiegoUnited States",78.8,62.6,78.9,97.7,90.3,63.7
31,=32,LMU MunichGermanyExplore,77.8,68.4,77.0,88.8,100.0,67.2
32,=32,University of MelbourneAustralia,77.8,65.9,74.1,89.8,76.3,93.1
33,34,University of British ColumbiaCanada,76.3,61.5,73.2,92.5,43.8,94.4
34,35,University of Hong KongHong Kong,75.9,69.5,77.2,76.6,59.7,98.6
35,=36,King’s College LondonUnited Kingdom,75.7,61.3,68.5,94.8,45.6,95.6
36,=36,The University of TokyoJapan,75.7,85.9,89.6,60.7,77.4,38.2
37,=38,École Polytechnique Fédérale de LausanneSwitzerland,75.4,66.6,66.3,88.3,66.4,98.6
38,=38,Georgia Institute of TechnologyUnited States,75.4,60.2,76.4,90.4,61.6,77.1
39,=38,University of Texas at AustinUnited States,75.4,68.2,76.2,93.2,46.6,39.1
40,41,Karolinska InstituteSweden,74.7,55.4,71.4,96.1,71.2,81.2
41,42,McGill UniversityCanada,74.3,65.0,71.9,84.7,42.8,90.4
42,43,Technical University of MunichGermany,74.1,64.6,70.4,85.5,100.0,72.9
43,44,Heidelberg UniversityGermany,73.5,67.1,60.3,96.2,54.6,67.5
44,=45,KU LeuvenBelgiumExplore,73.2,58.7,73.9,85.3,99.3,71.8
45,=45,Paris Sciences et Lettres – PSL Research University ParisFrance,73.2,71.6,71.4,77.0,52.2,78.7
