,Rank,NameCountry/Region,Overall,Teaching,Research,Citations,Industry Income,International Outlook
0,1,University of OxfordUnited Kingdom,96.4,92.3,99.7,99.0,74.9,96.2
1,2,Harvard UniversityUnited States,95.2,94.8,99.0,99.3,49.5,80.5
2,=3,University of CambridgeUnited Kingdom,94.8,90.9,99.5,97.0,54.2,95.8
3,=3,Stanford UniversityUnited States,94.8,94.2,96.7,99.8,65.0,79.8
4,5,Massachusetts Institute of TechnologyUnited States,94.2,90.7,93.6,99.8,90.9,89.3
5,6,California Institute of TechnologyUnited States,94.1,90.9,97.0,97.3,89.8,83.6
6,7,Princeton UniversityUnited States,92.4,87.6,95.9,99.1,66.0,80.3
7,8,"University of California, BerkeleyUnited States",92.1,86.4,95.8,99.0,76.8,78.4
8,9,Yale UniversityUnited States,91.4,92.6,92.7,97.0,55.0,70.9
9,10,Imperial College LondonUnited Kingdom,90.4,82.8,90.8,98.3,59.8,97.5
10,=11,Columbia UniversityUnited States,89.4,89.4,87.7,97.1,44.8,79.9
11,=11,ETH ZurichSwitzerland,89.4,82.6,95.4,90.7,59.1,97.7
12,13,The University of ChicagoUnited States,88.9,86.5,88.8,97.7,56.2,74.2
13,14,University of PennsylvaniaUnited States,88.8,86.0,88.8,97.0,75.8,71.5
14,15,Johns Hopkins UniversityUnited States,88.3,79.4,91.5,97.0,89.5,75.3
15,16,Tsinghua UniversityChinaExplore,88.2,90.1,97.4,88.0,100.0,40.3
16,17,Peking UniversityChinaExplore,88.1,92.5,96.7,80.4,91.8,65.0
17,18,University of TorontoCanadaExplore,87.4,77.3,93.3,92.8,65.5,89.7
18,19,National University of SingaporeSingaporeExplore,87.1,76.4,93.0,90.2,87.0,94.0
19,20,Cornell UniversityUnited States,85.9,80.2,86.1,97.3,40.4,76.9
20,21,"University of California, Los AngelesUnited States",85.8,80.4,88.9,95.4,58.8,65.0
21,22,UCLUnited Kingdom,85.7,74.5,85.4,97.9,44.5,96.7
22,23,University of Michigan-Ann ArborUnited States,82.9,79.3,84.6,93.6,48.7,59.2
23,24,New York UniversityUnited States,82.7,74.2,84.0,95.0,44.6,74.7
24,25,Duke UniversityUnited States,82.6,78.1,76.2,95.7,99.6,68.0
