,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Teaching reputation,Institutional income to academic staff,Students to academic staff ratio,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,Proportion of international academic staff,International co-authorship,Proportion of international students
University of Newcastle,35.7,48.7,5.8,48.6,37,79.8,45.2,5.4,76.6,49.9,96.9,82.1,70.2
RMIT University,34.4,43.2,9.9,56.9,35.2,74.9,37.2,6.1,64.5,42.5,100,80.9,94.6
National University of Singapore,49.5,67.7,91.9,100,40.8,89.3,99.7,87.7,76.9,58.8,99.9,94.2,92.4
La Trobe University,32.9,58,6.5,73.1,28.3,99.3,51.7,4.8,73.3,51.3,96.5,61.5,93.4
Curtin University,35.8,41.7,7,43.4,37.5,82.9,41.6,9.2,83.2,44.8,100,87.5,95
University of Canberra,32.9,62.1,2.9,62.9,27.4,98.4,47.7,3.1,99.2,38.6,96.3,68.3,96.2
University of Tasmania,38,55.7,5.2,59,33.1,93.1,56.3,6.4,63,50.1,92.9,77.3,94.5
The University of Queensland,43.8,88.4,34.8,90.1,27.6,99.8,91.8,34,86.8,80.9,94.7,85.5,97.5
Western Sydney University,32.3,51.3,4.6,58,27.6,94.5,37.3,4.6,82.8,40.4,100,81.9,69.1
University of Sydney,49.8,60.4,49,66.8,37.7,97.8,68.7,47,90.7,67.7,85.3,83.2,99.1
James Cook University,37.9,45.1,3.7,55.4,36.5,93.7,35.1,4.3,93.3,45.9,95.7,82.1,49.2
University of Technology Sydney,34.7,77.1,9.3,93.1,25.5,99.7,85.5,9.8,75.3,50.3,99.6,91.3,97.3
Monash University,40.7,75.5,36.7,87.4,28.2,99.5,75.7,36,83.8,67.2,86.5,84.2,99
University of Adelaide,42.7,81.4,8.8,79.4,30,98.5,83,8.8,95.3,64.8,99.1,82.9,93
Australian Catholic University,28.4,42.9,2.7,62.7,25.5,95.3,34,2.7,73.4,39.4,91.5,79.6,51.8
University of Otago,43.2,58.4,11.8,49.7,37.9,88.7,40.9,10.3,84.7,37,100,90,79.4
University of Auckland,36.5,54,17.3,51.8,35.5,95.5,61.9,20.6,80.2,62.4,96.6,89.4,96
University of South Australia,35.1,84.7,5.9,59.9,29.7,96.8,84.5,5.3,65.8,82.5,100,80.2,87.6
The University of Western Australia,41.6,64.4,11.3,75.1,34.5,99.9,86.7,11,91,57,99.9,90,92.9
Australian National University,59.4,77,45.4,77,40.9,99.8,99.3,49.8,88.4,46.5,99.9,87,99.7
University of Melbourne,71.8,99.6,59.2,82.7,32.1,99.1,87.4,61.3,89.8,76.3,98.1,81.3,99.8
Macquarie University,36.9,95.9,10.1,99.3,22.1,99.6,80.5,11,71.8,53.1,79.8,79,92.8
Griffith University,36.1,51,8.1,45.3,34.1,97.4,38.4,9.2,86,42,99.6,76.9,69
Deakin University,31.9,35.8,11.2,53.9,30.7,93.5,32.5,7.3,73.5,40.6,96.7,76.8,82.2
Queensland University of Technology,35.6,66.9,12.7,72.8,26.8,98.7,71.8,10.3,86.4,62.4,98.6,80.4,65.2
UNSW Sydney,48.5,83.3,37.8,91.8,27.6,99.8,89.2,33.9,82.9,57.9,99.3,82.5,99.3
University of Wollongong,39,67.2,6.1,80.7,29.2,99.6,59.7,5.2,75.5,55.7,99.5,87.7,92.9
Worldwide: Top*,89.4,100,22.5,100,79.3,100,95.9,18.9,100,70.7,100,99.9,100
Worldwide: 75%,55.1,61.7,9.7,59.7,53.5,70.2,55.5,8,71.9,49.8,63,79.4,67.3
Worldwide: Median,39.8,39.5,3.2,39.3,43.4,39.3,36,2.4,45.5,39.4,34.4,47.2,38.3
Worldwide: 25%,32.1,26.8,1.1,27.3,35.7,21.6,28.6,0.7,23.3,35.7,25.2,20.5,22.4
Worldwide: Bottom*,26.4,17,0,14.1,17.6,9.6,24.4,0,1.7,34.4,20.9,1.1,16.7
