,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Teaching reputation,Institutional income to academic staff,Students to academic staff ratio,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,Proportion of international academic staff,International co-authorship,Proportion of international students
University of Newcastle,38.7,53.2,7.2,49.1,35.7,83,50.4,6.3,80.7,53,97.6,83.1,71.9
University of Auckland,37,49.1,17.3,54.3,34.9,95.1,70.1,19.5,87.5,75.4,98.4,90,95.1
James Cook University,37,37.8,4.9,59,36.5,94.6,35.4,4.8,94.2,45.3,96.1,84,49.1
Griffith University,36,49.5,11,54.5,30.5,99.4,43.1,11.3,85.6,48,99.4,77.8,69.3
University of Canberra,34.4,60.2,3.2,70.4,26.9,99.3,55,3.5,99.7,41.2,98.2,73.8,97.4
Curtin University,36.8,40,9.2,42.2,37.1,85.9,40.9,8.6,86.9,42.1,100,88.8,96.1
RMIT University,36.3,46,7.9,63.3,34.5,84.6,41.9,8.2,70.5,44.2,100,84.1,96.2
La Trobe University,35.1,57.4,8.1,71.4,28.9,99.7,50.1,7.7,82.7,50,96.6,69,94.5
National University of Singapore,47.9,68.1,90.3,100,40.4,89.3,100,88.2,81.5,77.8,99.9,94.8,89.7
The University of Queensland,53.7,96.8,40,90,27.5,99.9,94.1,37,85.9,81,93.1,87.2,98.7
University of Sydney,47.2,54.1,52.4,66.3,38.4,97.9,69.9,51.4,92.3,69.3,86.5,84.1,99.6
Macquarie University,38.3,95.7,11.5,99.2,22.2,99.7,81.4,11.4,73.7,58.6,86.2,81.7,93.4
Deakin University,32.6,36.8,12.4,64.5,28.1,98.1,34.9,8,78.3,40.2,91.8,79.8,89.6
Monash University,40,86.2,43.5,93.5,25.7,99.9,86.3,40.8,86.2,73.9,85.2,86.2,99.6
Queensland University of Technology,36.8,68.7,11.4,76.1,25.6,99.8,57.4,9.9,89.4,53.5,99,83.3,67.2
University of Technology Sydney,37.1,86.1,9,92.3,25.7,99.9,93.8,9.3,81.1,53.7,99.7,93.4,97.9
UNSW Sydney,46,89.9,36.8,96.1,25.9,99.9,95.2,38.3,85.3,66.8,99.9,84.6,99.6
University of Tasmania,37.8,47.8,7.1,57.1,34.7,91.6,56.9,5.3,63.3,46.2,92.7,81.2,96.6
University of Adelaide,41.7,77.2,9.6,78.5,29.4,99.2,88.6,8.9,96,68.5,99.4,84.1,93.2
Western Sydney University,34.3,49.6,7.2,57.1,26.7,95.8,36.9,7.3,88,41.6,100,83,77
University of Wollongong,39,63.8,6.4,78.5,29.5,99.6,60.1,6.9,78.1,56.9,99.6,89.9,93.4
University of South Australia,34.1,46.1,7.3,62,29.5,94.3,69.3,5.6,67.2,86.9,99.8,81.7,77.1
Australian Catholic University,31.6,45.7,2.6,66.3,24.7,97.1,32.4,2.9,89.1,37.8,92.5,82.7,56.7
University of Otago,42.7,54.4,11.9,51.6,37.3,87.2,45.7,11.4,85.3,37.1,100,89.9,79.6
University of Melbourne,70.3,99.6,61.9,83.1,31.5,99.5,89.5,64.1,90.1,74.2,98,83.7,99.9
The University of Western Australia,42.6,63.6,11.9,71,35,99.9,76.4,13,90.4,59.1,99.9,91.2,92.8
Australian National University,49.2,63.8,40.3,76.8,40.8,99.9,99.5,47.3,88.4,43,99.9,88.9,99.9
Worldwide: Top*,85.9,100,20.4,100,81.1,100,95.9,17.4,100,72.8,100,99.9,100
Worldwide: 75%,54.6,60.5,8.8,59,54.2,70.7,55.4,7.4,71.3,50,61.8,79.4,67.2
Worldwide: Median,40.1,38.6,2.6,38.9,43.7,38.9,35.6,2,45.1,38.5,34.1,46.4,36.7
Worldwide: 25%,33.7,27.5,0.9,27.8,35.6,21.6,28.4,0.6,23.5,34.8,25.4,20.6,22.8
Worldwide: Bottom*,28.9,18.3,0,14.9,17.7,9.9,24.4,0,1.9,33.3,21.3,1.7,17.2
