,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Teaching reputation,Institutional income to academic staff,Students to academic staff ratio,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,Proportion of international academic staff,International co-authorship,Proportion of international students
University of Newcastle,41,58,5.7,68.8,29.9,94.2,57.1,5,78.9,61.4,98.6,83.2,74.9
University of Auckland,41.6,59.8,18.7,59.1,34.6,96.9,75.8,19.5,84.8,69.4,97.8,89.9,96.1
James Cook University,42.7,44.2,6.2,62.2,37.4,97.6,34.7,5.7,88.6,45.5,97,86.3,52.9
Griffith University,40.3,52.8,10.2,58.3,29.9,99.7,45.8,10.4,80.4,50.6,99.5,78.2,70.8
University of Canberra,38.8,66.7,4.1,73.5,27,99.3,55.8,4.6,98.6,44.2,98.4,77.6,93.6
Curtin University,40.4,40.2,10.1,47.1,36.7,91.8,46.4,8.3,82.5,43.5,100,90.3,96.1
RMIT University,40.6,48.7,9.3,68.2,34,91.7,42.8,8.7,69.8,46,100,84.5,97.2
La Trobe University,39.4,54.8,8.2,72.6,27.6,99.7,50.2,6.6,86.3,46.7,96.9,73.4,99
National University of Singapore,49.1,70.9,90.1,100,39.3,89.7,100,87.7,87.3,75.4,99.9,95.3,87.9
The University of Queensland,57.1,99.5,39.4,94.2,26.9,99.9,92.9,39,85.8,86.2,93.7,87.1,99.4
University of Sydney,47.1,53.9,52.6,71.6,38.5,98.1,63.3,49.9,90.5,66.1,88.1,84.9,99.8
Macquarie University,42.4,99.2,10.6,99.8,21.1,100,85.6,10.4,71.4,63.3,90.1,84.8,93.7
Deakin University,38.3,44.2,11,68.4,27.7,98.8,37.4,8.4,79.3,42.8,93.2,82,92.5
Monash University,44,87.6,45,97.8,24.6,99.7,89.2,39.9,87.7,79.2,86.5,86.6,99.8
Queensland University of Technology,40.7,72,9.9,79.7,25.5,99.7,54.8,9.7,86.8,50,99.1,84.1,70.5
University of Technology Sydney,41.1,87.4,10.3,92.9,25.7,100,92.8,8.5,83.7,55,99.6,93.6,98.3
UNSW Sydney,46.6,91,35.2,97.5,25.4,99.9,95.1,35.6,84.1,72.7,99.9,85.9,99.7
University of Tasmania,43,55.8,6.6,62.5,34.9,93.9,55.5,4,70.3,47,92.6,83.1,98.2
University of Adelaide,43.9,73.2,14.3,82.2,29,99.5,88.8,12.6,94.3,65.5,99.4,85.9,95.9
Western Sydney University,39.1,51.2,8.6,63.8,26.2,96.5,37.5,6.2,88.7,42.4,100,81,82.8
University of Wollongong,42.4,66.6,7.1,85.1,29.2,99.9,61.9,8.7,77.3,55.8,98.8,91.2,94.1
University of South Australia,38.3,41.3,6.3,65.7,28.3,94.9,71.6,5.4,68.1,84.3,99.8,83.9,81.4
Australian Catholic University,36.4,34.2,2.6,66,24.8,94.9,34.4,2.7,95.9,36.6,94.4,85,61.2
University of Otago,43.9,54.7,14.3,57.9,37,88.4,49.1,11.9,77.5,39.6,100,89.7,80.4
University of Melbourne,62.9,99.3,63.5,86.3,31.4,99.7,84.1,61.7,88.4,74.9,98.3,83.7,99.9
The University of Western Australia,44.2,62.9,14.6,78,36,100,71.7,15.4,88,65,100,92,94.6
Australian National University,47,63.8,42.1,83.8,41.2,99.9,99,46.5,87.8,47.8,99.9,89.8,99.8
Worldwide: Top*,70.7,100,17.9,100,83.4,100,90.7,14.7,100,68.3,100,99.7,100
Worldwide: 75%,51.2,59.8,7.6,59.1,54.6,69.3,54.2,6.2,70.9,48.9,62.2,79.3,66.6
Worldwide: Median,42.3,37.5,2.3,38.5,43.8,38.1,35.8,1.7,46.2,39.5,34.1,45.7,36
Worldwide: 25%,38.3,27.1,0.8,28,35.4,22.1,29.7,0.5,23.2,35.9,25.3,21.2,23.2
Worldwide: Bottom*,35.2,17.8,0,15.1,17.6,10.3,26.2,0,0.7,34.8,21.5,1.4,18
