,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Teaching reputation,Institutional income to academic staff,Students to academic staff ratio,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,Proportion of international academic staff,International co-authorship,Proportion of international students
University of Newcastle,0.05,0.24,9.3,485079,20.9,0,80869,13.3,N/A,37165,37.8%,0%,17.3%
University of Auckland,0.06,0.22,35.9,455855,18.4,0,104347,67.4,N/A,44633,31.5%,0%,29.9%
James Cook University,0.08,0.25,8.1,616224,22.3,0,53184,13.9,N/A,13175,34%,0%,11.7%
Griffith University,0.05,0.25,13.4,433800,22.2,0,54954,22.8,N/A,14596,46.7%,0%,18.9%
University of Canberra,0.02,0.17,4.2,546432,29.2,0,32614,7.8,N/A,5717,12.3%,0%,28.8%
Curtin University,0.04,0.16,13.6,365585,18.3,0,51171,26.5,N/A,12629,66.4%,0%,35%
RMIT University,0.04,0.15,22.1,518112,20.2,0,39469,14.6,N/A,11559,59.8%,0%,26.8%
La Trobe University,0.03,0.3,8.5,812911,34.8,0,110722,7,N/A,32458,40.2%,0%,28%
National University of Singapore,0.12,0.46,493,2165678,17.4,0,616474,542.3,N/A,54884,60.6%,0%,28.4%
The University of Queensland,0.1,0.67,60.6,1027849,34.4,0,344607,97.6,N/A,59597,36.5%,0%,30.8%
University of Sydney,0.11,0.33,118.2,689064,20.5,0,187926,162.2,N/A,55647,25.8%,0%,35.1%
Macquarie University,0.06,0.44,16.3,1041606,43.8,0,124402,26,N/A,20009,23.9%,0%,26%
Deakin University,0.03,0.21,18.6,547481,30.3,0,30344,20.4,N/A,7306,36.8%,0%,19.3%
Monash University,0.07,0.45,77.5,1030185,34.6,0,248840,101.8,N/A,66828,27.5%,0%,35.1%
Queensland University of Technology,0.05,0.32,23.1,695363,35.3,0,168908,23.9,N/A,36619,41.1%,0%,15.5%
University of Technology Sydney,0.05,0.42,22.6,799342,43.4,0,171155,23.5,N/A,21889,56.4%,0%,36.5%
UNSW Sydney,0.1,0.48,82.4,949402,30.5,0,272878,90.3,N/A,29830,58.5%,0%,36.2%
University of Tasmania,0.06,0.25,11,522731,15,0,143765,15,N/A,27013,34.4%,0%,26.5%
University of Adelaide,0.08,0.47,19.2,865261,30.4,0,281633,31.9,N/A,44583,45.2%,0%,26.9%
Western Sydney University,0.02,0.16,3.7,533324,33.2,0,42320,7.5,N/A,9625,58.1%,0%,13.9%
University of Wollongong,0.06,0.4,12.1,842236,31.2,0,103183,12.9,N/A,30405,49.4%,0%,26%
University of South Australia,0.05,0.33,12.1,612215,26.1,0,122274,15.5,N/A,78409,81%,0%,43.8%
Australian Catholic University,0.02,0.12,6.6,629171,42.4,0,28736,8.6,N/A,9093,33.1%,0%,11.1%
University of Otago,0.07,0.26,21.7,509954,20.1,0,83054,22,N/A,5678,60%,0%,20.5%
University of Melbourne,0.25,1.02,164.9,911095,26.6,0,248411,245.5,N/A,66510,40.5%,0%,42.5%
The University of Western Australia,0.07,0.41,17.6,737063,21.9,0,307000,26.3,N/A,33895,56.4%,0%,26.4%
Australian National University,0.16,0.41,125.4,873298,18.5,0,385501,190.1,N/A,24667,53.9%,0%,39%
Worldwide: Top*,0.31,0.81,24.7,6512800,43.7,0,1245188,23.5,0,238614,37.9%,0%,38.7%
Worldwide: 75%,0.15,0.39,10.5,2778296,24.1,0,513194,9.9,0,97460,16.6%,0%,17.1%
Worldwide: Median,0.07,0.21,3.2,736438,16.7,0,116471,2.6,0,15221,6.2%,0%,8%
Worldwide: 25%,0.03,0.11,1.1,286727,11.1,0,25130,0.8,0,3082,2.3%,0%,2.7%
Worldwide: Bottom*,0,0,0,1056,0.4,0,10,0,0,-1963,0%,0%,0%
