,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Teaching reputation,Institutional income to academic staff,Students to academic staff ratio,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,Proportion of international academic staff,International co-authorship,Proportion of international students
University of Newcastle,33.1,48.6,5.4,47.5,35.5,77,40.3,5.8,74.1,57,96.3,82,68.6
University of Auckland,34.8,42.6,19.4,45,39.1,89.3,53.2,20.3,76.5,61.6,91.2,89.9,94.1
James Cook University,40.5,45.1,3.9,58.9,33.9,92.7,32,3.8,91.9,41.9,93.6,82.2,50.4
Griffith University,33.3,52.3,6.5,43,34,95.4,38.2,7.7,79.9,42.8,99.2,76.1,73.3
University of Canberra,27.4,45.2,1.9,52.9,26.6,93.8,36.2,2.9,95,37.4,51,63.1,89.9
Curtin University,30.4,32.5,6.3,37.2,39.2,71.1,36.4,6.9,74.8,41.6,100,87,97.7
RMIT University,30.1,32.8,10.9,50.4,36.4,65.3,35.1,5.7,58.5,40.9,100,78.4,90.4
La Trobe University,29,59.5,3.3,74.5,25.9,99.6,53,3.3,65.4,54.1,97.5,55.8,92
National University of Singapore,51.2,71.5,91.2,100,40.7,89.6,99.3,85.1,78.9,67.6,100,93.9,92.6
The University of Queensland,45.3,93.7,29.5,87.1,26,99.8,90.9,32,86.5,70.3,95.5,84.5,95
University of Sydney,48,60.6,48.3,65,36.1,98.5,70.3,46,89.1,68.1,83.1,82.4,97.8
Macquarie University,34.6,82.7,8.3,87.7,23.2,99.3,63.3,8,71.3,46.2,79.5,76.2,89.2
Deakin University,29.5,44.4,8,53,27.9,92.4,31,6.8,67.9,38.3,95.7,73.6,74.6
Monash University,38.6,78.2,34.3,87.2,25.9,99.8,77.1,30.6,83.8,74.1,85.8,82.4,97.8
Queensland University of Technology,32.3,61.7,10.1,65.5,25.7,97.8,68.5,7.7,81.3,56.7,97.8,78.6,63.2
University of Technology Sydney,32.9,77,8.3,89.3,23.3,99.4,91.7,5.9,76.4,52.2,99.9,87.9,98.3
UNSW Sydney,46,80.2,30.2,83.1,27.8,99.7,88.1,27.5,82.3,52.4,99.9,79.7,98.2
University of Tasmania,36,46.6,3.7,50.8,46.1,88.3,54.9,4.4,60.2,50.6,94,74.6,89.9
University of Adelaide,39.4,78.3,8.3,78,27.9,98,82.8,8.4,92.5,61.6,98.9,83.3,90.5
Western Sydney University,26.8,34.3,1.8,51.7,26.5,90.8,36.2,2.7,76.4,39.7,99.9,81.8,57.6
University of Wollongong,36.3,70.4,7.2,76.5,27.5,99.4,53.6,4.9,75.7,52.8,99.5,84.1,89.2
University of South Australia,33.8,86.6,3.3,58.6,30.6,95.6,77.5,4.2,68.1,79.7,100,78.9,99.7
Australian Catholic University,25.8,34.5,2.9,60,23.5,92.6,34.6,2.4,62,39.4,92.8,73.9,48.4
University of Otago,37.7,48.5,12.3,49.7,36.6,87.2,40.6,8.6,82.6,37.4,100,90.9,77.6
University of Melbourne,80.2,99.9,62.8,80.9,30.2,98.9,86.5,60.5,90.3,74,97.6,82.1,99.6
The University of Western Australia,38.2,71.7,12,68.9,34.3,99.5,84.9,12.7,88.8,55,99.9,89.7,89.8
Australian National University,61.9,76,47.8,78.6,38.9,99.5,99.2,51.4,87.3,49.1,99.8,86.2,99
Worldwide: Top*,99.6,100,25.6,100,84.7,100,99.7,20.1,100,71,100,99.9,100
Worldwide: 75%,57.6,62.5,11.1,59.4,54.6,70.4,56.8,8.6,73.8,49.8,62.5,79.1,68.1
Worldwide: Median,38.4,38.9,3.9,39.5,42.6,40.3,35.8,2.7,44.7,39.4,34.6,47.5,37.8
Worldwide: 25%,29.6,24.7,1.3,27.6,34.5,21.2,28.1,0.9,23.3,35.6,25.2,20.8,22.2
Worldwide: Bottom*,22.4,13.6,0,12.9,14.8,9.2,23.5,0,1.4,34,20.5,0.9,16
