,Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
27,=27,London School of Economics and Political ScienceUnited Kingdom,10570,12.1,71%,53 : 47
28,29,New York UniversityUnited States,44466,8.9,33%,57 : 43
29,30,University of EdinburghUnited Kingdom,29433,12.8,41%,60 : 40
30,31,"University of California, San DiegoUnited States",33579,13.0,23%,46 : 54
31,=32,LMU MunichGermanyExplore,34519,34.7,17%,61 : 39
32,=32,University of MelbourneAustralia,47385,26.3,46%,56 : 44
33,34,University of British ColumbiaCanada,52108,18.1,32%,55 : 45
34,35,University of Hong KongHong Kong,18260,18.2,44%,54 : 46
35,=36,King’s College LondonUnited Kingdom,26057,12.5,44%,62 : 38
36,=36,The University of TokyoJapan,25913,10.6,12%,
37,=38,École Polytechnique Fédérale de LausanneSwitzerland,10492,11.4,59%,28 : 72
38,=38,Georgia Institute of TechnologyUnited States,21372,18.3,27%,33 : 67
39,=38,University of Texas at AustinUnited States,49165,17.2,10%,52 : 48
40,41,Karolinska InstituteSweden,7777,9.0,20%,68 : 32
41,42,McGill UniversityCanada,31294,13.0,29%,58 : 42
42,43,Technical University of MunichGermany,40472,47.8,27%,34 : 66
43,44,Heidelberg UniversityGermany,20800,16.1,18%,54 : 46
44,=45,KU LeuvenBelgiumExplore,45049,36.3,15%,50 : 50
45,=45,Paris Sciences et Lettres – PSL Research University ParisFrance,21298,11.5,26%,46 : 54
46,47,The Hong Kong University of Science and TechnologyHong KongExplore,10125,22.3,31%,
47,=48,University of Illinois at Urbana-ChampaignUnited States,44916,17.9,24%,47 : 53
48,=48,"Nanyang Technological University, SingaporeSingapore",25088,15.9,27%,48 : 52
49,50,Australian National UniversityAustralia,17359,17.8,44%,52 : 48
50,51,University of Wisconsin-MadisonUnited States,39154,10.0,13%,
51,52,Washington University in St LouisUnited States,13401,7.5,20%,
52,53,Brown UniversityUnited States,9391,10.8,20%,
53,54,University of North Carolina at Chapel HillUnited States,35419,9.4,8%,57 : 43
54,=55,"University of California, DavisUnited States",39164,12.0,14%,58 : 42
55,=55,University of ManchesterUnited KingdomExplore,37038,14.4,40%,53 : 47
56,=57,"University of California, Santa BarbaraUnited States",24089,27.6,16%,52 : 48
57,=57,Chinese University of Hong KongHong KongExplore,18340,18.6,32%,
58,59,Wageningen University & ResearchNetherlands,13914,21.3,27%,53 : 47
59,60,University of SydneyAustralia,45111,20.1,39%,58 : 42
60,61,Boston UniversityUnited States,25662,11.6,27%,60 : 40
61,=62,University of AmsterdamNetherlandsExplore,26723,13.5,18%,56 : 44
62,=62,University of Southern CaliforniaUnited States,36929,11.7,25%,53 : 47
63,64,Seoul National UniversitySouth Korea,26182,12.4,12%,
64,65,Kyoto UniversityJapan,22566,9.0,9%,24 : 76
65,66,The University of QueenslandAustraliaExplore,39144,35.7,34%,55 : 45
66,=67,Delft University of TechnologyNetherlands,18743,20.2,30%,29 : 71
67,=67,Leiden UniversityNetherlandsExplore,28741,18.7,16%,59 : 41
68,69,Erasmus University RotterdamNetherlandsExplore,23167,20.4,23%,51 : 49
69,70,Ohio State University (Main campus)United States,54372,12.5,13%,50 : 50
70,71,UNSW SydneyAustraliaExplore,44336,35.7,41%,47 : 53
71,72,McMaster UniversityCanadaExplore,24412,28.1,17%,55 : 45
72,73,University of GroningenNetherlandsExplore,27228,23.8,21%,51 : 49
73,74,Humboldt University of BerlinGermany,33463,56.1,17%,
74,=75,Monash UniversityAustralia,52989,33.9,39%,57 : 43
75,=75,Utrecht UniversityNetherlandsExplore,31833,14.2,9%,59 : 41
76,77,University of WarwickUnited Kingdom,20599,13.2,41%,49 : 51
77,78,Penn State (Main campus)United States,46204,15.3,16%,46 : 54
78,79,University of MinnesotaUnited States,61120,12.4,11%,52 : 48
79,=80,Charité - Universitätsmedizin BerlinGermany,7076,17.6,19%,64 : 36
80,=80,Emory UniversityUnited States,12735,4.0,20%,58 : 42
81,=80,University of Science and Technology of ChinaChinaExplore,16245,7.7,4%,
82,=80,Sorbonne UniversityFrance,43076,13.5,19%,58 : 42
83,84,Michigan State UniversityUnited States,44789,16.5,16%,51 : 49
84,85,University of MontrealCanadaExplore,36794,20.2,22%,
85,86,University of FreiburgGermany,21475,42.8,23%,54 : 46
86,87,University of BristolUnited Kingdom,21783,13.6,27%,54 : 46
87,88,Purdue University West LafayetteUnited States,40451,15.7,23%,43 : 57
88,89,Sungkyunkwan University (SKKU)South KoreaExplore,23342,19.5,15%,43 : 57
89,90,University of ZurichSwitzerland,22609,12.3,21%,57 : 43
90,=91,"University of Maryland, College ParkUnited States",33108,16.6,11%,48 : 52
91,=91,University of TübingenGermany,27901,37.5,14%,58 : 42
92,93,École PolytechniqueFranceExplore,3030,5.7,40%,22 : 78
93,=94,University of BaselSwitzerland,11518,15.8,27%,56 : 44
94,=94,Dartmouth CollegeUnited States,6247,7.7,15%,49 : 51
95,=96,"University of California, IrvineUnited States",32706,16.5,26%,52 : 48
96,=96,University of HelsinkiFinland,22072,16.6,5%,66 : 34
97,=96,Lund UniversitySweden,27266,12.1,19%,54 : 46
98,=99,University of GlasgowUnited KingdomExplore,25357,15.4,37%,59 : 41
99,=99,RWTH Aachen UniversityGermany,45377,61.1,21%,32 : 68
100,101,University of CopenhagenDenmark,31219,4.3,17%,57 : 43
101,=102,Georgetown UniversityUnited States,16279,8.5,18%,54 : 46
102,=102,Uppsala UniversitySweden,25438,16.7,15%,57 : 43
103,104,University of ArizonaUnited States,39124,18.4,10%,52 : 48
104,=105,University of BonnGermany,36352,67.7,13%,55 : 45
105,=105,Rice UniversityUnited States,6667,8.9,28%,42 : 58
106,=107,University of Virginia (Main campus)United States,23116,8.6,12%,52 : 48
107,=107,Zhejiang UniversityChinaExplore,33427,10.7,22%,23 : 77
108,109,Fudan UniversityChina,32537,11.2,12%,53 : 47
109,=110,Korea Advanced Institute of Science and Technology (KAIST)South Korea,9481,10.2,8%,20 : 80
110,=110,Queen Mary University of LondonUnited Kingdom,17799,14.1,43%,54 : 46
111,112,University of BirminghamUnited Kingdom,29542,15.5,29%,57 : 43
112,=113,University of BernSwitzerland,11090,16.5,16%,56 : 44
113,=113,University of Pittsburgh-Pittsburgh campusUnited States,26652,5.8,11%,51 : 49
114,115,Aarhus UniversityDenmark,26842,14.4,9%,55 : 45
115,116,Vanderbilt UniversityUnited States,12006,3.0,14%,54 : 46
116,=117,Free University of BerlinGermany,35894,58.2,21%,59 : 41
117,=117,University of SheffieldUnited Kingdom,26218,15.0,34%,50 : 50
118,119,Case Western Reserve UniversityUnited States,10654,8.8,23%,50 : 50
119,=120,University of AdelaideAustralia,21093,29.9,29%,49 : 51
120,=120,National Taiwan University (NTU)TaiwanExplore,27254,11.1,11%,40 : 60
121,122,University of SouthamptonUnited Kingdom,23863,13.7,34%,53 : 47
122,123,Ghent UniversityBelgium,38080,37.0,10%,54 : 46
123,124,University of Colorado BoulderUnited States,33186,16.3,11%,44 : 56
124,125,University of GöttingenGermany,30773,29.1,13%,51 : 49
125,126,City University of Hong KongHong KongExplore,9587,11.0,45%,59 : 41
126,127,Maastricht UniversityNetherlands,16857,18.6,54%,60 : 40
127,=128,Radboud University NijmegenNetherlandsExplore,20024,17.5,14%,55 : 45
128,=128,University of YorkUnited Kingdom,16058,14.9,24%,56 : 44
129,130,Université Paris CitéFrance,61390,15.5,17%,64 : 36
130,=131,University of OsloNorway,20783,12.6,17%,62 : 38
131,=131,The University of Western AustraliaAustralia,18400,23.2,29%,49 : 51
132,133,Durham UniversityUnited Kingdom,16963,14.8,30%,55 : 45
133,=134,Indiana UniversityUnited States,66872,13.6,15%,52 : 48
134,=134,University of ViennaAustria,33547,40.2,27%,66 : 34
135,=136,University of AlbertaCanada,31919,21.0,26%,55 : 45
136,=136,University of Cape TownSouth AfricaExplore,21812,11.9,17%,53 : 47
137,138,Vrije Universiteit AmsterdamNetherlands,23025,16.5,10%,58 : 42
138,=139,Lancaster UniversityUnited Kingdom,12657,12.5,38%,51 : 49
139,=139,Tufts UniversityUnited States,11017,9.8,16%,55 : 45
140,=141,University of OttawaCanadaExplore,35365,24.7,19%,59 : 41
141,=141,Ulm UniversityGermany,10629,27.7,13%,48 : 52
142,143,Pompeu Fabra UniversitySpain,11636,21.6,13%,60 : 40
143,=144,University of GenevaSwitzerland,16935,15.6,39%,61 : 39
144,=144,Nanjing UniversityChina,34569,15.5,10%,44 : 56
145,=146,University of ExeterUnited KingdomExplore,21451,17.6,28%,54 : 46
146,=146,Pohang University of Science and Technology (POSTECH)South KoreaExplore,3215,10.3,3%,23 : 77
147,=146,University of SussexUnited Kingdom,14978,16.1,39%,54 : 46
148,=149,University of HamburgGermany,30375,59.3,12%,56 : 44
149,=149,Sant’Anna School of Advanced Studies – PisaItaly,776,12.4,19%,35 : 65
150,=149,Technical University of BerlinGermany,22622,60.6,24%,34 : 66
151,=152,Université Catholique de LouvainBelgium,26235,39.3,20%,53 : 47
152,=152,University of NottinghamUnited Kingdom,29699,14.6,29%,54 : 46
153,=152,Scuola Normale Superiore di PisaItaly,558,6.8,11%,29 : 71
154,=155,Arizona State University (Tempe)United StatesExplore,46683,21.1,21%,43 : 57
155,=155,University of LeedsUnited Kingdom,30236,14.2,29%,61 : 39
156,=157,Autonomous University of BarcelonaSpainExplore,31877,12.6,16%,59 : 41
157,=157,University of CologneGermany,36965,36.5,16%,63 : 37
158,=157,University of MannheimGermany,10730,79.9,18%,56 : 44
159,=157,University of Notre DameUnited States,12104,13.7,12%,45 : 55
160,=157,Shanghai Jiao Tong UniversityChinaExplore,38853,11.1,13%,44 : 56
161,=157,TU DresdenGermany,32309,34.2,14%,42 : 58
162,163,University of WürzburgGermany,24082,36.6,10%,56 : 44
163,164,Trinity College DublinIrelandExplore,16853,21.9,30%,59 : 41
164,165,University of LiverpoolUnited Kingdom,23057,13.8,33%,55 : 45
165,=166,Bielefeld UniversityGermany,24875,77.5,8%,57 : 43
166,=166,University of LeicesterUnited Kingdom,14645,14.3,32%,53 : 47
167,=168,University of AberdeenUnited Kingdom,12399,15.7,39%,57 : 43
168,=168,University of BolognaItalyExplore,65819,24.0,12%,56 : 44
169,=168,Rutgers University – New BrunswickUnited States,44801,11.2,17%,52 : 48
170,171,Hong Kong Polytechnic UniversityHong KongExplore,20388,23.1,25%,52 : 48
171,172,University of Alabama at BirminghamUnited States,16927,16.7,6%,62 : 38
172,=173,"Northeastern University, USUnited States",19575,13.9,35%,49 : 51
173,=173,University of RochesterUnited States,9824,4.2,31%,49 : 51
174,=175,University of FloridaUnited States,46642,16.8,10%,55 : 45
175,=175,Karlsruhe Institute of TechnologyGermany,27255,25.6,22%,28 : 72
176,=175,Stockholm UniversitySweden,27185,19.5,14%,
177,178,Texas A&M UniversityUnited States,60818,24.8,8%,47 : 53
178,=179,University of AucklandNew ZealandExplore,32821,22.1,32%,56 : 44
179,=179,"University of California, Santa CruzUnited States",18783,23.0,10%,50 : 50
180,=179,Korea UniversitySouth KoreaExplore,22965,16.0,22%,
181,=179,Queensland University of TechnologyAustraliaExplore,34871,38.2,16%,54 : 46
182,183,University of Erlangen-NurembergGermany,38111,57.0,12%,48 : 52
183,=184,Aalto UniversityFinland,12195,18.6,26%,34 : 66
184,=184,Technical University of DenmarkDenmark,9265,6.6,25%,30 : 70
185,=186,Eindhoven University of TechnologyNetherlands,8917,20.7,19%,
186,=186,University of GothenburgSweden,19677,10.2,13%,
187,188,Télécom ParisFrance,923,5.6,39%,21 : 79
188,=189,Lomonosov Moscow State UniversityRussian Federation,29235,7.3,29%,48 : 52
189,=189,University of MünsterGermany,43835,43.4,8%,
190,=189,Tel Aviv UniversityIsrael,22414,22.3,7%,55 : 45
191,192,University of East AngliaUnited KingdomExplore,15195,13.9,28%,60 : 40
192,193,University of CanberraAustralia,10823,36.2,32%,
193,=194,University of Duisburg-EssenGermanyExplore,42698,53.0,19%,48 : 52
194,=194,University of Technology SydneyAustraliaExplore,26385,43.4,34%,51 : 49
195,=194,University of the WitwatersrandSouth AfricaExplore,28521,26.3,8%,56 : 44
196,197,Yonsei University (Seoul campus)South KoreaExplore,17744,14.6,22%,47 : 53
197,=198,University of AntwerpBelgium,15166,29.3,17%,55 : 45
198,=198,Cardiff UniversityUnited KingdomExplore,25501,13.5,27%,59 : 41
199,=198,George Washington UniversityUnited States,23488,13.1,18%,60 : 40
200,=198,University of LausanneSwitzerland,12197,9.6,24%,
201,=198,University of St AndrewsUnited Kingdom,9213,12.7,46%,58 : 42
202,201–250,Aalborg UniversityDenmarkExplore,16340,13.6,15%,
203,201–250,University of BarcelonaSpainExplore,46214,11.8,10%,62 : 38
204,201–250,University of BergenNorway,14007,12.5,14%,60 : 40
205,201–250,Brandeis UniversityUnited States,5375,12.2,27%,57 : 43
206,201–250,University of CalgaryCanada,28560,16.0,19%,
207,201–250,Copenhagen Business SchoolDenmark,16317,30.9,25%,48 : 52
208,201–250,University of DundeeUnited KingdomExplore,12122,17.6,22%,63 : 37
209,201–250,École Normale Supérieure de LyonFrance,2362,8.9,13%,48 : 52
210,201–250,Griffith UniversityAustraliaExplore,34120,23.6,17%,58 : 42
211,201–250,University of Hawai’i at MānoaUnited States,15054,10.8,10%,57 : 43
212,201–250,Hebrew University of JerusalemIsrael,16137,12.0,5%,56 : 44
213,201–250,University of HohenheimGermany,9234,37.8,15%,57 : 43
214,201–250,Howard UniversityUnited States,8449,7.5,8%,65 : 35
215,201–250,University of IowaUnited States,28945,11.6,12%,52 : 48
216,201–250,James Cook UniversityAustralia,11491,21.2,11%,63 : 37
217,201–250,King Abdulaziz UniversitySaudi ArabiaExplore,32853,7.9,21%,54 : 46
218,201–250,University of KonstanzGermany,11387,56.1,13%,55 : 45
219,201–250,KTH Royal Institute of TechnologySweden,12659,15.7,20%,33 : 67
220,201–250,Université Libre de BruxellesBelgium,27194,36.2,34%,56 : 44
221,201–250,University of LuxembourgLuxembourg,4654,18.7,49%,51 : 49
222,201–250,Macquarie UniversityAustraliaExplore,30234,68.6,29%,52 : 48
223,201–250,University of MassachusettsUnited States,61204,13.0,15%,48 : 52
224,201–250,Medical University of GrazAustria,3352,10.9,24%,53 : 47
225,201–250,Medical University of ViennaAustria,7142,8.1,30%,52 : 48
226,201–250,University of MiamiUnited States,15971,6.3,16%,52 : 48
227,201–250,Moscow Institute of Physics and Technology (MIPT)Russian Federation,5716,11.2,15%,24 : 76
228,201–250,Newcastle UniversityUnited KingdomExplore,22691,14.1,27%,51 : 49
229,201–250,University of OtagoNew Zealand,18196,20.0,21%,59 : 41
230,201–250,University of PaduaItaly,45169,21.3,4%,55 : 45
231,201–250,Paris-Sud UniversityFrance,28726,14.5,17%,56 : 44
232,201–250,Queen’s University BelfastUnited KingdomExplore,17747,17.2,36%,55 : 45
233,201–250,RCSI University of Medicine and Health SciencesIrelandExplore,2265,21.1,65%,
234,201–250,University of ReadingUnited Kingdom,14107,14.9,31%,57 : 43
235,201–250,"St George’s, University of LondonUnited Kingdom",3226,14.7,21%,62 : 38
236,201–250,University of South Florida (Tampa)United States,33885,18.9,14%,
237,201–250,Tilburg UniversityNetherlands,8033,21.4,15%,50 : 50
238,201–250,University of TwenteNetherlands,7584,13.9,32%,37 : 63
239,201–250,Ulsan National Institute of Science and Technology (UNIST)South KoreaExplore,4127,13.9,8%,26 : 74
240,201–250,University College DublinIreland,22541,23.1,29%,
241,201–250,University of UtahUnited States,30365,14.2,8%,47 : 53
242,201–250,Virginia Polytechnic Institute and State UniversityUnited StatesExplore,32838,18.3,14%,43 : 57
243,201–250,Vita-Salute San Raffaele UniversityItaly,2610,10.7,3%,59 : 41
244,201–250,Vrije Universiteit BrusselBelgium,11371,28.4,22%,54 : 46
245,201–250,Wake Forest UniversityUnited States,7675,4.0,9%,53 : 47
246,201–250,University of WaterlooCanadaExplore,33519,23.6,20%,47 : 53
247,201–250,Western UniversityCanada,29865,23.1,18%,56 : 44
248,201–250,William & MaryUnited States,8235,11.4,9%,55 : 45
249,201–250,University of WollongongAustraliaExplore,18642,31.5,29%,52 : 48
250,251–300,Alfaisal UniversitySaudi ArabiaExplore,2566,10.4,34%,60 : 40
251,251–300,Auckland University of TechnologyNew ZealandExplore,18035,17.1,47%,59 : 41
252,251–300,Autonomous University of MadridSpain,29576,13.4,14%,61 : 39
253,251–300,University of BathUnited Kingdom,13825,16.4,32%,46 : 54
254,251–300,Brighton and Sussex Medical SchoolUnited Kingdom,879,11.3,15%,57 : 43
255,251–300,University at BuffaloUnited States,25849,17.4,17%,44 : 56
256,251–300,"University of California, RiversideUnited States",22272,18.0,14%,53 : 47
257,251–300,Chalmers University of TechnologySweden,9209,12.5,17%,32 : 68
258,251–300,University of Cincinnati – UptownUnited States,28434,20.4,9%,51 : 49
259,251–300,Curtin UniversityAustraliaExplore,29214,20.2,31%,51 : 49
260,251–300,Dalhousie UniversityCanadaExplore,15196,14.7,23%,54 : 46
261,251–300,University of DelawareUnited States,20566,17.0,10%,57 : 43
262,251–300,École des Ponts ParisTechFrance,2005,11.3,44%,32 : 68
263,251–300,University of EssexUnited Kingdom,11923,16.1,39%,54 : 46
264,251–300,Flinders UniversityAustraliaExplore,16844,25.8,34%,64 : 36
265,251–300,Florida State UniversityUnited States,38520,24.1,7%,56 : 44
266,251–300,George Mason UniversityUnited States,29377,18.0,10%,54 : 46
267,251–300,Heriot-Watt UniversityUnited KingdomExplore,9189,17.2,35%,41 : 59
268,251–300,HSE UniversityRussian Federation,22111,13.1,9%,
269,251–300,University of Illinois at ChicagoUnited States,27031,11.5,20%,52 : 48
270,251–300,University of KielGermany,26412,22.2,8%,53 : 47
271,251–300,La Trobe UniversityAustralia,22292,33.9,29%,64 : 36
272,251–300,Université LavalCanadaExplore,29250,17.3,13%,57 : 43
273,251–300,Macau University of Science and TechnologyMacaoExplore,9924,24.4,79%,56 : 44
274,251–300,Medical University of InnsbruckAustria,2966,4.3,44%,52 : 48
275,251–300,University of Galway – Ollscoil na GaillimheIreland,13911,26.6,17%,58 : 42
276,251–300,University of NavarraSpain,10833,13.0,22%,53 : 47
277,251–300,University of OregonUnited States,22143,10.8,12%,54 : 46
278,251–300,Oregon Health and Science UniversityUnited States,2895,1.0,3%,66 : 34
279,251–300,University of OuluFinlandExplore,10086,30.0,6%,51 : 49
280,251–300,University of PassauGermany,11387,86.6,12%,59 : 41
281,251–300,University of PotsdamGermany,20063,53.9,11%,57 : 43
282,251–300,Queen’s UniversityCanadaExplore,23306,25.1,13%,58 : 42
283,251–300,"Royal Holloway, University of LondonUnited Kingdom",9503,15.2,36%,59 : 41
284,251–300,Ruhr University BochumGermany,43015,60.5,14%,49 : 51
285,251–300,University of São PauloBrazil,83214,15.9,4%,48 : 52
286,251–300,Sapienza University of RomeItaly,71318,21.3,6%,57 : 43
287,251–300,Simon Fraser UniversityCanadaExplore,26521,27.3,30%,55 : 45
288,251–300,University of South AustraliaAustralia,20268,30.5,25%,58 : 42
289,251–300,University of Southern DenmarkDenmark,21281,12.1,17%,53 : 47
290,251–300,Stellenbosch UniversitySouth AfricaExplore,24308,26.1,8%,55 : 45
291,251–300,University of StuttgartGermany,26004,45.8,20%,32 : 68
292,251–300,Sun Yat-sen UniversityChinaExplore,53603,16.6,9%,51 : 49
293,251–300,University of SurreyUnited Kingdom,13125,16.0,37%,55 : 45
294,251–300,Swansea UniversityUnited Kingdom,16445,16.7,23%,45 : 55
295,251–300,Syracuse UniversityUnited States,20236,15.7,20%,53 : 47
296,251–300,Tampere UniversityFinland,15149,21.8,6%,51 : 49
297,251–300,Technical University of DarmstadtGermany,18166,40.8,17%,30 : 70
298,251–300,Tohoku UniversityJapan,17735,8.2,12%,27 : 73
299,251–300,Tokyo Institute of TechnologyJapan,9752,7.7,13%,15 : 85
300,251–300,Western Sydney UniversityAustralia,32259,35.7,17%,56 : 44
301,301–350,Aix-Marseille UniversityFrance,67857,16.6,12%,59 : 41
302,301–350,Anglia Ruskin University (ARU)United Kingdom,18022,23.1,30%,63 : 37
303,301–350,Beijing Normal UniversityChina,23524,15.4,11%,
304,301–350,Boston CollegeUnited States,12904,15.7,11%,55 : 45
305,301–350,University of CanterburyNew ZealandExplore,13089,18.0,24%,50 : 50
306,301–350,Colorado School of MinesUnited States,5768,16.7,11%,29 : 71
307,301–350,Cyprus University of TechnologyCyprus,3228,17.4,8%,54 : 46
308,301–350,Deakin UniversityAustralia,39305,28.6,22%,58 : 42
309,301–350,University of FribourgSwitzerland,10887,32.3,18%,59 : 41
310,301–350,Goethe University FrankfurtGermany,47141,19.6,15%,57 : 43
311,301–350,Grenoble Alpes UniversityFrance,41411,17.6,13%,52 : 48
312,301–350,Huazhong University of Science and TechnologyChinaExplore,56379,16.5,5%,36 : 64
313,301–350,Indian Institute of ScienceIndia,4128,9.6,1%,23 : 77
314,301–350,Indian Institute of Technology RoparIndia,1119,7.6,0%,13 : 87
315,301–350,Jacobs UniversityGermanyExplore,1142,16.2,76%,45 : 55
316,301–350,Johannes Gutenberg University of MainzGermany,31919,26.9,11%,59 : 41
317,301–350,University of KlagenfurtAustria,3639,10.8,22%,69 : 31
318,301–350,Kyung Hee UniversitySouth KoreaExplore,22102,17.3,22%,51 : 49
319,301–350,University of LiègeBelgium,20888,27.0,21%,56 : 44
320,301–350,University of MacauMacaoExplore,9340,14.4,37%,57 : 43
321,301–350,University of MalayaMalaysia,15140,8.0,20%,63 : 37
322,301–350,University of MarburgGermany,25541,34.7,12%,55 : 45
323,301–350,Maynooth UniversityIreland,9291,28.3,12%,55 : 45
324,301–350,University of MilanItaly,45451,21.4,6%,59 : 41
325,301–350,Montpellier UniversityFrance,39405,19.5,15%,53 : 47
326,301–350,Nagoya UniversityJapan,15676,9.2,11%,30 : 70
327,301–350,University of NewcastleAustralia,22100,20.7,18%,55 : 45
328,301–350,University of New Mexico (Main campus)United States,19382,17.1,5%,55 : 45
329,301–350,North Carolina State UniversityUnited States,30231,12.5,15%,45 : 55
330,301–350,Nova Southeastern UniversityUnited States,17785,23.4,6%,69 : 31
331,301–350,Osaka UniversityJapan,22892,7.4,11%,32 : 68
332,301–350,Politecnico di MilanoItalyExplore,35184,25.0,17%,34 : 66
333,301–350,Reykjavík UniversityIceland,2879,24.9,8%,41 : 59
334,301–350,Rush UniversityUnited States,2425,2.0,1%,74 : 26
335,301–350,Southern University of Science and Technology (SUSTech)ChinaExplore,3198,9.5,0%,27 : 73
336,301–350,Stony Brook UniversityUnited States,24201,10.5,23%,50 : 50
337,301–350,Università della Svizzera italianaSwitzerland,2768,10.8,67%,49 : 51
338,301–350,Swedish University of Agricultural SciencesSweden,3737,4.5,4%,69 : 31
339,301–350,University of TartuEstonia,8532,11.6,8%,68 : 32
340,301–350,University of TasmaniaAustralia,18219,24.9,30%,60 : 40
341,301–350,Temple UniversityUnited States,35814,13.0,9%,53 : 47
342,301–350,The University of Tennessee-KnoxvilleUnited States,25907,16.8,5%,
343,301–350,University of Texas at DallasUnited States,22757,21.6,25%,43 : 57
344,301–350,University of TrentoItaly,12920,19.5,7%,51 : 49
345,301–350,Tulane UniversityUnited States,11185,9.8,11%,57 : 43
346,301–350,Umeå UniversitySweden,17373,12.5,11%,60 : 40
347,301–350,United Arab Emirates UniversityUnited Arab EmiratesExplore,7523,9.2,21%,83 : 17
348,301–350,University College CorkIreland,16861,18.0,18%,58 : 42
349,301–350,Victoria UniversityAustralia,14815,32.2,23%,53 : 47
350,351–400,University of Alaska FairbanksUnited States,3593,8.7,5%,51 : 49
351,351–400,American University of BeirutLebanon,8401,8.5,21%,51 : 49
352,351–400,Australian Catholic UniversityAustralia,23886,43.5,12%,73 : 27
353,351–400,Babol Noshirvani University of TechnologyIran,5744,29.6,0%,32 : 68
354,351–400,University of BayreuthGermany,9255,29.7,10%,46 : 54
355,351–400,"Birkbeck, University of LondonUnited Kingdom",8631,15.8,38%,54 : 46
356,351–400,University of BremenGermany,18915,31.9,12%,51 : 49
357,351–400,Brunel University LondonUnited Kingdom,10961,16.3,36%,47 : 53
358,351–400,"University of California, MercedUnited States",7324,20.9,8%,51 : 49
359,351–400,Catholic University of PortugalPortugal,10998,26.7,10%,60 : 40
360,351–400,Clark UniversityUnited States,3045,11.5,23%,60 : 40
361,351–400,University of ConnecticutUnited States,32446,15.2,9%,53 : 47
362,351–400,University of CreteGreece,13321,23.4,4%,62 : 38
363,351–400,University of DenverUnited States,9535,13.0,9%,57 : 43
364,351–400,University of FlorenceItaly,34686,20.4,11%,59 : 41
365,351–400,"Goldsmiths, University of LondonUnited Kingdom",8486,15.3,35%,66 : 34
366,351–400,Hanyang UniversitySouth KoreaExplore,20087,15.7,21%,
367,351–400,Hasselt UniversityBelgium,5189,31.1,13%,47 : 53
368,351–400,Hofstra UniversityUnited States,10066,13.9,9%,57 : 43
369,351–400,University of IcelandIceland,8135,13.9,12%,67 : 33
370,351–400,IMT AtlantiqueFrance,1676,8.2,44%,26 : 74
371,351–400,Indian Institute of Technology IndoreIndia,1128,9.7,0%,17 : 83
372,351–400,Iowa State UniversityUnited States,32469,18.8,12%,44 : 56
373,351–400,Jordan University of Science and TechnologyJordan,21512,13.4,17%,58 : 42
374,351–400,Justus Liebig University GiessenGermany,28575,46.8,9%,62 : 38
375,351–400,University of KentUnited Kingdom,17754,20.0,31%,53 : 47
376,351–400,Khalifa UniversityUnited Arab EmiratesExplore,3651,9.5,26%,55 : 45
377,351–400,Loughborough UniversityUnited Kingdom,14749,14.3,25%,40 : 60
378,351–400,University of ManitobaCanada,29311,29.4,17%,53 : 47
379,351–400,Nankai UniversityChinaExplore,28061,13.3,7%,
380,351–400,University of Naples Federico IIItaly,49604,19.6,2%,55 : 45
381,351–400,National Tsing Hua UniversityTaiwan,14853,18.0,10%,42 : 58
382,351–400,Northumbria UniversityUnited Kingdom,21811,17.5,17%,55 : 45
