,Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
0,1,University of OxfordUnited Kingdom,20664,11.2,41%,46 : 54
1,2,California Institute of TechnologyUnited States,2240,6.4,30%,34 : 66
2,3,University of CambridgeUnited Kingdom,18978,10.9,37%,47 : 53
3,4,Stanford UniversityUnited States,16135,7.3,23%,43 : 57
4,5,Massachusetts Institute of TechnologyUnited States,11247,8.6,34%,39 : 61
5,6,Princeton UniversityUnited States,7983,8.1,25%,45 : 55
6,7,Harvard UniversityUnited States,20823,9.2,24%,49 : 51
7,8,Yale UniversityUnited States,12402,5.4,20%,50 : 50
8,9,The University of ChicagoUnited States,13833,5.7,28%,46 : 54
9,10,Imperial College LondonUnited Kingdom,16760,11.7,56%,38 : 62
10,11,University of PennsylvaniaUnited States,20578,6.5,21%,52 : 48
11,12,Johns Hopkins UniversityUnited States,16171,4.5,26%,52 : 48
12,=13,"University of California, BerkeleyUnited States",41081,13.7,17%,50 : 50
13,=13,ETH ZurichSwitzerland,18956,12.5,39%,32 : 68
14,15,UCLUnited Kingdom,32665,10.6,52%,57 : 43
15,16,Columbia UniversityUnited States,26586,5.8,37%,
16,17,"University of California, Los AngelesUnited States",41066,9.4,17%,54 : 46
17,18,University of TorontoCanadaExplore,73370,20.1,21%,59 : 41
18,19,Cornell UniversityUnited States,22319,9.8,25%,49 : 51
19,20,Duke UniversityUnited States,15309,4.3,19%,49 : 51
20,21,University of Michigan-Ann ArborUnited States,42982,8.3,17%,49 : 51
21,22,Northwestern UniversityUnited States,17951,12.8,20%,49 : 51
22,23,Tsinghua UniversityChinaExplore,38783,12.0,11%,34 : 66
23,24,Peking UniversityChinaExplore,39575,11.5,15%,46 : 54
24,25,National University of SingaporeSingaporeExplore,30869,17.9,28%,51 : 49
25,26,University of WashingtonUnited States,45692,11.1,16%,53 : 47
26,=27,Carnegie Mellon UniversityUnited States,13430,13.6,48%,41 : 59
