,Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
889,801–1000,Kingston UniversityUnited Kingdom,14285,18.3,37%,58 : 42
890,801–1000,K.N. Toosi University of TechnologyIran,6866,22.6,1%,34 : 66
891,801–1000,Kurume UniversityJapan,4995,7.5,2%,
892,801–1000,Kyoto Prefectural University of MedicineJapan,1323,3.3,1%,47 : 53
893,801–1000,Kyungpook National UniversitySouth KoreaExplore,21323,20.4,9%,44 : 56
894,801–1000,Lahore University of Management SciencesPakistanExplore,4067,15.1,2%,41 : 59
895,801–1000,University of Las Palmas de Gran CanariaSpain,18377,17.1,8%,57 : 43
896,801–1000,Lebanese American UniversityLebanon,7861,13.1,18%,51 : 49
897,801–1000,Leeds Beckett UniversityUnited Kingdom,19022,19.4,12%,52 : 48
898,801–1000,University of LeobenAustria,2635,5.0,14%,23 : 77
899,801–1000,University of LjubljanaSlovenia,38762,13.9,6%,60 : 40
900,801–1000,Louisiana Tech UniversityUnited States,10602,25.4,4%,44 : 56
901,801–1000,"Lumière University, Lyon 2France",24414,49.9,17%,67 : 33
902,801–1000,Marquette UniversityUnited States,10650,11.9,4%,55 : 45
903,801–1000,Medical University of WarsawPoland,9727,6.3,8%,74 : 26
904,801–1000,University of MemphisUnited States,16460,14.2,3%,59 : 41
905,801–1000,Miami UniversityUnited States,18301,25.2,15%,51 : 49
906,801–1000,Middle East Technical UniversityTurkey,23330,27.8,6%,43 : 57
907,801–1000,University of MinhoPortugal,18504,18.2,13%,55 : 45
908,801–1000,Mississippi State UniversityUnited States,26823,19.1,3%,51 : 49
909,801–1000,Nanjing Normal UniversityChina,29862,13.5,4%,69 : 31
910,801–1000,National Autonomous University of MexicoMexico,166368,16.5,8%,51 : 49
911,801–1000,National Central UniversityTaiwan,11233,10.1,11%,33 : 67
912,801–1000,National Chengchi UniversityTaiwan,13161,15.6,16%,52 : 48
913,801–1000,National Dong Hwa UniversityTaiwanExplore,9928,18.1,8%,51 : 49
914,801–1000,National Institute of Technology RourkelaIndia,5808,17.5,4%,17 : 83
915,801–1000,National University of Sciences and TechnologyPakistan,10998,7.5,4%,34 : 66
916,801–1000,National Sun Yat-Sen UniversityTaiwan,8374,13.5,8%,37 : 63
917,801–1000,National Taipei University of TechnologyTaiwanExplore,9874,15.6,9%,28 : 72
918,801–1000,National Institute of Technology SilcharIndia,3169,12.8,1%,14 : 86
919,801–1000,The New SchoolUnited States,10554,9.5,35%,72 : 28
920,801–1000,University of New Brunswick UNBCanada,8570,14.1,13%,52 : 48
921,801–1000,University of NicosiaCyprusExplore,4683,10.5,51%,51 : 49
922,801–1000,Niigata UniversityJapanExplore,12093,7.8,3%,38 : 62
923,801–1000,Normandy UniversityFrance,67205,20.4,11%,55 : 45
924,801–1000,"Northeastern University, ChinaChina",37339,14.6,4%,
925,801–1000,Northeast Normal UniversityChina,26862,17.1,2%,75 : 25
926,801–1000,University of Northern British Columbia (UNBC)Canada,2826,14.2,9%,62 : 38
927,801–1000,NorthWest A&F UniversityChina,30159,14.8,1%,50 : 50
928,801–1000,Ocean University of ChinaChina,27999,15.3,4%,54 : 46
929,801–1000,Okayama UniversityJapan,13136,10.9,9%,39 : 61
930,801–1000,Old Dominion UniversityUnited States,18811,18.2,3%,56 : 44
931,801–1000,Oran 1 UniversityAlgeria,25787,18.8,1%,64 : 36
932,801–1000,Osmania UniversityIndia,13426,28.5,4%,38 : 62
933,801–1000,University of OviedoSpain,21555,12.3,3%,54 : 46
934,801–1000,Pablo de Olavide UniversitySpain,13736,16.2,14%,59 : 41
935,801–1000,University of PeshawarPakistan,6063,10.1,2%,46 : 54
936,801–1000,Polytechnic University of ValenciaSpain,22019,10.6,15%,39 : 61
937,801–1000,Pontifical Catholic University of Rio Grande do Sul (PUCRS)Brazil,16633,23.1,0%,50 : 50
938,801–1000,Portland State UniversityUnited States,20202,18.4,8%,56 : 44
939,801–1000,University of Puerto RicoPuerto Rico,51933,13.1,1%,58 : 42
940,801–1000,Pusan National UniversitySouth KoreaExplore,24992,18.4,9%,47 : 53
941,801–1000,University of ReginaCanada,13324,23.7,24%,60 : 40
942,801–1000,Rikkyo UniversityJapan,20298,15.7,5%,
943,801–1000,Rochester Institute of TechnologyUnited States,14093,15.7,17%,35 : 65
944,801–1000,University of RoehamptonUnited Kingdom,7825,15.3,28%,70 : 30
945,801–1000,RUDN UniversityRussian Federation,20455,12.8,31%,52 : 48
946,801–1000,Université Saint-Joseph de BeyrouthLebanon,7748,20.0,5%,64 : 36
947,801–1000,University of SalamancaSpain,28709,17.5,16%,58 : 42
948,801–1000,University of SalfordUnited Kingdom,16793,18.4,20%,54 : 46
949,801–1000,University of Santiago de CompostelaSpain,24968,14.9,9%,61 : 39
950,801–1000,University of Science and Technology BeijingChina,25354,15.0,4%,37 : 63
951,801–1000,University of SevilleSpain,50970,16.8,10%,61 : 39
952,801–1000,Shanghai UniversityChina,37395,11.2,5%,50 : 50
953,801–1000,Shanghai University of Finance and Economics (SUFE)China,15613,15.0,5%,57 : 43
954,801–1000,Shanghai Maritime UniversityChina,21959,15.8,3%,42 : 58
955,801–1000,Shantou UniversityChina,11084,12.1,1%,48 : 52
956,801–1000,Sheffield Hallam UniversityUnited Kingdom,25548,17.2,11%,55 : 45
957,801–1000,Shiraz UniversityIran,13490,18.9,0%,50 : 50
958,801–1000,Sidi Mohamed Ben Abdellah UniversityMorocco,87278,57.1,2%,47 : 53
959,801–1000,Sogang UniversitySouth Korea,9749,23.8,11%,45 : 55
960,801–1000,Sohag UniversityEgypt,55753,28.3,0%,59 : 41
961,801–1000,University of South Bohemia in České BudějoviceCzech Republic,9143,14.4,5%,70 : 30
962,801–1000,South China Normal UniversityChina,31465,15.7,3%,
963,801–1000,University of South DakotaUnited States,7282,15.8,3%,
964,801–1000,Southern Illinois University CarbondaleUnited States,11158,14.9,8%,48 : 52
965,801–1000,University of SplitCroatia,19867,19.7,2%,
966,801–1000,Sri Venkateswara UniversityIndia,7707,14.2,0%,41 : 59
967,801–1000,Sultan Qaboos UniversityOman,7224,7.7,4%,50 : 50
968,801–1000,University of SzegedHungary,18859,12.1,20%,56 : 44
969,801–1000,Tallinn UniversityEstonia,4506,11.4,13%,71 : 29
970,801–1000,Tallinn University of TechnologyEstonia,9437,13.4,14%,43 : 57
971,801–1000,Technical University of MadridSpain,37683,13.1,15%,32 : 68
972,801–1000,Technological University DublinIreland,19300,18.4,18%,43 : 57
973,801–1000,University of Technology of CompiègneFrance,4308,16.0,24%,37 : 63
974,801–1000,University of Technology of TroyesFrance,3087,19.3,24%,22 : 78
975,801–1000,Teesside UniversityUnited Kingdom,12258,19.1,11%,58 : 42
976,801–1000,Universiti Tenaga Nasional (UNITEN)Malaysia,5736,13.5,9%,38 : 62
977,801–1000,University of Texas at El PasoUnited States,17883,23.7,8%,53 : 47
978,801–1000,Tokyo Medical UniversityJapan,1370,1.7,1%,49 : 51
979,801–1000,Tokyo Metropolitan UniversityJapanExplore,8853,10.1,5%,38 : 62
980,801–1000,Tomsk Polytechnic UniversityRussian Federation,9118,7.9,28%,33 : 67
981,801–1000,University of ToursFrance,27994,21.9,11%,60 : 40
982,801–1000,Tribhuvan UniversityNepal,422690,31.1,0%,51 : 49
983,801–1000,"Vietnam National University, HanoiVietnam",36410,13.5,1%,54 : 46
984,801–1000,University of VigoSpain,18103,15.8,5%,50 : 50
985,801–1000,Vilnius UniversityLithuania,16470,10.3,10%,65 : 35
986,801–1000,Vilnius Gediminas Technical University (Vilnius Tech)Lithuania,9328,14.0,12%,32 : 68
987,801–1000,VIT UniversityIndia,32943,19.3,2%,24 : 76
988,801–1000,Volgograd State Technical UniversityRussian Federation,14162,15.2,7%,35 : 65
989,801–1000,University of WarsawPoland,41344,13.3,10%,65 : 35
990,801–1000,Waseda UniversityJapan,48260,15.5,11%,38 : 62
991,801–1000,Wenzhou UniversityChina,15780,14.0,5%,58 : 42
992,801–1000,University of WestminsterUnited Kingdom,16226,19.3,49%,60 : 40
993,801–1000,University of WolverhamptonUnited Kingdom,14779,18.4,21%,63 : 37
994,801–1000,Wuhan University of TechnologyChina,52910,14.4,3%,30 : 70
995,801–1000,Xidian UniversityChina,35133,16.5,2%,28 : 72
996,801–1000,Yangzhou UniversityChinaExplore,33876,13.8,4%,55 : 45
997,801–1000,Yeungnam UniversitySouth Korea,19494,14.8,5%,50 : 50
998,801–1000,University of ZaragozaSpain,28036,9.9,7%,54 : 46
999,801–1000,Zayed UniversityUnited Arab Emirates,7524,14.6,2%,89 : 11
1000,801–1000,Zhejiang University of TechnologyChina,30891,14.7,8%,
1001,1001+,University of Abou Bekr Belkaïd TlemcenAlgeria,41558,23.4,1%,67 : 33
1002,1001+,Acharya Nagarjuna UniversityIndia,4816,10.3,7%,37 : 63
1003,1001+,Acıbadem UniversityTurkey,2608,4.7,2%,75 : 25
1004,1001+,University of A CoruñaSpain,14815,12.4,4%,52 : 48
1005,1001+,"Adam Mickiewicz University, PoznańPoland",34534,13.2,3%,69 : 31
1006,1001+,Adolfo Ibáñez UniversityChile,10385,28.8,5%,38 : 62
1007,1001+,AGH University of Science and TechnologyPoland,24949,13.2,3%,34 : 66
1008,1001+,Aichi Medical UniversityJapan,1291,2.7,1%,59 : 41
1009,1001+,Ain Shams UniversityEgypt,202325,17.6,2%,49 : 51
1010,1001+,Akdeniz UniversityTurkey,36492,33.0,3%,35 : 65
1011,1001+,Akita UniversityJapan,4936,10.1,4%,35 : 65
1012,1001+,Aksaray UniversityTurkey,22626,37.5,6%,45 : 55
1013,1001+,Al-Azhar UniversityEgypt,342151,32.9,6%,44 : 56
1014,1001+,Alexandria UniversityEgypt,187170,25.4,3%,54 : 46
1015,1001+,Alexandru Ioan Cuza UniversityRomania,23919,19.6,6%,63 : 37
1016,1001+,Al-Farabi Kazakh National UniversityKazakhstan,22116,4.6,17%,56 : 44
1017,1001+,University of AlicanteSpain,24543,16.1,8%,58 : 42
1018,1001+,University of AlmeríaSpain,13067,17.7,12%,56 : 44
1019,1001+,Alzahra UniversityIran,9616,22.6,1%,100 : 0
1020,1001+,Amity UniversityIndia,31103,15.4,5%,46 : 54
1021,1001+,Anadolu UniversityTurkey,513690,339.1,0%,43 : 57
1022,1001+,"University of the Andes, ChileChile",8734,15.1,2%,59 : 41
1023,1001+,"University of the Andes, VenezuelaVenezuela",31841,12.4,2%,60 : 40
1024,1001+,Andhra UniversityIndia,8869,13.9,5%,49 : 51
1025,1001+,Universidad Andrés Bello (UNAB)Chile,41098,19.1,2%,52 : 48
1026,1001+,Ankara UniversityTurkey,76364,18.5,5%,45 : 55
1027,1001+,Anna UniversityIndia,14966,15.2,1%,45 : 55
1028,1001+,Annamalai UniversityIndia,19490,12.8,2%,49 : 51
1029,1001+,University of AntioquiaColombia,40807,23.4,0%,50 : 50
1030,1001+,Aoyama Gakuin UniversityJapan,19084,11.6,3%,50 : 50
1031,1001+,Arak UniversityIran,6369,21.4,0%,57 : 43
1032,1001+,Ariel UniversityIsrael,11250,28.3,0%,49 : 51
1033,1001+,Assiut UniversityEgypt,96833,21.3,1%,54 : 46
1034,1001+,Atatürk UniversityTurkey,58588,33.6,2%,49 : 51
1035,1001+,Atılım UniversityTurkeyExplore,9385,14.1,5%,41 : 59
1036,1001+,Austral University of ChileChile,16392,17.8,2%,51 : 49
1037,1001+,Universidad Autónoma del Estado de HidalgoMexico,36143,18.2,1%,57 : 43
1038,1001+,Universidad Autónoma del Estado de Mexico (UAEMex)Mexico,58936,21.3,0%,58 : 42
1039,1001+,Universidad Autónoma de Nuevo León (UANL)Mexico,117108,40.7,1%,49 : 51
1040,1001+,Universidad Autónoma de QuerétaroMexico,22411,39.7,1%,56 : 44
1041,1001+,Universidad Autónoma de YucatánMexico,17119,14.8,0%,50 : 50
1042,1001+,Autonomous University of Baja CaliforniaMexicoExplore,64427,20.0,2%,53 : 47
1043,1001+,Autonomous University of San Luis PotosiMexico,31551,8.9,0%,52 : 48
1044,1001+,Babeş-Bolyai UniversityRomania,38974,25.8,5%,65 : 35
1045,1001+,University of BaghdadIraq,70590,11.2,0%,58 : 42
1046,1001+,Bahauddin Zakariya UniversityPakistan,28987,34.9,0%,43 : 57
1047,1001+,Bahçeşehir UniversityTurkey,18422,50.6,14%,48 : 52
1048,1001+,Banasthali UniversityIndiaExplore,10368,17.6,4%,98 : 2
1049,1001+,Bandung Institute of Technology (ITB)Indonesia,17267,9.5,2%,42 : 58
1050,1001+,Bangladesh University of Engineering and TechnologyBangladesh,5607,11.4,0%,24 : 76
1051,1001+,Bashkir State UniversityRussian Federation,14166,11.9,3%,64 : 36
1052,1001+,Başkent UniversityTurkey,13227,14.4,2%,61 : 39
1053,1001+,University of BasrahIraq,32479,13.4,0%,52 : 48
1054,1001+,Beijing Forestry UniversityChina,19353,16.3,2%,55 : 45
1055,1001+,Beijing University of TechnologyChina,21899,11.8,3%,43 : 57
1056,1001+,University of BéjaïaAlgeria,43062,25.4,1%,58 : 42
1057,1001+,Belarusian State UniversityBelarus,24451,7.8,10%,61 : 39
1058,1001+,Belgorod State National Research UniversityRussian Federation,12994,14.3,18%,64 : 36
1059,1001+,Benemérita Universidad Autónoma de PueblaMexico,79778,40.2,0%,53 : 47
1060,1001+,Bezmiâlem Vakif UniversityTurkey,3521,12.4,5%,73 : 27
1061,1001+,University of Bío-BíoChile,13085,25.5,1%,42 : 58
1062,1001+,University of BirjandIran,12055,26.2,1%,53 : 47
1063,1001+,"Birla Institute of Technology and Science, PilaniIndia",14788,18.1,1%,20 : 80
1064,1001+,University of BiskraAlgeria,32650,23.6,1%,
1065,1001+,Blida 1 UniversityAlgeria,33723,24.6,1%,62 : 38
1066,1001+,Bolu Abant Izzet Baysal UniversityTurkey,22466,24.2,1%,57 : 43
1067,1001+,University of BotswanaBotswana,12206,16.1,4%,56 : 44
1068,1001+,University of BrawijayaIndonesia,52540,17.2,2%,54 : 46
1069,1001+,Brno University of TechnologyCzech Republic,19589,18.9,23%,29 : 71
1070,1001+,Bu-Ali Sina UniversityIran,11279,25.6,1%,55 : 45
1071,1001+,University of BucharestRomania,32371,19.1,2%,68 : 32
1072,1001+,Budapest University of Technology and EconomicsHungary,19415,17.7,11%,31 : 69
1073,1001+,Burapha UniversityThailandExplore,34785,23.7,1%,64 : 36
1074,1001+,University of BurgosSpain,7200,13.0,5%,55 : 45
1075,1001+,University of CadizSpain,18995,18.7,9%,56 : 44
1076,1001+,University of CalcuttaIndiaExplore,18570,25.4,1%,60 : 40
1077,1001+,"California State University, Long BeachUnited States",30440,19.5,4%,58 : 42
1078,1001+,Canterbury Christ Church UniversityUnited Kingdom,11131,16.7,13%,69 : 31
1079,1001+,Technical University of CartagenaSpain,4497,10.2,9%,27 : 73
1080,1001+,University of CarthageTunisia,31188,9.6,1%,66 : 34
1081,1001+,University of Castilla-La ManchaSpain,23198,13.6,7%,56 : 44
1082,1001+,The Catholic University of KoreaSouth Korea,9762,7.2,3%,59 : 41
1083,1001+,Catholic University of the NorthChile,11567,20.0,2%,46 : 54
1084,1001+,Universidad Católica San Antonio de Murcia (UCAM)Spain,12621,6.7,10%,56 : 44
1085,1001+,University of Caxias do SulBrazil,15400,23.5,0%,53 : 47
1086,1001+,Ceará State UniversityBrazil,20106,17.6,0%,61 : 39
1087,1001+,Central University of Finance and EconomicsChina,15859,14.1,3%,62 : 38
1088,1001+,Chaoyang University of TechnologyTaiwan,16173,41.3,6%,55 : 45
1089,1001+,"University of Chemistry and Technology, PragueCzech Republic",4159,9.2,22%,61 : 39
1090,1001+,University of ChesterUnited Kingdom,11016,19.6,11%,68 : 32
1091,1001+,Chiang Mai UniversityThailand,36296,15.4,2%,63 : 37
1092,1001+,Chiba Institute of TechnologyJapan,9797,30.9,1%,14 : 86
1093,1001+,China Pharmaceutical UniversityChina,16470,16.1,3%,65 : 35
1094,1001+,Chubu UniversityJapan,12227,23.0,2%,26 : 74
1095,1001+,Chungbuk National UniversitySouth KoreaExplore,19294,14.8,3%,32 : 68
1096,1001+,Chungnam National UniversitySouth Korea,21744,20.5,4%,46 : 54
1097,1001+,Chung Yuan Christian UniversityTaiwan,15978,32.9,11%,44 : 56
1098,1001+,Chuo UniversityJapan,26212,37.7,4%,37 : 63
1099,1001+,Cochin University of Science and TechnologyIndia,8463,19.3,0%,39 : 61
1100,1001+,University of ColomboSri Lanka,29197,35.6,0%,56 : 44
1101,1001+,Comenius University in BratislavaSlovakia,21141,9.9,13%,66 : 34
1102,1001+,University of ConcepciónChile,28176,17.2,2%,52 : 48
1103,1001+,Corvinus University of BudapestHungary,11232,24.9,16%,53 : 47
1104,1001+,Cracow University of TechnologyPoland,13079,12.1,2%,38 : 62
1105,1001+,Cukurova UniversityTurkey,42974,18.0,3%,44 : 56
1106,1001+,Czech University of Life Sciences Prague (CZU)Czech Republic,17500,20.7,21%,51 : 49
1107,1001+,Czech Technical University in PragueCzech Republic,18282,11.6,20%,30 : 70
1108,1001+,De La Salle UniversityPhilippinesExplore,13346,16.4,3%,49 : 51
1109,1001+,Del Rosario UniversityColombia,11952,14.5,1%,57 : 43
1110,1001+,Democritus University of ThraceGreece,30414,48.4,3%,54 : 46
1111,1001+,University of DhakaBangladesh,210856,16.9,3%,47 : 53
1112,1001+,Diponegoro UniversityIndonesia,38420,15.6,2%,56 : 44
1113,1001+,Dokkyo Medical UniversityJapan,1344,1.3,1%,53 : 47
1114,1001+,Dokuz Eylül UniversityTurkey,61620,18.8,2%,47 : 53
1115,1001+,Doshisha UniversityJapan,28272,18.7,4%,41 : 59
1116,1001+,Dunarea de Jos University of GalatiRomania,12383,16.8,22%,58 : 42
1117,1001+,Duzce UniversityTurkey,28346,25.7,2%,42 : 58
1118,1001+,East Carolina UniversityUnited States,26230,14.5,2%,58 : 42
1119,1001+,Prague University of Economics and BusinessCzech Republic,13493,27.2,24%,53 : 47
1120,1001+,Edge Hill UniversityUnited Kingdom,11624,14.5,6%,68 : 32
1121,1001+,Ege UniversityTurkey,42173,26.3,3%,48 : 52
1122,1001+,Ehime UniversityJapan,9341,13.2,3%,38 : 62
1123,1001+,The University of Electro-CommunicationsJapan,4838,15.8,5%,12 : 88
1124,1001+,University of Engineering & Technology (UET) LahorePakistan,13832,13.4,3%,24 : 76
1125,1001+,Erciyes UniversityTurkey,37580,29.6,3%,46 : 54
1126,1001+,Eskişehir Osmangazi UniversityTurkey,30533,20.5,3%,38 : 62
1127,1001+,Universidade do Estado do Rio de Janeiro (UERJ)Brazil,24286,9.8,0%,57 : 43
1128,1001+,Universidade do Estado de Santa CatarinaBrazil,13414,12.8,1%,52 : 48
1129,1001+,Universidade Estadual de MaringáBrazil,22727,12.1,1%,57 : 43
1130,1001+,Universidade Estadual do Oeste do Paraná (Unioeste)Brazil,11935,9.2,0%,52 : 48
1131,1001+,Far Eastern Federal UniversityRussian Federation,15750,11.2,23%,
1132,1001+,Fayoum UniversityEgypt,35991,14.6,1%,66 : 34
1133,1001+,Universidade Federal do ABC (UFABC)Brazil,15580,21.2,1%,35 : 65
1134,1001+,Federal University of AlagoasBrazil,30196,18.4,0%,
1135,1001+,Universidade Federal da BahiaBrazil,45148,18.1,0%,44 : 56
1136,1001+,Universidade Federal do Ceará (UFC)Brazil,36345,16.3,1%,45 : 55
1137,1001+,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA)Brazil,6047,16.8,10%,67 : 33
1138,1001+,Federal University of Espírito SantoBrazil,24617,12.8,1%,56 : 44
1139,1001+,Federal University of GoiásBrazil,34803,13.1,0%,51 : 49
1140,1001+,Federal University of ItajubáBrazil,8286,15.9,1%,29 : 71
1141,1001+,Universidade Federal de Juiz de ForaBrazil,28458,18.3,0%,42 : 58
1142,1001+,Federal University of LavrasBrazil,14546,18.4,1%,49 : 51
1143,1001+,Universidade Federal do Maranhão (UFMA)Brazil,29443,14.3,0%,49 : 51
1144,1001+,Federal University of Mato Grosso do SulBrazil,27263,17.3,1%,53 : 47
1145,1001+,Universidade Federal de Ouro Preto (UFOP)Brazil,13936,16.0,1%,52 : 48
1146,1001+,Federal University of ParáBrazil,43681,16.3,0%,53 : 47
1147,1001+,Federal University of Paraí­ba (UFPB)Brazil,30829,11.9,0%,51 : 49
1148,1001+,Universidade Federal do Paraná (UFPR)Brazil,32860,13.3,0%,51 : 49
1149,1001+,Federal University of PernambucoBrazil,40131,17.4,1%,49 : 51
1150,1001+,Federal University of PiauíBrazil,30467,15.5,0%,54 : 46
1151,1001+,Federal University of Rio Grande do Norte (UFRN)Brazil,40206,18.6,0%,45 : 55
1152,1001+,Universidade Federal Rural do Semi-AridoBrazil,8007,11.7,0%,42 : 58
1153,1001+,Federal University of Santa MariaBrazil,27667,13.8,1%,53 : 47
1154,1001+,Federal University of São CarlosBrazil,19404,15.1,2%,48 : 52
1155,1001+,Federal University of UberlândiaBrazil,29867,15.8,1%,52 : 48
1156,1001+,Federal University of ViçosaBrazil,15347,12.3,1%,49 : 51
1157,1001+,Federico Santa María Technical UniversityChileExplore,19430,24.7,4%,25 : 75
1158,1001+,Feng Chia UniversityTaiwan,19790,23.2,8%,37 : 63
1159,1001+,Ferdowsi University of MashhadIran,24186,29.9,5%,56 : 44
1160,1001+,Fluminense Federal UniversityBrazil,54134,15.3,1%,45 : 55
1161,1001+,University of Fortaleza (UNIFOR)Brazil,22101,18.0,0%,54 : 46
1162,1001+,Université Frères Mentouri Constantine 1Algeria,35321,21.0,1%,57 : 43
1163,1001+,University of La FronteraChile,10827,23.4,1%,49 : 51
1164,1001+,University of FukuiJapan,5047,8.2,4%,30 : 70
1165,1001+,Universitas Gadjah MadaIndonesia,38092,7.9,6%,53 : 47
1166,1001+,Gazi UniversityTurkey,43518,25.6,2%,49 : 51
1167,1001+,Gaziantep UniversityTurkey,30713,27.6,12%,47 : 53
1168,1001+,University of GdańskPoland,24302,17.4,2%,69 : 31
1169,1001+,Gdańsk University of TechnologyPoland,15540,13.9,5%,40 : 60
1170,1001+,Gebze Technical UniversityTurkey,7492,23.7,2%,37 : 63
1171,1001+,"George Emil Palade University of Medicine, Pharmacy, Science, and Technology of Targu MuresRomania",10629,20.3,8%,53 : 47
1172,1001+,University of GhanaGhana,39872,25.4,1%,46 : 54
1173,1001+,Gifu UniversityJapan,7203,7.5,4%,37 : 63
1174,1001+,GITAM UniversityIndia,19012,15.5,1%,30 : 70
1175,1001+,Government College University LahorePakistan,10012,18.5,1%,41 : 59
1176,1001+,Grigore T. Popa University of Medicine and PharmacyRomania,9416,11.1,26%,62 : 38
1177,1001+,University of GuadalajaraMexicoExplore,127330,56.8,0%,53 : 47
1178,1001+,University of GuanajuatoMexico,27203,19.8,3%,54 : 46
1179,1001+,Guangxi UniversityChina,38481,18.4,4%,47 : 53
1180,1001+,Gubkin Russian State University of Oil and GasRussian Federation,9553,10.1,6%,37 : 63
1181,1001+,University of GuilanIran,17364,29.8,1%,59 : 41
1182,1001+,Gunma UniversityJapan,6344,7.7,4%,38 : 62
1183,1001+,Gyeongsang National UniversitySouth KoreaExplore,15611,14.5,3%,45 : 55
1184,1001+,Hakim Sabzevari UniversityIran,5311,14.4,2%,53 : 47
1185,1001+,Hallym UniversitySouth Korea,8383,10.4,5%,
1186,1001+,Hamamatsu University School of MedicineJapan,1208,3.8,1%,49 : 51
1187,1001+,Hanoi University of Science and TechnologyVietnam,30893,20.6,1%,26 : 74
1188,1001+,The Hashemite UniversityJordanExplore,16987,18.8,6%,62 : 38
1189,1001+,Université Hassan II de CasablancaMorocco,117685,35.3,2%,53 : 47
1190,1001+,University of HavanaCuba,16058,10.6,6%,60 : 40
1191,1001+,Helwan UniversityEgypt,114062,22.1,1%,52 : 48
1192,1001+,Hosei UniversityJapan,30662,40.8,3%,38 : 62
1193,1001+,University of Hradec KrálovéCzech Republic,6245,13.3,5%,66 : 34
1194,1001+,Huaqiao UniversityChina,30890,17.4,12%,51 : 49
1195,1001+,University of HyogoJapan,6570,12.9,3%,41 : 59
1196,1001+,Ibaraki UniversityJapan,7975,14.5,3%,36 : 64
1197,1001+,Ibn Tofaïl UniversityMorocco,47086,76.1,2%,50 : 50
1198,1001+,Immanuel Kant Baltic Federal UniversityRussian Federation,7282,10.4,9%,64 : 36
1199,1001+,Incheon National UniversitySouth Korea,13468,17.4,3%,
1200,1001+,Indian Institute of Technology PatnaIndia,1535,13.0,0%,13 : 87
1201,1001+,Universidad Industrial de Santander (UIS)Colombia,20786,15.5,0%,45 : 55
1202,1001+,Instituto Politécnico Nacional (IPN)Mexico,180801,11.0,0%,39 : 61
1203,1001+,IPB UniversityIndonesia,22258,8.3,3%,58 : 42
1204,1001+,Irkutsk State UniversityRussian Federation,12577,12.5,5%,69 : 31
1205,1001+,University of IsfahanIran,15139,23.1,2%,62 : 38
1206,1001+,I-Shou UniversityTaiwan,13419,28.3,15%,49 : 51
1207,1001+,The Islamia University of BahawalpurPakistan,15509,27.4,0%,44 : 56
1208,1001+,Istanbul Medipol UniversityTurkeyExplore,18780,23.5,4%,67 : 33
1209,1001+,Ivane Javakhishvili Tbilisi State UniversityGeorgiaExplore,20319,24.8,3%,61 : 39
1210,1001+,Ivan Franko National University of LvivUkraine,18646,10.2,1%,65 : 35
1211,1001+,Iwate UniversityJapan,5436,14.0,3%,37 : 63
1212,1001+,Izmir Institute of TechnologyTurkey,5328,19.5,3%,46 : 54
1213,1001+,James Madison UniversityUnited States,21315,17.9,2%,60 : 40
1214,1001+,Jan Evangelista Purkyně UniversityCzech Republic,7438,17.7,3%,69 : 31
1215,1001+,Jawaharlal Nehru Technological University Anantapur (JNTUA)India,5402,15.2,0%,42 : 58
1216,1001+,Jeju National UniversitySouth KoreaExplore,12189,19.1,5%,52 : 48
1217,1001+,Jeonbuk National UniversitySouth KoreaExplore,20555,20.4,6%,45 : 55
1218,1001+,Jianghan UniversityChina,17149,13.8,2%,55 : 45
1219,1001+,Kagawa UniversityJapan,6377,9.9,2%,41 : 59
1220,1001+,Kagoshima UniversityJapan,10539,10.2,3%,37 : 63
1221,1001+,Kanagawa UniversityJapan,18090,14.9,3%,29 : 71
1222,1001+,Kanazawa UniversityJapan,10341,9.8,6%,36 : 64
1223,1001+,Kanazawa Medical UniversityJapan,1149,2.3,1%,
1224,1001+,Kangwon National UniversitySouth KoreaExplore,21454,21.3,3%,40 : 60
1225,1001+,Kansai UniversityJapan,30766,12.3,3%,40 : 60
1226,1001+,Kasetsart UniversityThailand,67668,18.6,1%,58 : 42
1227,1001+,Kaunas University of TechnologyLithuania,9587,14.8,6%,37 : 63
1228,1001+,Kazan National Research Technical UniversityRussian Federation,6993,11.1,11%,27 : 73
1229,1001+,Kazan National Research Technological UniversityRussian Federation,14266,11.0,12%,45 : 55
1230,1001+,Kharazmi UniversityIran,12226,19.2,1%,56 : 44
1231,1001+,Khon Kaen UniversityThailand,33738,17.4,2%,62 : 38
1232,1001+,KIIT UniversityIndiaExplore,21668,12.7,3%,48 : 52
1233,1001+,King Faisal UniversitySaudi Arabia,79232,37.0,1%,43 : 57
1234,1001+,King Mongkut’s Institute of Technology LadkrabangThailand,25154,22.6,1%,52 : 48
1235,1001+,King Mongkut's University of Technology North BangkokThailand,27177,24.4,0%,43 : 57
1236,1001+,Kitasato UniversityJapan,8561,5.4,0%,53 : 47
1237,1001+,KL UniversityIndia,16930,14.8,2%,33 : 67
1238,1001+,Kochi UniversityJapan,5423,7.9,1%,44 : 56
1239,1001+,Kochi University of TechnologyJapan,2477,20.2,2%,22 : 78
1240,1001+,Kogakuin UniversityJapan,6278,17.8,1%,18 : 82
1241,1001+,Kookmin UniversitySouth Korea,17467,11.9,11%,47 : 53
1242,1001+,Universiti Kuala LumpurMalaysia,15533,12.1,2%,41 : 59
