,Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
0,1,University of OxfordUnited Kingdom,20967,10.6,42%,48 : 52
1,2,Harvard UniversityUnited States,21887,9.6,25%,50 : 50
2,=3,University of CambridgeUnited Kingdom,20185,11.3,39%,47 : 53
3,=3,Stanford UniversityUnited States,16164,7.1,24%,46 : 54
4,5,Massachusetts Institute of TechnologyUnited States,11415,8.2,33%,40 : 60
5,6,California Institute of TechnologyUnited States,2237,6.2,34%,37 : 63
6,7,Princeton UniversityUnited States,8279,8.0,23%,46 : 54
7,8,"University of California, BerkeleyUnited States",40921,18.4,24%,52 : 48
8,9,Yale UniversityUnited States,13482,5.9,21%,52 : 48
9,10,Imperial College LondonUnited Kingdom,18544,11.2,61%,40 : 60
10,=11,Columbia UniversityUnited States,21781,4.5,38%,
11,=11,ETH ZurichSwitzerland,21665,14.8,41%,33 : 67
12,13,The University of ChicagoUnited States,15366,6.0,36%,47 : 53
13,14,University of PennsylvaniaUnited States,21453,6.3,23%,53 : 47
14,15,Johns Hopkins UniversityUnited States,17584,4.7,29%,53 : 47
15,16,Tsinghua UniversityChinaExplore,38324,11.6,10%,
16,17,Peking UniversityChinaExplore,31994,10.3,19%,
17,18,University of TorontoCanadaExplore,77468,25.8,26%,56 : 44
18,19,National University of SingaporeSingaporeExplore,32337,19.8,25%,51 : 49
19,20,Cornell UniversityUnited States,24027,10.3,26%,51 : 49
20,21,"University of California, Los AngelesUnited States",42434,9.7,16%,56 : 44
21,22,UCLUnited Kingdom,36791,10.4,60%,59 : 41
22,23,University of Michigan-Ann ArborUnited States,45912,8.2,17%,50 : 50
23,24,New York UniversityUnited States,36337,9.8,42%,57 : 43
24,25,Duke UniversityUnited States,16091,4.2,24%,52 : 48
25,=26,Northwestern UniversityUnited States,19175,13.2,20%,51 : 49
26,=26,University of WashingtonUnited States,47727,10.8,18%,55 : 45
27,28,Carnegie Mellon UniversityUnited States,14305,12.9,47%,44 : 56
28,29,University of EdinburghUnited Kingdom,32844,11.8,47%,62 : 38
29,30,Technical University of MunichGermanyExplore,33960,40.6,36%,37 : 63
30,31,University of Hong KongHong Kong,18087,18.2,43%,54 : 46
31,32,"University of California, San DiegoUnited States",37030,11.3,28%,48 : 52
32,33,LMU MunichGermanyExplore,35003,34.2,19%,61 : 39
33,34,University of MelbourneAustralia,49588,23.8,47%,58 : 42
34,35,King’s College LondonUnited Kingdom,28967,11.8,52%,63 : 37
35,36,"Nanyang Technological University, SingaporeSingapore",24651,15.1,25%,48 : 52
36,37,London School of Economics and Political ScienceUnited Kingdom,11118,11.9,73%,55 : 45
37,38,Georgia Institute of TechnologyUnited States,28826,24.7,40%,33 : 67
38,39,The University of TokyoJapan,26112,10.5,15%,
39,40,University of British ColumbiaCanada,56452,18.9,34%,55 : 45
40,41,École Polytechnique Fédérale de LausanneSwitzerland,11641,12.3,62%,30 : 70
41,42,KU LeuvenBelgiumExplore,47663,36.5,18%,51 : 49
42,43,Heidelberg UniversityGermany,19347,13.5,21%,55 : 45
43,44,Monash UniversityAustralia,58725,42.5,41%,57 : 43
44,45,Chinese University of Hong KongHong KongExplore,18468,19.0,21%,
45,46,McGill UniversityCanada,32309,12.5,30%,60 : 40
46,47,Paris Sciences et Lettres – PSL Research University ParisFrance,16218,15.0,22%,51 : 49
47,48,University of Illinois at Urbana-ChampaignUnited States,48674,17.4,22%,48 : 52
48,49,Karolinska InstituteSweden,8021,9.9,27%,70 : 30
49,50,University of Texas at AustinUnited States,49171,17.4,10%,53 : 47
50,51,Fudan UniversityChina,36318,11.9,9%,52 : 48
51,52,Shanghai Jiao Tong UniversityChinaExplore,37478,11.5,8%,42 : 58
52,53,The University of QueenslandAustraliaExplore,41372,34.2,41%,55 : 45
53,=54,University of ManchesterUnited KingdomExplore,37036,14.2,44%,55 : 45
54,=54,University of SydneyAustralia,45853,19.0,45%,58 : 42
55,56,Seoul National UniversitySouth Korea,26209,15.1,10%,
56,57,Washington University in St LouisUnited States,14420,7.8,24%,53 : 47
57,58,The Hong Kong University of Science and TechnologyHong KongExplore,9864,21.0,32%,
58,59,Wageningen University & ResearchNetherlands,15404,18.6,27%,55 : 45
59,60,University of AmsterdamNetherlandsExplore,29157,14.5,32%,59 : 41
