,Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
60,61,Brown UniversityUnited States,10037,10.1,21%,
61,62,Australian National UniversityAustralia,16758,14.6,51%,52 : 48
62,63,"University of California, DavisUnited States",37639,13.1,18%,60 : 40
63,64,"University of California, Santa BarbaraUnited States",25860,28.5,20%,54 : 46
64,65,University of Southern CaliforniaUnited States,40549,12.6,22%,49 : 51
65,66,Utrecht UniversityNetherlandsExplore,32532,17.1,13%,62 : 38
66,67,Zhejiang UniversityChinaExplore,46124,12.0,16%,
67,68,Kyoto UniversityJapan,22269,9.2,12%,25 : 75
68,69,University of North Carolina at Chapel HillUnited States,31080,7.9,8%,59 : 41
69,70,Delft University of TechnologyNetherlands,20299,16.1,31%,31 : 69
70,=71,Boston UniversityUnited States,27243,10.8,31%,59 : 41
71,=71,UNSW SydneyAustraliaExplore,45133,36.3,40%,47 : 53
72,73,Charité - Universitätsmedizin BerlinGermany,8429,18.0,21%,64 : 36
73,74,University of Science and Technology of ChinaChinaExplore,18573,8.1,6%,
74,75,University of GroningenNetherlandsExplore,30009,24.4,28%,52 : 48
75,76,University of BristolUnited Kingdom,25679,14.6,31%,56 : 44
76,77,Leiden UniversityNetherlandsExplore,33648,19.3,20%,60 : 40
77,78,Yonsei University (Seoul campus)South KoreaExplore,19481,14.7,17%,50 : 50
78,79,Hong Kong Polytechnic UniversityHong KongExplore,19046,28.9,30%,51 : 49
79,80,Erasmus University RotterdamNetherlandsExplore,31668,33.9,22%,53 : 47
80,81,University of Wisconsin-MadisonUnited States,40701,10.0,14%,
81,=82,Emory UniversityUnited States,13190,4.2,20%,60 : 40
82,=82,University of GlasgowUnited KingdomExplore,28541,13.5,41%,59 : 41
83,=82,University of ZurichSwitzerland,25003,13.7,22%,56 : 44
84,85,McMaster UniversityCanadaExplore,26403,29.0,20%,56 : 44
85,=86,Humboldt University of BerlinGermany,34399,53.2,17%,
86,=86,University of TübingenGermany,20620,27.5,13%,59 : 41
87,88,University of AdelaideAustralia,23102,32.8,32%,49 : 51
88,89,University of BonnGermany,27210,47.5,17%,56 : 44
89,90,Sorbonne UniversityFrance,41443,13.9,21%,59 : 41
90,=91,Free University of BerlinGermany,26497,41.9,23%,62 : 38
91,=91,Korea Advanced Institute of Science and Technology (KAIST)South Korea,9946,10.7,9%,21 : 79
92,93,Université Paris-SaclayFrance,44443,14.9,19%,49 : 51
93,94,University of BernSwitzerland,11728,17.2,17%,58 : 42
94,=95,"University of California, IrvineUnited States",36655,16.9,28%,52 : 48
95,=95,Institut Polytechnique de ParisFranceExplore,5999,6.7,41%,24 : 76
96,=95,Nanjing UniversityChina,36426,16.5,8%,54 : 46
97,98,Vanderbilt UniversityUnited States,12696,3.8,15%,55 : 45
98,=99,City University of Hong KongHong KongExplore,9099,12.1,62%,54 : 46
99,=99,RWTH Aachen UniversityGermany,39738,50.0,28%,33 : 67
100,=101,University of BaselSwitzerland,8632,10.9,30%,57 : 43
101,=101,King Abdulaziz UniversitySaudi ArabiaExplore,31545,7.8,22%,54 : 46
102,=101,University of MinnesotaUnited States,61009,12.0,10%,54 : 46
103,=104,"University of Maryland, College ParkUnited States",33775,16.5,11%,49 : 51
104,=104,University of WarwickUnited Kingdom,23231,13.1,44%,50 : 50
105,106,Michigan State UniversityUnited States,45465,16.0,13%,52 : 48
106,107,Ghent UniversityBelgium,39437,35.6,12%,57 : 43
107,=108,University of BirminghamUnited Kingdom,31822,15.0,34%,58 : 42
108,=108,University of SouthamptonUnited Kingdom,21173,13.7,39%,53 : 47
109,110,University of HelsinkiFinland,23059,15.8,5%,67 : 33
110,111,University of MontrealCanadaExplore,38189,20.8,22%,
111,112,Ohio State University (Main campus)United States,55814,11.8,13%,51 : 49
112,113,University of FreiburgGermany,20253,37.2,17%,53 : 47
113,=114,University of CopenhagenDenmark,31519,4.2,16%,62 : 38
114,=114,Université Paris CitéFrance,62747,17.0,19%,65 : 35
115,=114,University of SheffieldUnited Kingdom,27464,14.5,41%,53 : 47
116,117,Aarhus UniversityDenmark,26475,13.5,10%,55 : 45
117,118,University of AlbertaCanada,32338,21.6,28%,
118,=119,University of GöttingenGermany,30221,26.0,14%,52 : 48
119,=119,Lund UniversitySweden,28545,11.5,18%,55 : 45
120,121,Vrije Universiteit AmsterdamNetherlands,29796,19.8,16%,56 : 44
121,122,Lancaster UniversityUnited Kingdom,14378,12.8,39%,51 : 49
122,123,Dartmouth CollegeUnited States,6440,7.8,15%,49 : 51
123,=124,Queen Mary University of LondonUnited Kingdom,20506,13.2,46%,55 : 45
124,=124,University of ViennaAustria,35929,42.9,29%,66 : 34
125,126,University of OsloNorway,21548,13.3,15%,66 : 34
126,127,Purdue University West LafayetteUnited States,44551,16.9,20%,44 : 56
127,=128,University of HamburgGermany,30676,61.5,12%,58 : 42
128,=128,University of LeedsUnited Kingdom,33991,14.6,36%,60 : 40
129,130,University of NottinghamUnited Kingdom,32876,15.1,31%,54 : 46
130,=131,University of AntwerpBelgium,15857,32.2,17%,56 : 44
131,=131,The University of Western AustraliaAustralia,18405,21.3,28%,49 : 51
132,133,University of Technology SydneyAustraliaExplore,27481,35.1,31%,50 : 50
133,134,Case Western Reserve UniversityUnited States,10934,8.2,20%,51 : 49
134,135,University of LausanneSwitzerland,13401,10.2,23%,
135,136,Georgetown UniversityUnited States,16074,8.0,19%,54 : 46
136,=137,University of ExeterUnited Kingdom,24164,15.9,29%,53 : 47
137,=137,University of OttawaCanadaExplore,36670,26.0,24%,58 : 42
138,=139,University of AucklandNew ZealandExplore,33093,22.1,32%,56 : 44
139,=139,Newcastle UniversityUnited KingdomExplore,25588,15.1,29%,52 : 48
140,=139,Radboud University NijmegenNetherlandsExplore,21979,17.6,13%,56 : 44
141,=139,University of WürzburgGermany,23754,40.7,10%,58 : 42
142,=139,University of YorkUnited Kingdom,17666,14.3,28%,56 : 44
143,144,University of Pittsburgh-Pittsburgh campusUnited States,26575,5.5,11%,55 : 45
144,145,Maastricht UniversityNetherlands,19909,18.6,56%,60 : 40
145,146,University of CologneGermany,33341,30.4,16%,
146,147,Rice UniversityUnited States,7068,9.2,28%,43 : 57
147,=148,University of Colorado BoulderUnited States,34928,16.0,8%,45 : 55
148,=148,Ulm UniversityGermany,10271,26.2,13%,51 : 49
149,=148,Uppsala UniversitySweden,25548,15.3,17%,62 : 38
150,=151,University of FloridaUnited States,46807,16.1,8%,56 : 44
151,=151,Penn State (Main campus)United States,46863,14.0,16%,47 : 53
152,=151,Tufts UniversityUnited States,11399,10.0,16%,56 : 44
153,154,University of RochesterUnited States,10364,7.7,36%,50 : 50
154,155,KTH Royal Institute of TechnologySweden,13329,16.4,20%,34 : 66
155,=156,Arizona State University (Tempe)United StatesExplore,50027,19.6,17%,45 : 55
156,=156,Technical University of BerlinGermany,20243,48.1,27%,35 : 65
157,=156,TU DresdenGermany,30382,30.8,16%,45 : 55
158,=156,University of Virginia (Main campus)United States,25810,9.0,13%,53 : 47
159,160,University of Cape TownSouth AfricaExplore,21069,12.8,15%,54 : 46
160,=161,University of BolognaItalyExplore,69831,24.4,12%,56 : 44
161,=161,Trinity College DublinIrelandExplore,17764,21.0,28%,60 : 40
162,=163,University of LeicesterUnited Kingdom,14649,14.1,34%,54 : 46
163,=163,Lomonosov Moscow State UniversityRussian Federation,32625,10.0,36%,50 : 50
164,=163,Pohang University of Science and Technology (POSTECH)South KoreaExplore,3260,10.0,3%,
165,=166,Southern University of Science and Technology (SUSTech)ChinaExplore,5137,8.8,1%,
166,=166,Technical University of DenmarkDenmark,9599,6.9,26%,32 : 68
167,=168,Medical University of GrazAustria,3722,14.1,27%,53 : 47
168,=168,"Northeastern University, USUnited States",21211,14.6,36%,48 : 52
169,=170,Indiana UniversityUnited States,66637,12.6,13%,53 : 47
170,=170,Université Catholique de LouvainBelgium,24523,36.0,20%,54 : 46
171,=170,Sungkyunkwan University (SKKU)South KoreaExplore,23399,19.4,18%,
172,173,Wuhan UniversityChinaExplore,55412,15.2,6%,
173,174,Ulsan National Institute of Science and Technology (UNIST)South KoreaExplore,3896,13.6,9%,27 : 73
174,175,Macquarie UniversityAustraliaExplore,30561,69.0,27%,52 : 48
175,=176,Huazhong University of Science and TechnologyChinaExplore,57167,16.2,4%,
176,=176,University of LiverpoolUnited Kingdom,26352,14.2,36%,55 : 45
177,=176,Stockholm UniversitySweden,30365,20.7,7%,
178,179,University of MannheimGermany,7684,58.2,13%,
179,180,University of ArizonaUnited States,39797,17.0,9%,54 : 46
180,181,Texas A&M UniversityUnited States,62931,21.3,8%,47 : 53
181,182,University of BarcelonaSpainExplore,45004,15.8,11%,63 : 37
182,=183,Autonomous University of BarcelonaSpainExplore,31933,12.7,16%,60 : 40
183,=183,Scuola Normale Superiore di PisaItaly,629,7.6,13%,28 : 72
184,185,University of MünsterGermany,28014,25.4,7%,
185,186,Pompeu Fabra UniversitySpain,11965,22.4,13%,60 : 40
186,=187,Cardiff UniversityUnited KingdomExplore,27107,14.3,28%,59 : 41
187,=187,National Taiwan University (NTU)TaiwanExplore,25215,11.4,11%,42 : 58
188,=189,Friedrich Schiller University JenaGermany,16446,20.6,14%,
189,=189,Karlsruhe Institute of TechnologyGermany,22673,21.6,20%,29 : 71
190,191,University of MassachusettsUnited States,63338,13.2,14%,49 : 51
191,=192,University of AberdeenUnited Kingdom,13203,16.2,44%,58 : 42
192,=192,"University of California, Santa CruzUnited States",19266,22.6,14%,47 : 53
193,=194,Medical University of ViennaAustria,7274,8.4,33%,50 : 50
194,=194,University of MiamiUnited States,17009,10.8,16%,53 : 47
195,=196,University of Erlangen-NurembergGermany,30303,43.4,13%,51 : 49
196,=196,Sichuan UniversityChinaExplore,49543,15.8,6%,
197,=198,Durham UniversityUnited Kingdom,18427,14.1,35%,54 : 46
198,=198,Queen’s University BelfastUnited KingdomExplore,19061,15.7,39%,57 : 43
199,=198,University of ReadingUnited Kingdom,15720,16.4,32%,56 : 44
200,201–250,Aalto UniversityFinland,13306,19.7,21%,38 : 62
201,201–250,University of BergenNorway,15202,12.8,10%,60 : 40
202,201–250,Bielefeld UniversityGermany,24875,66.6,7%,58 : 42
203,201–250,University of CalgaryCanada,33560,18.7,21%,54 : 46
204,201–250,Curtin UniversityAustraliaExplore,29999,20.8,31%,52 : 48
205,201–250,University of DundeeUnited KingdomExplore,13631,18.3,27%,64 : 36
206,201–250,University of East AngliaUnited KingdomExplore,15941,13.3,25%,58 : 42
207,201–250,Eindhoven University of TechnologyNetherlands,10240,21.0,24%,
208,201–250,University of GenevaSwitzerland,19078,8.7,40%,62 : 38
209,201–250,George Washington UniversityUnited States,22298,12.9,15%,62 : 38
210,201–250,University of GothenburgSweden,20891,10.7,12%,
211,201–250,University of HohenheimGermany,8714,39.7,14%,58 : 42
212,201–250,Humanitas UniversityItalyExplore,1823,19.0,18%,59 : 41
213,201–250,King Fahd University of Petroleum and MineralsSaudi Arabia,7268,8.6,10%,2 : 98
214,201–250,University of KonstanzGermany,5758,24.2,12%,60 : 40
215,201–250,Korea UniversitySouth KoreaExplore,22507,15.8,27%,
216,201–250,Université Libre de BruxellesBelgium,28290,49.3,31%,57 : 43
217,201–250,University of LuxembourgLuxembourg,5185,19.3,51%,53 : 47
218,201–250,University of MacauMacaoExplore,10460,15.4,39%,55 : 45
219,201–250,Macau University of Science and TechnologyMacaoExplore,11993,38.1,91%,57 : 43
220,201–250,Medical University of InnsbruckAustria,3244,12.9,43%,54 : 46
221,201–250,Moscow Institute of Physics and Technology (MIPT)Russian Federation,6083,11.5,20%,
222,201–250,University of NewcastleAustralia,24363,29.5,18%,57 : 43
223,201–250,University of Notre DameUnited States,12401,10.9,13%,46 : 54
224,201–250,University of PaduaItaly,48524,29.3,8%,55 : 45
225,201–250,University of PotsdamGermany,14993,39.6,14%,57 : 43
226,201–250,Qatar UniversityQatar,9084,8.8,35%,77 : 23
227,201–250,Queensland University of TechnologyAustraliaExplore,35278,37.9,17%,53 : 47
228,201–250,RCSI University of Medicine and Health SciencesIrelandExplore,2563,24.2,70%,
229,201–250,Rutgers University – New BrunswickUnited States,46158,10.9,17%,53 : 47
230,201–250,"St George’s, University of LondonUnited Kingdom",3489,13.3,20%,64 : 36
231,201–250,Sant’Anna School of Advanced Studies – PisaItaly,1100,14.0,19%,41 : 59
232,201–250,University of São PauloBrazil,82010,15.9,4%,47 : 53
233,201–250,Sapienza University of RomeItaly,72604,28.2,10%,60 : 40
234,201–250,Semmelweis UniversityHungaryExplore,9860,12.2,34%,69 : 31
235,201–250,University of South FloridaUnited States,39907,18.6,13%,
236,201–250,University of St AndrewsUnited Kingdom,9770,12.3,47%,59 : 41
237,201–250,University of SurreyUnited Kingdom,14958,16.9,36%,53 : 47
238,201–250,University of SussexUnited Kingdom,17791,17.5,37%,55 : 45
239,201–250,Università della Svizzera italianaSwitzerland,3266,12.5,66%,47 : 53
240,201–250,University of TartuEstonia,9235,12.0,13%,68 : 32
241,201–250,Tel Aviv UniversityIsrael,23834,23.0,7%,57 : 43
242,201–250,Tohoku UniversityJapan,17812,12.4,14%,28 : 72
243,201–250,University College DublinIreland,23361,21.3,31%,
244,201–250,Vita-Salute San Raffaele UniversityItaly,3560,15.1,5%,61 : 39
245,201–250,Vrije Universiteit BrusselBelgium,14284,33.6,23%,57 : 43
246,201–250,University of WaterlooCanadaExplore,34306,23.2,23%,48 : 52
247,201–250,Western UniversityCanada,29747,29.5,22%,56 : 44
248,201–250,Western Sydney UniversityAustralia,36033,40.3,22%,58 : 42
249,201–250,University of WollongongAustraliaExplore,17440,29.1,27%,54 : 46
250,251–300,Aalborg UniversityDenmarkExplore,16818,14.7,14%,
251,251–300,Auckland University of TechnologyNew ZealandExplore,18837,17.3,49%,59 : 41
252,251–300,Australian Catholic UniversityAustralia,23728,39.1,15%,75 : 25
253,251–300,University of BathUnited Kingdom,14953,15.5,34%,46 : 54
254,251–300,Beijing Normal UniversityChina,24416,14.3,10%,
255,251–300,Bond UniversityAustralia,3214,10.9,39%,54 : 46
256,251–300,Boston CollegeUnited States,12755,14.5,12%,54 : 46
257,251–300,Bournemouth UniversityUnited Kingdom,13823,18.5,21%,53 : 47
258,251–300,Brighton and Sussex Medical SchoolUnited Kingdom,1013,19.7,17%,60 : 40
259,251–300,"University of California, RiversideUnited States",24515,18.6,14%,53 : 47
260,251–300,University of CanberraAustralia,10785,35.5,26%,
261,251–300,Chalmers University of TechnologySweden,9513,13.8,19%,32 : 68
262,251–300,"China Medical University, TaiwanTaiwan",7284,15.5,9%,56 : 44
263,251–300,Copenhagen Business SchoolDenmark,16547,27.7,24%,48 : 52
264,251–300,Deakin UniversityAustralia,43080,33.9,25%,58 : 42
265,251–300,University of Duisburg-EssenGermanyExplore,41618,43.7,19%,49 : 51
266,251–300,Heinrich Heine University DüsseldorfGermany,29365,32.8,12%,58 : 42
267,251–300,École des Ponts ParisTechFrance,1959,10.0,37%,32 : 68
268,251–300,Goethe University FrankfurtGermany,30082,12.7,14%,58 : 42
269,251–300,Griffith UniversityAustraliaExplore,35900,32.9,17%,59 : 41
270,251–300,University of Hawai’i at MānoaUnited States,14628,10.7,11%,56 : 44
271,251–300,Hebrew University of JerusalemIsrael,16175,11.3,5%,57 : 43
272,251–300,University of Illinois at ChicagoUnited States,28724,11.3,19%,54 : 46
273,251–300,Indian Institute of ScienceIndia,3990,8.8,1%,27 : 73
274,251–300,Johannes Gutenberg University of MainzGermany,30856,25.5,12%,59 : 41
275,251–300,University of KielGermany,27911,22.7,9%,53 : 47
276,251–300,King Saud UniversitySaudi Arabia,33931,10.6,14%,44 : 56
277,251–300,Kyung Hee UniversitySouth KoreaExplore,20504,17.7,27%,55 : 45
278,251–300,La Trobe UniversityAustralia,21663,27.4,33%,63 : 37
279,251–300,Université LavalCanadaExplore,28611,16.9,15%,58 : 42
280,251–300,Linköping UniversitySweden,15026,14.4,15%,52 : 48
281,251–300,University of NavarraSpain,11466,14.7,27%,54 : 46
282,251–300,Oregon Health and Science UniversityUnited States,3035,1.0,3%,67 : 33
283,251–300,Osaka UniversityJapan,22485,10.5,10%,33 : 67
284,251–300,University of PaviaItaly,20027,34.9,10%,57 : 43
285,251–300,Queen’s UniversityCanadaExplore,26556,26.2,17%,59 : 41
286,251–300,Ruhr University BochumGermany,38441,48.5,15%,50 : 50
287,251–300,Sejong UniversitySouth Korea,12356,20.8,13%,48 : 52
288,251–300,University of SharjahUnited Arab Emirates,12933,19.2,55%,67 : 33
289,251–300,Simon Fraser UniversityCanadaExplore,26981,27.5,31%,54 : 46
290,251–300,University of Southern DenmarkDenmark,18471,10.2,14%,53 : 47
291,251–300,Stellenbosch UniversitySouth AfricaExplore,24907,25.9,8%,56 : 44
292,251–300,Sun Yat-sen UniversityChinaExplore,57951,15.1,5%,49 : 51
293,251–300,Swansea UniversityUnited Kingdom,17489,15.4,22%,47 : 53
294,251–300,Tilburg UniversityNetherlands,11876,29.9,20%,51 : 49
295,251–300,Tongji UniversityChinaExplore,30153,10.8,12%,46 : 54
296,251–300,University of TwenteNetherlands,9816,14.7,37%,37 : 63
297,251–300,United Arab Emirates UniversityUnited Arab EmiratesExplore,7121,10.9,17%,80 : 20
298,251–300,University of UtahUnited States,30967,13.6,8%,48 : 52
299,251–300,Virginia Polytechnic Institute and State UniversityUnited StatesExplore,36512,18.5,14%,43 : 57
300,251–300,University of the WitwatersrandSouth AfricaExplore,26871,23.6,7%,56 : 44
301,301–350,Abu Dhabi UniversityUnited Arab Emirates,3926,18.1,60%,51 : 49
302,301–350,Aix-Marseille UniversityFrance,70054,17.4,13%,60 : 40
303,301–350,Alfaisal UniversitySaudi ArabiaExplore,2851,10.2,32%,59 : 41
304,301–350,Anglia Ruskin University (ARU)United Kingdom,20287,27.8,46%,64 : 36
305,301–350,Autonomous University of MadridSpain,29327,13.2,12%,61 : 39
306,301–350,University of BordeauxFranceExplore,53755,22.4,13%,59 : 41
307,301–350,Brandeis UniversityUnited States,5427,13.1,28%,59 : 41
308,301–350,Universiti Brunei DarussalamBrunei DarussalamExplore,3641,10.8,14%,66 : 34
309,301–350,University at BuffaloUnited States,27393,18.0,15%,45 : 55
310,301–350,"University of California, MercedUnited States",9185,20.1,10%,52 : 48
311,301–350,University of Colorado Denver/Anschutz Medical CampusUnited States,17224,3.8,8%,57 : 43
312,301–350,Dalhousie UniversityCanadaExplore,16901,14.8,28%,55 : 45
313,301–350,Drexel UniversityUnited States,19304,12.5,14%,51 : 49
314,301–350,École Normale Supérieure de LyonFrance,2171,8.6,11%,47 : 53
315,301–350,University of EssexUnited Kingdom,14335,15.3,40%,54 : 46
316,301–350,Flinders UniversityAustraliaExplore,17027,27.9,36%,65 : 35
317,301–350,Florida State UniversityUnited States,39380,24.0,7%,57 : 43
318,301–350,University of Galway – Ollscoil na GaillimheIreland,15109,26.1,20%,60 : 40
319,301–350,George Mason UniversityUnited States,32157,18.1,12%,53 : 47
320,301–350,Hasselt UniversityBelgium,5683,31.1,14%,49 : 51
321,301–350,University of IowaUnited States,29257,11.1,8%,54 : 46
322,301–350,Lappeenranta-Lahti University of Technology LUTFinlandExplore,4609,30.3,12%,33 : 67
323,301–350,University of MilanItaly,47512,21.2,7%,60 : 40
324,301–350,University of Milan-BicoccaItaly,29057,29.2,5%,62 : 38
325,301–350,Montpellier UniversityFrance,40179,20.1,15%,54 : 46
326,301–350,Nagoya UniversityJapan,15224,12.8,12%,30 : 70
327,301–350,Nankai UniversityChinaExplore,31322,11.3,5%,
328,301–350,University of OtagoNew Zealand,18508,19.7,19%,60 : 40
329,301–350,University of OuluFinlandExplore,10134,19.8,7%,54 : 46
330,301–350,Peter the Great St Petersburg Polytechnic UniversityRussian Federation,16375,9.7,32%,41 : 59
331,301–350,Politecnico di MilanoItalyExplore,37532,25.4,18%,
332,301–350,Reykjavík UniversityIceland,2757,22.9,8%,47 : 53
333,301–350,RMIT UniversityAustralia,32692,23.6,34%,48 : 52
334,301–350,University of St GallenSwitzerland,8065,12.2,34%,35 : 65
335,301–350,Saint Louis UniversityUnited States,10798,7.4,7%,60 : 40
336,301–350,University of South AustraliaAustralia,23490,32.9,21%,58 : 42
337,301–350,University of Southern QueenslandAustralia,12150,26.0,18%,62 : 38
338,301–350,Stony Brook UniversityUnited States,25411,10.6,22%,52 : 48
339,301–350,University of StuttgartGermany,16054,26.5,19%,34 : 66
340,301–350,Swinburne University of TechnologyAustralia,15327,25.6,25%,38 : 62
341,301–350,Taipei Medical UniversityTaiwanExplore,5946,9.1,10%,58 : 42
342,301–350,Tampere UniversityFinland,15855,20.6,6%,54 : 46
343,301–350,University of TasmaniaAustralia,18264,22.9,36%,60 : 40
344,301–350,Technical University of DarmstadtGermany,15526,37.1,18%,34 : 66
345,301–350,Temple UniversityUnited States,35641,12.5,8%,54 : 46
346,301–350,The University of Tennessee-KnoxvilleUnited States,27308,16.7,4%,
347,301–350,Tokyo Institute of TechnologyJapan,9878,9.5,17%,16 : 84
348,301–350,University College CorkIreland,17925,20.8,20%,59 : 41
349,301–350,University of VictoriaCanada,20936,24.6,21%,55 : 45
350,351–400,American University of BeirutLebanon,9267,8.7,22%,51 : 49
351,351–400,"Asia University, TaiwanTaiwan",11421,30.3,7%,62 : 38
352,351–400,Ateneo de Manila UniversityPhilippines,13159,10.0,4%,51 : 49
353,351–400,"Birkbeck, University of LondonUnited Kingdom",8059,16.7,40%,56 : 44
354,351–400,University of BremenGermany,12635,20.1,14%,53 : 47
355,351–400,University of BresciaItaly,15133,24.6,7%,46 : 54
356,351–400,University of Cape CoastGhanaExplore,28451,35.5,0%,33 : 67
357,351–400,Catholic University of PortugalPortugal,11213,22.2,21%,63 : 37
358,351–400,Central South UniversityChinaExplore,56344,20.4,4%,
359,351–400,Charles Darwin UniversityAustralia,7246,34.5,30%,69 : 31
360,351–400,"City, University of LondonUnited Kingdom",15459,18.2,51%,57 : 43
361,351–400,University of DelawareUnited States,21808,16.3,12%,57 : 43
362,351–400,East China Normal UniversityChinaExplore,28055,14.7,11%,64 : 36
363,351–400,Edith Cowan UniversityAustraliaExplore,18759,30.4,28%,60 : 40
364,351–400,Golestan University of Medical SciencesIran,3721,11.5,11%,60 : 40
365,351–400,University of GreifswaldGermany,10291,20.6,8%,58 : 42
366,351–400,University of HailSaudi Arabia,19366,11.2,10%,63 : 37
367,351–400,Harbin Institute of TechnologyChina,30542,10.5,6%,
368,351–400,Howard UniversityUnited States,8782,8.2,6%,70 : 30
369,351–400,Imam Mohammad Ibn Saud Islamic UniversitySaudi Arabia,43110,10.8,3%,39 : 61
370,351–400,IMT AtlantiqueFrance,1436,7.7,33%,25 : 75
371,351–400,James Cook UniversityAustralia,12825,20.1,32%,62 : 38
372,351–400,JSS Academy of Higher Education and ResearchIndia,7891,9.5,7%,54 : 46
373,351–400,University of KentUnited Kingdom,16703,17.0,29%,54 : 46
374,351–400,Khalifa UniversityUnited Arab EmiratesExplore,3029,8.8,22%,58 : 42
375,351–400,Kurdistan University of Medical SciencesIran,3181,10.5,2%,49 : 51
376,351–400,Leuphana University of LüneburgGermany,7839,26.1,7%,62 : 38
377,351–400,University of LiègeBelgium,21910,26.8,21%,58 : 42
378,351–400,Loughborough UniversityUnited Kingdom,15815,13.7,29%,41 : 59
379,351–400,University of MalayaMalaysia,18320,9.8,18%,58 : 42
380,351–400,University of ManitobaCanada,29561,29.4,20%,54 : 46
381,351–400,Mazandaran University of Medical SciencesIran,7845,15.1,1%,57 : 43
