,Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
71,=71,Ohio State University (Main campus)United States,53540,12.8,12%,49 : 51
72,73,Sorbonne UniversityFrance,42681,14.3,19%,59 : 41
73,=74,Boston UniversityUnited States,25095,8.4,27%,60 : 40
74,=74,Utrecht UniversityNetherlandsExplore,31551,14.3,7%,59 : 41
75,76,University of FreiburgGermany,22005,44.5,22%,55 : 45
76,77,McMaster UniversityCanadaExplore,24602,27.3,16%,53 : 47
77,78,University of BristolUnited Kingdom,20570,13.2,27%,53 : 47
78,=79,University of GroningenNetherlandsExplore,26183,23.8,18%,52 : 48
79,=79,University of WarwickUnited Kingdom,19649,13.3,41%,50 : 50
80,81,Penn State (Main campus)United States,45704,15.0,15%,46 : 54
81,=82,"University of Maryland, College ParkUnited States",32099,16.2,10%,47 : 53
82,=82,Sungkyunkwan University (SKKU)South KoreaExplore,23359,19.5,14%,42 : 58
83,=84,Emory UniversityUnited States,12647,4.2,20%,58 : 42
84,=84,Monash UniversityAustralia,49728,34.6,35%,57 : 43
85,86,Rice UniversityUnited States,6554,8.9,28%,42 : 58
86,=87,RWTH Aachen UniversityGermany,44517,61.8,19%,32 : 68
87,=87,Uppsala UniversitySweden,25061,16.9,14%,56 : 44
88,89,University of TübingenGermany,28743,39.2,14%,58 : 42
89,=90,Charité - Universitätsmedizin BerlinGermany,6943,17.5,19%,64 : 36
90,=90,University of MontrealCanadaExplore,37311,20.3,23%,59 : 41
91,=90,University of ZurichSwitzerland,26340,14.7,20%,57 : 43
92,=93,University of Science and Technology of ChinaChinaExplore,16152,8.4,4%,
93,=93,University of GlasgowUnited KingdomExplore,24235,15.3,36%,58 : 42
94,=93,Michigan State UniversityUnited States,44951,17.0,17%,51 : 49
95,=96,"University of California, IrvineUnited States",31089,16.7,24%,53 : 47
96,=96,UNSW SydneyAustraliaExplore,41358,30.5,36%,47 : 53
97,98,Lund UniversitySweden,28454,11.8,17%,54 : 46
98,=99,Dartmouth CollegeUnited States,6172,6.7,15%,48 : 52
99,=99,University of HelsinkiFinland,22418,16.6,6%,65 : 35
100,101,Zhejiang UniversityChinaExplore,36031,10.9,18%,21 : 79
101,102,Korea Advanced Institute of Science and Technology (KAIST)South Korea,9587,10.4,9%,20 : 80
102,103,University of BaselSwitzerland,12852,18.0,27%,55 : 45
103,104,Free University of BerlinGermany,35032,56.4,21%,59 : 41
104,104,Fudan UniversityChina,34393,12.2,11%,51 : 49
105,106,University of SheffieldUnited Kingdom,25577,14.9,35%,50 : 50
106,107,University of Virginia (Main campus)United States,24295,9.4,12%,53 : 47
107,108,École PolytechniqueFranceExplore,2908,5.6,36%,21 : 79
108,109,Georgetown UniversityUnited States,15801,8.5,17%,54 : 46
109,=110,University of BernSwitzerland,10967,16.7,15%,56 : 44
110,=110,University of BonnGermany,37708,70.2,13%,55 : 45
111,=110,City University of Hong KongHong KongExplore,9928,11.2,41%,57 : 43
112,=110,University of Pittsburgh-Pittsburgh campusUnited States,26517,5.9,11%,52 : 48
113,=114,University of Colorado BoulderUnited States,31625,15.5,12%,44 : 56
114,=114,Durham UniversityUnited Kingdom,16565,14.8,30%,54 : 46
115,=116,University of BirminghamUnited Kingdom,28354,15.1,28%,56 : 44
116,=116,University of CopenhagenDenmark,32157,4.4,16%,55 : 45
117,118,University of SouthamptonUnited Kingdom,24078,13.9,36%,52 : 48
118,119,University of YorkUnited Kingdom,15194,14.9,25%,56 : 44
119,120,Trinity College DublinIrelandExplore,16293,21.6,28%,59 : 41
120,=121,University of OsloNorway,20552,13.3,17%,62 : 38
121,=121,Vanderbilt UniversityUnited States,12038,3.1,14%,54 : 46
122,=123,Aarhus UniversityDenmark,26867,14.8,11%,54 : 46
123,=123,Arizona State University (Tempe)United StatesExplore,46362,20.8,20%,43 : 57
124,=123,University of GöttingenGermany,30399,29.6,12%,50 : 50
125,=123,University of MannheimGermany,10882,74.8,17%,56 : 44
126,=123,Radboud University NijmegenNetherlandsExplore,19954,17.5,15%,55 : 45
127,=128,Université Catholique de LouvainBelgium,25952,39.6,21%,54 : 46
128,=128,Maastricht UniversityNetherlands,16250,15.8,52%,59 : 41
129,130,Queen Mary University of LondonUnited Kingdom,16434,14.0,44%,54 : 46
130,131,Technical University of BerlinGermany,22472,64.4,22%,34 : 66
131,=132,University of AlbertaCanada,31844,21.0,26%,55 : 45
132,=132,Case Western Reserve UniversityUnited States,10412,7.8,23%,49 : 51
133,134,Nanjing UniversityChina,34580,15.6,9%,48 : 52
134,134,The University of Western AustraliaAustralia,18510,21.9,26%,49 : 51
135,=135,University of AdelaideAustralia,21339,30.4,27%,49 : 51
136,=135,University of GenevaSwitzerland,16530,15.2,39%,61 : 39
137,=135,University of HamburgGermany,29584,58.2,12%,56 : 44
138,=135,Karlsruhe Institute of TechnologyGermany,26593,25.8,20%,28 : 72
139,=135,Pompeu Fabra UniversitySpain,11523,21.3,13%,60 : 40
140,141,University of ExeterUnited KingdomExplore,20286,18.0,28%,54 : 46
141,142,Pohang University of Science and Technology (POSTECH)South KoreaExplore,3238,10.7,4%,24 : 76
142,=143,Ghent UniversityBelgium,35835,35.2,10%,54 : 46
143,=143,University of ViennaAustria,33185,19.3,27%,66 : 34
144,145,Autonomous University of BarcelonaSpainExplore,32223,12.8,16%,59 : 41
145,=146,University of CologneGermany,37483,37.9,15%,
146,=146,Indiana UniversityUnited States,65707,13.8,16%,52 : 48
147,=146,Lancaster UniversityUnited Kingdom,12202,12.8,39%,51 : 49
148,=149,University of NottinghamUnited Kingdom,29431,14.6,30%,54 : 46
149,=149,Ulm UniversityGermany,10719,28.0,13%,48 : 52
150,151,TU DresdenGermany,33560,35.1,14%,42 : 58
151,152,Tufts UniversityUnited States,10659,10.1,19%,55 : 45
152,=153,University of LeedsUnited Kingdom,28677,14.1,28%,60 : 40
153,=153,Sant’Anna School of Advanced Studies – PisaItaly,737,11.9,17%,38 : 62
154,=153,Stockholm UniversitySweden,31500,23.0,8%,
155,=156,University of Cape TownSouth AfricaExplore,22137,12.1,18%,53 : 47
156,=156,University of FloridaUnited States,46555,17.5,10%,54 : 46
157,158,University of AberdeenUnited Kingdom,12211,15.1,38%,55 : 45
158,=159,University of ArizonaUnited States,39264,13.3,9%,52 : 48
159,159,Hong Kong Polytechnic UniversityHong KongExplore,21977,27.8,25%,52 : 48
160,=159,University of WürzburgGermany,22264,30.3,10%,57 : 43
161,=161,Scuola Normale Superiore di PisaItaly,539,6.7,9%,29 : 71
162,=161,University of SussexUnited Kingdom,13891,16.5,39%,55 : 45
163,=163,University of RochesterUnited States,9681,4.2,29%,49 : 51
164,=163,Technical University of DenmarkDenmark,9116,6.5,25%,30 : 70
165,165,University of St AndrewsUnited Kingdom,8965,12.7,47%,58 : 42
166,166,Vrije Universiteit AmsterdamNetherlands,23919,17.8,8%,57 : 43
167,=167,"University of California, Santa CruzUnited States",17868,23.1,5%,52 : 48
168,=167,Eindhoven University of TechnologyNetherlands,8443,19.7,19%,25 : 75
169,=167,University of LeicesterUnited Kingdom,14712,14.0,36%,53 : 47
170,170,National Taiwan University (NTU)TaiwanExplore,31783,11.5,8%,40 : 60
171,=171,Newcastle UniversityUnited KingdomExplore,21500,14.5,29%,50 : 50
172,=171,Texas A&M UniversityUnited States,58567,25.8,9%,48 : 52
173,173,University of Notre DameUnited States,12035,13.7,12%,45 : 55
174,175,University of Erlangen-NurembergGermany,38368,54.9,11%,49 : 51
175,=176,University of LausanneSwitzerland,11957,9.6,23%,
176,=176,University of OttawaCanadaExplore,35002,25.6,18%,59 : 41
177,=176,Rutgers University – New BrunswickUnited States,44127,11.2,16%,52 : 48
178,179,University of Alabama at BirminghamUnited States,15744,15.3,6%,62 : 38
179,180,University of BolognaItalyExplore,66998,23.9,11%,57 : 43
180,=181,Aalto UniversityFinland,12421,19.0,23%,35 : 65
181,=181,George Washington UniversityUnited States,22844,13.2,17%,58 : 42
182,=181,University of LiverpoolUnited Kingdom,21591,13.8,35%,55 : 45
183,=184,University of MünsterGermany,42974,43.9,8%,54 : 46
184,=184,"Northeastern University, USUnited States",19191,13.8,33%,49 : 51
185,=184,University of TwenteNetherlands,7149,13.5,30%,37 : 63
186,=187,Cardiff UniversityUnited KingdomExplore,24245,12.8,26%,58 : 42
187,=187,KTH Royal Institute of TechnologySweden,12486,15.4,18%,33 : 67
188,189,University of KonstanzGermany,11288,52.3,12%,55 : 45
189,189,Shanghai Jiao Tong UniversityChinaExplore,40711,11.0,9%,41 : 59
190,=190,University of Duisburg-EssenGermanyExplore,42931,54.7,18%,48 : 52
191,=190,University of East AngliaUnited KingdomExplore,13984,13.6,29%,61 : 39
192,=190,Western UniversityCanada,29732,22.9,17%,56 : 44
193,=194,Aalborg UniversityDenmarkExplore,16021,13.7,14%,
194,=194,Paris Diderot University – Paris 7France,28918,15.0,20%,63 : 37
195,196,University of Technology SydneyAustraliaExplore,25637,43.4,36%,51 : 49
196,197,University of BergenNorway,13116,12.3,14%,59 : 41
197,198,Korea UniversitySouth KoreaExplore,22705,15.6,21%,
198,=199,University of CalgaryCanada,27489,15.7,19%,
199,=199,Lomonosov Moscow State UniversityRussian Federation,29063,7.2,25%,50 : 50
200,201–250,University of AntwerpBelgium,15096,29.6,16%,54 : 46
201,201–250,University of AucklandNew ZealandExplore,30041,18.4,30%,54 : 46
202,201–250,University of BarcelonaSpainExplore,46002,11.9,10%,62 : 38
203,201–250,University of BathUnited Kingdom,13199,16.6,33%,46 : 54
204,201–250,Bielefeld UniversityGermany,24255,64.3,8%,57 : 43
205,201–250,Brandeis UniversityUnited States,5385,12.5,26%,55 : 45
206,201–250,University at BuffaloUnited States,25419,17.1,17%,45 : 55
207,201–250,"University of California, RiversideUnited States",20864,19.6,14%,52 : 48
208,201–250,Chalmers University of TechnologySweden,9257,12.4,17%,32 : 68
209,201–250,Copenhagen Business SchoolDenmark,17003,30.6,25%,48 : 52
210,201–250,University of DundeeUnited KingdomExplore,10960,15.5,23%,62 : 38
211,201–250,École des Ponts ParisTechFrance,1943,13.4,47%,31 : 69
212,201–250,École Normale Supérieure de LyonFrance,2207,8.2,13%,46 : 54
213,201–250,University of FribourgSwitzerland,10850,45.6,18%,59 : 41
214,201–250,University of GothenburgSweden,18873,9.9,12%,
215,201–250,University of Hawai’i at MānoaUnited States,15750,11.0,11%,56 : 44
216,201–250,Hebrew University of JerusalemIsrael,16492,11.5,5%,56 : 44
217,201–250,University of HohenheimGermany,9373,41.8,15%,57 : 43
218,201–250,University of IowaUnited States,27897,12.3,13%,52 : 48
219,201–250,James Cook UniversityAustralia,11882,22.3,12%,63 : 37
220,201–250,University of KielGermany,25957,22.2,8%,53 : 47
221,201–250,King Abdulaziz UniversitySaudi ArabiaExplore,33111,8.0,21%,55 : 45
222,201–250,Université Libre de BruxellesBelgium,26936,35.9,35%,55 : 45
223,201–250,University of LuxembourgLuxembourg,4969,16.5,57%,50 : 50
224,201–250,Macquarie UniversityAustraliaExplore,28729,43.8,26%,53 : 47
225,201–250,University of MassachusettsUnited States,59906,12.8,14%,48 : 52
226,201–250,Medical University of GrazAustria,3368,10.7,23%,53 : 47
227,201–250,Medical University of ViennaAustria,7086,7.9,29%,51 : 49
228,201–250,University of MiamiUnited States,15923,5.9,16%,51 : 49
229,201–250,University of OtagoNew Zealand,18283,20.1,20%,58 : 42
230,201–250,University of PaduaItaly,43289,20.9,4%,55 : 45
231,201–250,Paris-Sud UniversityFrance,29509,16.3,17%,56 : 44
232,201–250,University of PassauGermany,10465,72.2,11%,60 : 40
233,201–250,University of PotsdamGermany,19294,56.8,10%,59 : 41
234,201–250,Queen’s University BelfastUnited KingdomExplore,17657,16.9,35%,55 : 45
235,201–250,Queensland University of TechnologyAustraliaExplore,33931,35.3,16%,54 : 46
236,201–250,RCSI University of Medicine and Health SciencesIrelandExplore,2202,19.1,68%,
237,201–250,University of ReadingUnited Kingdom,13394,14.3,33%,57 : 43
238,201–250,University of South AustraliaAustralia,17465,26.1,44%,64 : 36
239,201–250,University of TampereFinland,9484,21.8,5%,66 : 34
240,201–250,Tel Aviv UniversityIsrael,22878,22.9,5%,54 : 46
241,201–250,Tilburg UniversityNetherlands,7666,21.2,14%,48 : 52
242,201–250,Ulsan National Institute of Science and Technology (UNIST)South KoreaExplore,4255,13.5,8%,27 : 73
243,201–250,University College DublinIreland,22081,23.5,27%,
244,201–250,University of UtahUnited States,30036,14.1,9%,45 : 55
245,201–250,Vita-Salute San Raffaele UniversityItaly,2745,7.3,5%,59 : 41
246,201–250,University of WaterlooCanadaExplore,32395,23.7,18%,46 : 54
247,201–250,William & MaryUnited States,8098,11.8,9%,55 : 45
248,201–250,University of the WitwatersrandSouth AfricaExplore,28279,26.1,8%,56 : 44
249,201–250,University of WollongongAustraliaExplore,18209,31.2,26%,51 : 49
250,201–250,Yonsei University (Seoul campus)South KoreaExplore,17875,14.7,22%,46 : 54
251,251–300,Brighton and Sussex Medical SchoolUnited Kingdom,795,11.3,15%,57 : 43
252,251–300,University of CanberraAustralia,10098,29.2,29%,52 : 48
253,251–300,University of Cincinnati – UptownUnited States,28049,20.5,9%,52 : 48
254,251–300,Clark UniversityUnited States,3136,11.9,25%,60 : 40
255,251–300,Colorado School of MinesUnited States,5556,16.7,12%,28 : 72
256,251–300,Dalhousie UniversityCanadaExplore,15150,14.7,21%,55 : 45
257,251–300,University of DelawareUnited States,20348,16.9,10%,57 : 43
258,251–300,University of EssexUnited Kingdom,11132,15.7,41%,55 : 45
259,251–300,Flinders UniversityAustraliaExplore,15939,24.1,31%,64 : 36
260,251–300,Florida State UniversityUnited States,38661,24.5,7%,56 : 44
261,251–300,Goethe University FrankfurtGermany,45826,19.9,15%,57 : 43
262,251–300,Griffith UniversityAustraliaExplore,31574,22.2,19%,57 : 43
263,251–300,University of IcelandIceland,8276,14.1,11%,66 : 34
264,251–300,University of Illinois at ChicagoUnited States,25705,11.2,19%,52 : 48
265,251–300,Indian Institute of ScienceIndia,4071,9.4,1%,21 : 79
266,251–300,Jacobs UniversityGermanyExplore,1114,16.6,69%,44 : 56
267,251–300,Johannes Gutenberg University of MainzGermany,32359,28.0,11%,59 : 41
268,251–300,Université LavalCanadaExplore,29588,16.9,13%,57 : 43
269,251–300,University of MarburgGermany,25942,35.7,10%,55 : 45
270,251–300,Moscow Institute of Physics and Technology (MIPT)Russian Federation,5687,10.5,15%,19 : 81
271,251–300,University of NavarraSpain,10717,14.7,20%,53 : 47
272,251–300,North Carolina State UniversityUnited States,30190,12.8,14%,45 : 55
273,251–300,Oregon Health and Science UniversityUnited States,2899,1.0,3%,65 : 35
274,251–300,Osaka UniversityJapan,23173,7.8,10%,31 : 69
275,251–300,University of OuluFinlandExplore,9764,23.5,7%,50 : 50
276,251–300,Queen’s UniversityCanadaExplore,22884,24.7,12%,58 : 42
277,251–300,"Royal Holloway, University of LondonUnited Kingdom",9099,14.9,39%,60 : 40
278,251–300,Ruhr University BochumGermany,42425,61.2,14%,49 : 51
279,251–300,"St George’s, University of LondonUnited Kingdom",3240,15.3,19%,62 : 38
280,251–300,University of São PauloBrazil,82962,15.3,4%,48 : 52
281,251–300,Sapienza University of RomeItaly,68282,21.8,6%,57 : 43
282,251–300,Simon Fraser UniversityCanadaExplore,26313,27.3,30%,55 : 45
283,251–300,University of Southern DenmarkDenmark,25975,14.3,16%,53 : 47
284,251–300,University of South Florida (Tampa)United States,33413,18.8,13%,
285,251–300,Stony Brook UniversityUnited States,23722,10.6,23%,49 : 51
286,251–300,University of StuttgartGermany,26697,47.1,20%,32 : 68
287,251–300,University of SurreyUnited Kingdom,11987,15.6,40%,53 : 47
288,251–300,Swansea UniversityUnited Kingdom,14978,16.5,23%,45 : 55
289,251–300,Swedish University of Agricultural SciencesSweden,3745,4.4,4%,69 : 31
290,251–300,Syracuse UniversityUnited States,20277,16.0,20%,53 : 47
291,251–300,Technical University of DarmstadtGermany,18221,40.7,16%,30 : 70
292,251–300,University of Texas at DallasUnited States,20787,21.6,25%,43 : 57
293,251–300,Tohoku UniversityJapan,17687,5.5,11%,26 : 74
294,251–300,Tokyo Institute of TechnologyJapan,9612,7.5,14%,14 : 86
295,251–300,University of TrentoItaly,12856,20.2,8%,51 : 49
296,251–300,TU WienAustria,17827,34.0,29%,29 : 71
297,251–300,Virginia Polytechnic Institute and State UniversityUnited StatesExplore,32296,18.5,14%,43 : 57
298,251–300,Vrije Universiteit BrusselBelgium,11101,27.8,22%,54 : 46
299,251–300,Wake Forest UniversityUnited States,7588,4.0,7%,52 : 48
300,301–350,Aix-Marseille UniversityFrance,69147,17.1,11%,58 : 42
301,301–350,University of Alaska FairbanksUnited States,3667,8.4,6%,50 : 50
302,301–350,Alfaisal UniversitySaudi ArabiaExplore,2407,10.6,40%,58 : 42
303,301–350,American UniversityUnited States,10790,10.8,13%,65 : 35
304,301–350,Anglia Ruskin University (ARU)United Kingdom,16498,22.5,28%,61 : 39
305,301–350,Auckland University of TechnologyNew ZealandExplore,18160,17.5,44%,59 : 41
306,301–350,University of BayreuthGermany,12784,36.7,8%,45 : 55
307,301–350,"Birkbeck, University of LondonUnited Kingdom",8242,16.1,40%,53 : 47
308,301–350,Boston CollegeUnited States,13035,15.9,14%,55 : 45
309,301–350,University of BremenGermany,19173,31.4,11%,50 : 50
310,301–350,University of CanterburyNew ZealandExplore,12492,17.2,22%,49 : 51
311,301–350,University of Colorado Denver/Anschutz Medical CampusUnited States,17853,5.4,7%,56 : 44
312,301–350,University of ConnecticutUnited States,30356,14.6,8%,53 : 47
313,301–350,Curtin UniversityAustraliaExplore,30904,18.3,35%,51 : 49
314,301–350,Cyprus University of TechnologyCyprus,3114,17.7,8%,56 : 44
315,301–350,University of DenverUnited States,9421,13.2,10%,57 : 43
316,301–350,Federal University of Toulouse Midi-PyrénéesFrance,101658,25.0,18%,52 : 48
317,301–350,George Mason UniversityUnited States,28261,17.7,9%,54 : 46
318,301–350,Grenoble Alpes UniversityFrance,40758,17.5,13%,53 : 47
319,301–350,Heriot-Watt UniversityUnited KingdomExplore,9158,16.7,38%,41 : 59
320,301–350,University of HoustonUnited States,42962,43.6,10%,50 : 50
321,301–350,HSE UniversityRussian Federation,19527,11.3,9%,
322,301–350,Khalifa UniversityUnited Arab EmiratesExplore,3288,8.1,28%,51 : 49
323,301–350,La Trobe UniversityAustralia,21203,34.8,28%,62 : 38
324,301–350,University of LiègeBelgium,20730,26.5,21%,56 : 44
325,301–350,University of MalayaMalaysia,17095,8.9,23%,57 : 43
326,301–350,University of MilanItaly,46843,23.0,6%,59 : 41
327,301–350,Montpellier UniversityFrance,39837,19.9,14%,53 : 47
328,301–350,Nagoya UniversityJapan,15630,9.2,10%,29 : 71
329,301–350,University of Naples Federico IIItaly,49789,20.5,1%,56 : 44
330,301–350,University of Galway – Ollscoil na GaillimheIreland,13888,26.8,18%,57 : 43
331,301–350,University of NewcastleAustralia,22220,20.9,17%,55 : 45
332,301–350,University of New Mexico (Main campus)United States,21506,18.8,5%,55 : 45
333,301–350,Oregon State UniversityUnited States,24280,16.2,11%,46 : 54
334,301–350,University of PisaItaly,32751,22.1,5%,52 : 48
335,301–350,Politecnico di MilanoItalyExplore,33663,24.2,15%,34 : 66
336,301–350,Reykjavík UniversityIceland,3110,27.2,7%,42 : 58
337,301–350,Southern University of Science and Technology (SUSTech)ChinaExplore,2115,6.3,0%,33 : 67
338,301–350,Stellenbosch UniversitySouth AfricaExplore,23750,26.0,8%,55 : 45
339,301–350,Sun Yat-sen UniversityChinaExplore,51061,16.2,9%,51 : 49
340,301–350,University of TartuEstonia,8518,11.3,6%,68 : 32
341,301–350,Technion Israel Institute of TechnologyIsrael,14703,21.8,5%,36 : 64
342,301–350,The University of Tennessee-KnoxvilleUnited States,25720,16.7,5%,
343,301–350,TU Dortmund UniversityGermany,33665,102.0,10%,45 : 55
344,301–350,Tulane UniversityUnited States,11120,10.5,11%,57 : 43
345,301–350,Umeå UniversitySweden,16762,11.9,11%,60 : 40
346,301–350,University College CorkIreland,16578,22.2,18%,57 : 43
347,301–350,Université de Versailles Saint-Quentin-en-YvelinesFrance,16817,24.1,14%,59 : 41
348,301–350,Victoria UniversityAustralia,15153,31.1,19%,53 : 47
349,301–350,University of VictoriaCanada,19286,23.4,21%,56 : 44
350,301–350,Washington State UniversityUnited States,27689,19.3,8%,52 : 48
351,301–350,Wayne State UniversityUnited States,22123,11.0,9%,55 : 45
352,301–350,Wuhan UniversityChinaExplore,50015,14.2,8%,
353,351–400,Aberystwyth UniversityUnited Kingdom,7163,15.7,18%,47 : 53
354,351–400,Aston UniversityUnited Kingdom,9926,21.6,29%,49 : 51
355,351–400,Autonomous University of MadridSpain,29532,13.4,14%,59 : 41
356,351–400,Babol Noshirvani University of TechnologyIran,5353,30.9,0%,33 : 67
357,351–400,"University of California, MercedUnited States",6680,19.3,8%,51 : 49
358,351–400,"City, University of LondonUnited Kingdom",14067,18.7,53%,56 : 44
359,351–400,University of Côte d’AzurFrance,35112,21.8,23%,55 : 45
360,351–400,University of CreteGreece,14890,27.8,4%,61 : 39
361,351–400,University of CyprusCyprusExplore,6861,22.7,10%,67 : 33
362,351–400,Deakin UniversityAustralia,37330,30.3,19%,58 : 42
363,351–400,Drexel UniversityUnited States,19650,10.5,18%,49 : 51
364,351–400,University of Eastern FinlandFinland,11572,18.7,7%,63 : 37
365,351–400,Free University of Bozen-BolzanoItaly,3445,11.4,11%,67 : 33
366,351–400,Hanyang UniversitySouth KoreaExplore,20010,14.8,19%,
367,351–400,Hofstra UniversityUnited States,9813,13.6,10%,57 : 43
368,351–400,Huazhong University of Science and TechnologyChinaExplore,56282,16.6,5%,35 : 65
369,351–400,IMT AtlantiqueFrance,1664,8.0,45%,
370,351–400,Indian Institute of Technology IndoreIndia,1118,8.6,0%,15 : 85
371,351–400,University of InnsbruckAustria,14524,13.0,39%,54 : 46
372,351–400,Iowa State UniversityUnited States,31931,18.3,12%,44 : 56
373,351–400,Jordan University of Science and TechnologyJordan,22318,12.1,19%,57 : 43
374,351–400,Justus Liebig University GiessenGermany,28389,47.0,9%,61 : 39
375,351–400,University of KansasUnited States,24450,9.9,9%,51 : 49
376,351–400,University of KentUnited Kingdom,17369,13.1,30%,53 : 47
377,351–400,Kyung Hee UniversitySouth KoreaExplore,22013,16.9,23%,45 : 55
378,351–400,Linköping UniversitySweden,18221,8.2,11%,55 : 45
379,351–400,University of MacauMacaoExplore,9893,15.2,36%,58 : 42
380,351–400,Maynooth UniversityIreland,8768,27.6,12%,56 : 44
381,351–400,University of Modena and Reggio EmiliaItaly,16137,22.2,6%,53 : 47
382,351–400,Nankai UniversityChinaExplore,28336,13.7,6%,
