,Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
0,1,University of OxfordUnited Kingdom,20298,11.0,40%,46 : 54
1,2,University of CambridgeUnited Kingdom,18749,10.9,37%,46 : 54
2,3,Stanford UniversityUnited States,15878,7.4,23%,43 : 57
3,4,Massachusetts Institute of TechnologyUnited States,11231,8.7,34%,38 : 62
4,5,California Institute of TechnologyUnited States,2255,6.5,29%,33 : 67
5,6,Harvard UniversityUnited States,20595,9.1,26%,48 : 52
6,7,Princeton UniversityUnited States,7996,8.2,24%,45 : 55
7,8,Yale UniversityUnited States,12318,5.2,20%,50 : 50
8,9,Imperial College LondonUnited Kingdom,16425,11.7,56%,38 : 62
9,10,The University of ChicagoUnited States,13562,6.1,25%,44 : 56
10,11,ETH ZurichSwitzerland,18171,12.3,39%,31 : 69
11,=12,Johns Hopkins UniversityUnited States,16146,4.6,25%,52 : 48
12,=12,University of PennsylvaniaUnited States,20443,6.4,20%,52 : 48
13,14,UCLUnited Kingdom,31696,10.6,51%,57 : 43
14,15,"University of California, BerkeleyUnited States",36468,13.2,17%,51 : 49
15,16,Columbia UniversityUnited States,26586,6.0,37%,
16,17,"University of California, Los AngelesUnited States",39464,9.2,17%,53 : 47
17,18,Duke UniversityUnited States,15037,4.4,18%,48 : 52
18,19,Cornell UniversityUnited States,21904,9.8,25%,49 : 51
19,20,University of Michigan-Ann ArborUnited States,41831,8.3,17%,48 : 52
20,21,University of TorontoCanadaExplore,72202,19.0,19%,
21,22,Tsinghua UniversityChinaExplore,36912,11.9,11%,34 : 66
22,23,National University of SingaporeSingaporeExplore,30727,17.4,28%,50 : 50
23,24,Carnegie Mellon UniversityUnited States,13033,13.3,47%,40 : 60
24,25,Northwestern UniversityUnited States,17600,13.0,19%,48 : 52
25,26,London School of Economics and Political ScienceUnited Kingdom,10028,11.8,70%,52 : 48
26,27,New York UniversityUnited States,44433,8.9,32%,56 : 44
27,28,University of WashingtonUnited States,45476,11.3,16%,53 : 47
28,29,University of EdinburghUnited Kingdom,28153,12.7,41%,60 : 40
29,30,"University of California, San DiegoUnited States",31687,12.9,20%,46 : 54
30,31,Peking UniversityChinaExplore,42547,8.9,17%,48 : 52
31,=32,LMU MunichGermanyExplore,35389,36.0,16%,61 : 39
32,=32,University of MelbourneAustralia,45030,26.6,42%,56 : 44
33,34,Georgia Institute of TechnologyUnited States,21903,21.5,27%,32 : 68
34,35,École Polytechnique Fédérale de LausanneSwitzerland,10343,11.4,57%,28 : 72
35,36,University of Hong KongHong Kong,18122,18.1,43%,54 : 46
36,37,University of British ColumbiaCanada,53566,18.6,30%,54 : 46
37,38,King’s College LondonUnited Kingdom,24293,12.1,42%,62 : 38
38,39,University of Texas at AustinUnited States,48561,17.1,10%,51 : 49
39,40,Karolinska InstituteSweden,7898,9.2,19%,68 : 32
40,41,The Hong Kong University of Science and TechnologyHong KongExplore,10394,23.6,31%,
41,41,Paris Sciences et Lettres – PSL Research University ParisFrance,20722,11.3,26%,44 : 56
42,42,The University of TokyoJapan,25828,7.6,11%,
43,43,University of Wisconsin-MadisonUnited States,39193,10.5,12%,
44,=44,McGill UniversityCanada,31060,13.0,28%,58 : 42
45,=44,Technical University of MunichGermany,39726,50.6,24%,34 : 66
46,47,Heidelberg UniversityGermany,20953,16.6,17%,54 : 46
47,48,KU LeuvenBelgiumExplore,44719,36.5,15%,49 : 51
48,49,Australian National UniversityAustralia,16840,18.5,39%,52 : 48
49,50,University of Illinois at Urbana-ChampaignUnited States,43908,17.9,24%,47 : 53
50,51,"Nanyang Technological University, SingaporeSingapore",25738,16.7,28%,48 : 52
51,52,"University of California, Santa BarbaraUnited States",23457,27.9,16%,52 : 48
52,53,Brown UniversityUnited States,9082,10.7,21%,
53,53,Chinese University of Hong KongHong KongExplore,17883,18.4,33%,
54,54,Washington University in St LouisUnited States,13074,7.3,20%,
55,56,University of North Carolina at Chapel HillUnited States,34226,9.4,8%,57 : 43
56,57,University of ManchesterUnited KingdomExplore,36530,14.5,39%,53 : 47
57,58,Delft University of TechnologyNetherlands,17880,20.0,29%,28 : 72
58,=59,"University of California, DavisUnited States",37847,13.5,13%,57 : 43
59,=59,University of SydneyAustralia,43333,20.5,35%,58 : 42
60,=59,Wageningen University & ResearchNetherlands,13214,20.9,29%,55 : 45
61,62,University of AmsterdamNetherlandsExplore,23778,12.3,12%,56 : 44
62,63,Seoul National UniversitySouth Korea,26066,12.3,12%,
63,64,Purdue University West LafayetteUnited States,39409,17.0,23%,42 : 58
64,65,Kyoto UniversityJapan,22420,8.8,8%,24 : 76
65,66,University of Southern CaliforniaUnited States,35510,11.6,25%,53 : 47
66,67,Humboldt University of BerlinGermany,33000,59.0,17%,
67,68,Leiden UniversityNetherlandsExplore,26321,18.0,13%,57 : 43
68,69,The University of QueenslandAustraliaExplore,38187,34.4,31%,55 : 45
69,70,Erasmus University RotterdamNetherlandsExplore,22019,19.6,22%,50 : 50
70,=71,University of MinnesotaUnited States,60620,12.3,11%,52 : 48
