,Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
0,1,University of OxfordUnited Kingdom,20409,11.2,38%,46 : 54
1,2,University of CambridgeUnited Kingdom,18389,10.9,35%,45 : 55
2,=3,California Institute of TechnologyUnited States,2209,6.5,27%,31 : 69
3,=3,Stanford UniversityUnited States,15845,7.5,22%,42 : 58
4,5,Massachusetts Institute of TechnologyUnited States,11177,8.7,34%,37 : 63
5,6,Harvard UniversityUnited States,20326,8.9,26%,
6,7,Princeton UniversityUnited States,7955,8.3,24%,45 : 55
7,8,Imperial College LondonUnited Kingdom,15857,11.4,55%,37 : 63
8,9,The University of ChicagoUnited States,13525,6.2,25%,44 : 56
9,=10,ETH ZurichSwitzerland,19233,14.6,38%,31 : 69
10,=10,University of PennsylvaniaUnited States,20361,6.5,20%,50 : 50
11,12,Yale UniversityUnited States,12155,4.3,21%,49 : 51
12,13,Johns Hopkins UniversityUnited States,15498,4.3,24%,52 : 48
13,14,Columbia UniversityUnited States,26587,6.1,32%,
14,15,"University of California, Los AngelesUnited States",39279,9.6,17%,53 : 47
15,16,UCLUnited Kingdom,30304,10.5,49%,56 : 44
16,17,Duke UniversityUnited States,15256,4.5,22%,49 : 51
17,18,"University of California, BerkeleyUnited States",36182,13.1,17%,52 : 48
18,19,Cornell UniversityUnited States,21850,9.8,24%,49 : 51
19,20,Northwestern UniversityUnited States,17466,12.8,18%,48 : 52
20,21,University of Michigan-Ann ArborUnited States,41818,8.6,16%,48 : 52
21,=22,National University of SingaporeSingaporeExplore,30602,17.0,30%,51 : 49
22,=22,University of TorontoCanadaExplore,69427,18.7,17%,
23,24,Carnegie Mellon UniversityUnited States,12676,13.5,45%,39 : 61
24,=25,London School of Economics and Political ScienceUnited Kingdom,10065,12.2,71%,52 : 48
25,=25,University of WashingtonUnited States,44945,11.4,16%,52 : 48
26,=27,University of EdinburghUnited Kingdom,26759,12.5,40%,59 : 41
27,=27,New York UniversityUnited States,43860,9.6,26%,56 : 44
28,=27,Peking UniversityChinaExplore,42136,8.9,16%,47 : 53
29,30,Tsinghua UniversityChinaExplore,42089,13.7,9%,32 : 68
30,31,"University of California, San DiegoUnited States",29633,12.8,17%,46 : 54
31,32,University of MelbourneAustralia,42116,26.6,40%,55 : 45
32,33,Georgia Institute of TechnologyUnited States,20773,20.7,27%,31 : 69
33,=34,University of British ColumbiaCanada,51889,18.1,29%,54 : 46
34,=34,LMU MunichGermanyExplore,36091,15.6,15%,61 : 39
35,36,King’s College LondonUnited Kingdom,23207,12.0,41%,62 : 38
36,37,University of Illinois at Urbana-ChampaignUnited States,43402,22.8,23%,46 : 54
37,=38,École Polytechnique Fédérale de LausanneSwitzerland,9928,11.2,55%,28 : 72
38,=38,Karolinska InstituteSweden,7424,10.9,19%,68 : 32
39,40,University of Hong KongHong Kong,18364,18.0,42%,54 : 46
40,41,Technical University of MunichGermany,38689,54.4,23%,34 : 66
41,42,McGill UniversityCanada,30940,13.3,26%,57 : 43
42,43,University of Wisconsin-MadisonUnited States,38960,10.7,12%,51 : 49
43,44,The Hong Kong University of Science and TechnologyHong KongExplore,10214,23.1,31%,
44,45,Heidelberg UniversityGermany,28876,23.2,17%,55 : 45
45,46,The University of TokyoJapan,26000,6.7,10%,
46,47,KU LeuvenBelgiumExplore,44412,37.1,15%,50 : 50
47,48,Australian National UniversityAustralia,15986,19.3,35%,52 : 48
48,49,University of Texas at AustinUnited States,48561,17.1,10%,51 : 49
