,Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
49,=50,Brown UniversityUnited States,8898,10.7,20%,
50,=50,Washington University in St LouisUnited States,12600,7.5,17%,
51,52,"Nanyang Technological University, SingaporeSingapore",25499,16.3,31%,48 : 52
52,53,"University of California, Santa BarbaraUnited States",23054,28.1,14%,52 : 48
53,=54,"University of California, DavisUnited States",37365,13.8,10%,56 : 44
54,=54,University of ManchesterUnited KingdomExplore,35318,14.6,38%,52 : 48
55,=56,University of MinnesotaUnited States,60949,17.4,11%,51 : 49
56,=56,University of North Carolina at Chapel HillUnited States,34684,9.7,8%,56 : 44
57,58,Chinese University of Hong KongHong KongExplore,18072,17.3,31%,
58,59,University of AmsterdamNetherlandsExplore,23495,12.3,12%,57 : 43
59,60,Purdue University West LafayetteUnited States,38770,17.4,23%,42 : 58
60,61,University of SydneyAustralia,44553,21.6,32%,57 : 43
61,62,Humboldt University of BerlinGermany,32172,56.5,17%,
62,63,Delft University of TechnologyNetherlands,17057,19.6,27%,28 : 72
63,64,Wageningen University & ResearchNetherlands,12326,19.7,29%,55 : 45
64,65,The University of QueenslandAustraliaExplore,38968,35.7,26%,55 : 45
65,66,University of Southern CaliforniaUnited States,38380,12.8,23%,53 : 47
66,67,Leiden UniversityNetherlandsExplore,24825,18.2,12%,57 : 43
67,68,Utrecht UniversityNetherlandsExplore,31522,15.2,7%,59 : 41
68,69,"University of Maryland, College ParkUnited States",31772,16.5,10%,48 : 52
69,=70,Boston UniversityUnited States,24833,8.6,25%,60 : 40
70,=70,Ohio State University (Main campus)United States,53190,12.7,13%,49 : 51
71,=72,Erasmus University RotterdamNetherlandsExplore,22047,20.1,20%,49 : 51
72,=72,Paris Sciences et Lettres – PSL Research University ParisFrance,19978,10.1,25%,
73,=74,Kyoto UniversityJapan,22481,8.7,8%,24 : 76
74,=74,Seoul National UniversitySouth Korea,26470,12.6,11%,
75,76,University of BristolUnited Kingdom,19995,13.7,27%,53 : 47
76,77,Penn State (Main campus)United States,45411,15.2,14%,46 : 54
77,78,McMaster UniversityCanadaExplore,23693,24.7,15%,52 : 48
78,79,RWTH Aachen UniversityGermany,43721,57.7,18%,32 : 68
79,=80,University of GlasgowUnited KingdomExplore,23389,15.4,36%,58 : 42
80,=80,Monash UniversityAustralia,46846,33.7,28%,57 : 43
81,82,University of FreiburgGermany,20871,40.3,19%,57 : 43
82,=83,University of GroningenNetherlandsExplore,26197,24.1,17%,52 : 48
83,=83,Michigan State UniversityUnited States,44556,17.0,17%,51 : 49
84,85,UNSW SydneyAustraliaExplore,40133,26.7,34%,46 : 54
85,=86,Rice UniversityUnited States,6441,9.0,28%,43 : 57
86,=86,Uppsala UniversitySweden,25174,17.3,11%,57 : 43
87,88,Free University of BerlinGermany,34114,57.0,21%,59 : 41
88,89,Dartmouth CollegeUnited States,6100,6.6,15%,47 : 53
89,90,University of HelsinkiFinland,22532,16.2,6%,65 : 35
90,91,University of WarwickUnited Kingdom,18424,13.0,39%,48 : 52
91,92,Technical University of BerlinGermany,22390,64.3,20%,34 : 66
92,93,Lund UniversitySweden,28663,12.1,16%,55 : 45
93,94,University of TübingenGermany,27844,38.5,13%,59 : 41
94,=95,University of BaselSwitzerland,12729,17.7,27%,55 : 45
95,=95,Korea Advanced Institute of Science and Technology (KAIST)South Korea,9464,10.6,9%,20 : 80
96,97,Durham UniversityUnited Kingdom,16310,14.9,29%,54 : 46
97,98,Emory UniversityUnited States,12649,4.4,19%,57 : 43
98,99,"University of California, IrvineUnited States",30419,17.0,21%,52 : 48
99,=100,University of BonnGermany,35619,77.9,13%,55 : 45
100,=100,University of Colorado BoulderUnited States,30780,16.3,10%,44 : 56
101,=100,University of Pittsburgh-Pittsburgh campusUnited States,26367,5.9,10%,52 : 48
102,103,Maastricht UniversityNetherlands,16727,18.0,50%,58 : 42
103,104,University of SheffieldUnited Kingdom,24581,14.9,36%,50 : 50
104,=105,University of BernSwitzerland,10449,16.5,15%,56 : 44
105,=105,Vanderbilt UniversityUnited States,12011,3.3,13%,53 : 47
106,107,Ghent UniversityBelgium,35909,35.9,10%,53 : 47
107,108,University of MontrealCanadaExplore,41017,21.9,22%,55 : 45
108,=109,Aarhus UniversityDenmark,25167,14.3,12%,54 : 46
109,=109,University of CopenhagenDenmark,30395,4.1,14%,58 : 42
110,=111,Sungkyunkwan University (SKKU)South KoreaExplore,24055,19.6,12%,42 : 58
111,=111,The University of Western AustraliaAustralia,18787,21.8,25%,49 : 51
112,=113,University of GöttingenGermany,28554,27.9,12%,50 : 50
113,=113,University of Virginia (Main campus)United States,24055,9.7,12%,52 : 48
114,115,École PolytechniqueFranceExplore,2799,5.1,36%,21 : 79
115,116,Fudan UniversityChina,32859,12.1,10%,51 : 49
116,=117,Indiana UniversityUnited States,66835,14.1,15%,52 : 48
117,=117,Trinity College DublinIrelandExplore,16157,22.8,27%,58 : 42
118,=119,University of AlbertaCanada,32435,21.6,26%,55 : 45
119,=119,City University of Hong KongHong KongExplore,9240,11.2,35%,54 : 46
120,121,Queen Mary University of LondonUnited Kingdom,15405,13.3,45%,54 : 46
121,122,Radboud University NijmegenNetherlandsExplore,19358,19.1,12%,56 : 44
122,=123,Georgetown UniversityUnited States,15956,8.6,17%,54 : 46
123,=123,Pierre and Marie Curie UniversityFrance,25117,12.3,20%,49 : 51
124,125,University of MannheimGermany,10995,74.5,16%,54 : 46
125,=126,Arizona State University (Tempe)United StatesExplore,44475,20.1,19%,43 : 57
126,=126,Charité - Universitätsmedizin BerlinGermany,6792,16.2,18%,63 : 37
127,=126,University of SouthamptonUnited Kingdom,21670,12.5,33%,53 : 47
128,129,Université Catholique de LouvainBelgium,24451,37.8,19%,54 : 46
129,=130,University of ExeterUnited KingdomExplore,19159,17.5,28%,55 : 45
130,=130,University of GenevaSwitzerland,16085,15.1,40%,61 : 39
131,132,University of Science and Technology of ChinaChinaExplore,16032,8.2,3%,
132,133,Karlsruhe Institute of TechnologyGermany,25824,26.3,18%,27 : 73
133,=134,University of AdelaideAustralia,21241,34.3,26%,48 : 52
134,=134,Stockholm UniversitySweden,33156,24.9,8%,
135,136,University of ZurichSwitzerland,26363,5.9,20%,57 : 43
136,=137,Pohang University of Science and Technology (POSTECH)South KoreaExplore,3046,10.4,4%,22 : 78
137,=137,University of YorkUnited Kingdom,14962,15.1,27%,55 : 45
138,139,University of LeedsUnited Kingdom,27995,14.7,26%,60 : 40
139,140,Pompeu Fabra UniversitySpain,11172,20.8,12%,59 : 41
140,=141,University of BirminghamUnited Kingdom,27061,15.0,27%,54 : 46
141,=141,Eindhoven University of TechnologyNetherlands,7637,18.6,17%,28 : 72
142,=143,University of FloridaUnited States,46346,17.5,9%,54 : 46
143,=143,University of St AndrewsUnited Kingdom,9005,13.0,48%,58 : 42
144,145,University of CologneGermany,45087,50.9,10%,65 : 35
145,146,University of OsloNorway,27730,18.6,19%,60 : 40
146,=147,Autonomous University of BarcelonaSpainExplore,32309,12.9,16%,59 : 41
147,=147,University of NottinghamUnited Kingdom,29176,14.0,30%,54 : 46
148,=147,University of SussexUnited Kingdom,12384,15.4,38%,55 : 45
149,=150,Lancaster UniversityUnited Kingdom,11637,13.1,38%,51 : 49
150,=150,University of Notre DameUnited States,11912,13.4,11%,45 : 55
151,152,University of LausanneSwitzerland,13065,13.6,25%,
152,=153,University of RochesterUnited States,9636,4.3,29%,49 : 51
153,=153,Technical University of DenmarkDenmark,8548,6.0,24%,29 : 71
154,=155,Sant’Anna School of Advanced Studies – PisaItaly,690,11.7,14%,37 : 63
155,=155,TU DresdenGermany,34514,35.9,13%,42 : 58
156,=155,Ulm UniversityGermany,10657,28.4,13%,48 : 52
157,158,Case Western Reserve UniversityUnited States,10130,7.1,19%,49 : 51
158,=159,University of LeicesterUnited Kingdom,14635,14.1,38%,54 : 46
159,=159,Texas A&M UniversityUnited States,56245,23.6,9%,48 : 52
160,161,University of ArizonaUnited States,38334,13.0,9%,52 : 48
161,=162,"University of California, Santa CruzUnited States",17866,23.0,4%,52 : 48
162,=162,Cardiff UniversityUnited KingdomExplore,24186,13.5,26%,58 : 42
163,=162,University of Erlangen-NurembergGermany,38730,58.5,12%,49 : 51
164,=165,University of ViennaAustria,35375,20.8,26%,66 : 34
165,=165,Vrije Universiteit AmsterdamNetherlands,24554,18.1,7%,56 : 44
166,=165,University of WürzburgGermany,22537,33.9,9%,57 : 43
167,168,University of Alabama at BirminghamUnited States,15703,15.2,6%,61 : 39
168,=169,Nanjing UniversityChina,33456,14.2,10%,50 : 50
169,=169,Tufts UniversityUnited States,10463,9.3,16%,54 : 46
170,171,University of Cape TownSouth AfricaExplore,20775,11.7,18%,53 : 47
171,172,Rutgers University – New BrunswickUnited States,43439,11.1,10%,52 : 48
172,=173,KTH Royal Institute of TechnologySweden,12951,16.0,17%,33 : 67
173,=173,University of MünsterGermany,42287,42.6,7%,53 : 47
174,=175,Université Libre de BruxellesBelgium,25343,43.4,35%,55 : 45
175,=175,Newcastle UniversityUnited KingdomExplore,20952,15.6,30%,49 : 51
176,=177,University of LiverpoolUnited Kingdom,19815,11.7,35%,54 : 46
177,=177,Zhejiang UniversityChinaExplore,50051,14.1,6%,22 : 78
178,=179,University of LuxembourgLuxembourg,4969,14.6,57%,50 : 50
179,=179,University of TwenteNetherlands,6697,12.8,27%,37 : 63
180,181,Paris-Sud UniversityFrance,27221,14.5,16%,55 : 45
181,=182,École Normale Supérieure de LyonFrance,2221,8.5,13%,47 : 53
182,=182,Hong Kong Polytechnic UniversityHong KongExplore,21773,26.9,25%,51 : 49
183,184,Scuola Normale Superiore di PisaItaly,515,5.2,7%,30 : 70
184,185,University of AberdeenUnited Kingdom,12055,13.9,36%,55 : 45
185,186,University of MiamiUnited States,15860,5.9,16%,51 : 49
186,187,University of DundeeUnited KingdomExplore,10893,14.9,24%,62 : 38
187,=188,University of East AngliaUnited KingdomExplore,13521,13.6,30%,60 : 40
188,=188,Shanghai Jiao Tong UniversityChinaExplore,37288,12.4,6%,41 : 59
189,190,Aalto UniversityFinland,12744,20.2,20%,34 : 66
190,191,University of MassachusettsUnited States,59230,13.3,14%,49 : 51
191,192,University of AucklandNew ZealandExplore,30348,18.8,29%,54 : 46
192,193,"Northeastern University, USUnited States",18780,14.0,32%,49 : 51
193,194,Lomonosov Moscow State UniversityRussian Federation,29236,7.3,22%,48 : 52
194,195,Tilburg UniversityNetherlands,7738,22.5,13%,48 : 52
195,196,Paris-Sorbonne University – Paris 4France,22042,30.2,15%,68 : 32
196,197,"Royal Holloway, University of LondonUnited Kingdom",8931,15.4,40%,59 : 41
197,=198,"University of California, RiversideUnited States",20740,20.7,14%,51 : 49
198,=198,University of GothenburgSweden,18378,10.0,13%,
199,=198,National Taiwan University (NTU)TaiwanExplore,31758,11.5,8%,40 : 60
200,201–250,Aalborg UniversityDenmarkExplore,15512,13.6,13%,49 : 51
201,201–250,University of AntwerpBelgium,16056,35.2,16%,53 : 47
202,201–250,University of BarcelonaSpainExplore,47458,12.4,10%,61 : 39
203,201–250,University of BergenNorway,12554,12.0,13%,60 : 40
204,201–250,University of BolognaItalyExplore,62296,22.2,10%,
205,201–250,Brandeis UniversityUnited States,5620,12.9,25%,55 : 45
206,201–250,University of CalgaryCanada,27084,15.7,19%,
207,201–250,Chalmers University of TechnologySweden,9112,11.4,16%,31 : 69
208,201–250,University of Cincinnati – UptownUnited States,28035,20.7,9%,52 : 48
209,201–250,Copenhagen Business SchoolDenmark,19079,44.3,23%,49 : 51
210,201–250,University of DelawareUnited States,20125,16.8,10%,57 : 43
211,201–250,University of Duisburg-EssenGermanyExplore,41916,53.8,13%,48 : 52
212,201–250,Florida State UniversityUnited States,38386,26.3,7%,55 : 45
213,201–250,University of FribourgSwitzerland,10769,45.4,18%,58 : 42
214,201–250,George Washington UniversityUnited States,22015,12.9,16%,58 : 42
215,201–250,University of HamburgGermany,38182,48.4,12%,56 : 44
216,201–250,University of Hawai’i at MānoaUnited States,16256,11.0,13%,56 : 44
217,201–250,Hebrew University of JerusalemIsrael,17454,11.2,5%,55 : 45
218,201–250,University of IcelandIceland,8693,15.3,10%,66 : 34
219,201–250,University of IowaUnited States,27310,12.4,13%,52 : 48
220,201–250,James Cook UniversityAustralia,11867,22.5,12%,62 : 38
221,201–250,University of KielGermany,25392,23.4,8%,53 : 47
222,201–250,King Abdulaziz UniversitySaudi ArabiaExplore,31554,8.1,21%,54 : 46
223,201–250,University of KonstanzGermany,11381,48.2,12%,54 : 46
224,201–250,Korea UniversitySouth KoreaExplore,23037,15.6,19%,46 : 54
225,201–250,University of Galway – Ollscoil na GaillimheIreland,13898,26.6,18%,57 : 43
226,201–250,Osaka UniversityJapan,23256,9.5,10%,31 : 69
227,201–250,University of OtagoNew Zealand,18157,19.9,20%,57 : 43
228,201–250,University of OttawaCanadaExplore,35177,25.6,17%,59 : 41
229,201–250,Paris Diderot University – Paris 7France,27992,14.9,17%,63 : 37
230,201–250,University of PassauGermany,11804,74.8,9%,61 : 39
231,201–250,University of PotsdamGermany,20066,59.1,10%,58 : 42
232,201–250,Queen’s University BelfastUnited KingdomExplore,17947,16.6,32%,55 : 45
233,201–250,Queensland University of TechnologyAustraliaExplore,35211,37.0,17%,54 : 46
234,201–250,RCSI University of Medicine and Health SciencesIrelandExplore,2136,17.6,64%,
235,201–250,University of ReadingUnited Kingdom,12874,14.7,33%,56 : 44
236,201–250,Ruhr University BochumGermany,43004,61.1,13%,49 : 51
237,201–250,"St George’s, University of LondonUnited Kingdom",3174,14.9,17%,62 : 38
238,201–250,University of South AustraliaAustralia,17575,25.8,41%,62 : 38
239,201–250,University of StuttgartGermany,26059,53.2,18%,31 : 69
240,201–250,University of TampereFinland,9360,22.2,3%,66 : 34
241,201–250,Technical University of DarmstadtGermany,17776,44.5,16%,30 : 70
242,201–250,University of Technology SydneyAustraliaExplore,25256,43.6,37%,53 : 47
243,201–250,Tel Aviv UniversityIsrael,22973,23.1,4%,54 : 46
244,201–250,University of Texas at DallasUnited States,22967,25.4,25%,43 : 57
245,201–250,Tohoku UniversityJapan,17494,5.5,10%,26 : 74
246,201–250,Ulsan National Institute of Science and Technology (UNIST)South KoreaExplore,4046,14.3,7%,28 : 72
247,201–250,University College DublinIreland,21605,23.0,26%,
248,201–250,University of UtahUnited States,30040,14.5,10%,45 : 55
249,201–250,Vita-Salute San Raffaele UniversityItaly,2598,7.1,5%,58 : 42
250,201–250,University of WaterlooCanadaExplore,32000,26.1,17%,46 : 54
251,201–250,Western UniversityCanada,28996,22.0,17%,55 : 45
252,201–250,Yonsei University (Seoul campus)South KoreaExplore,18038,14.7,21%,45 : 55
253,251–300,Aix-Marseille UniversityFrance,66623,16.8,12%,58 : 42
254,251–300,University of BathUnited Kingdom,12513,16.3,32%,45 : 55
255,251–300,University of BayreuthGermany,12917,37.9,8%,45 : 55
256,251–300,Bielefeld UniversityGermany,23683,66.8,8%,57 : 43
257,251–300,University of BremenGermany,19040,34.2,11%,50 : 50
258,251–300,University at BuffaloUnited States,25247,17.7,18%,45 : 55
259,251–300,Clark UniversityUnited States,3316,11.7,26%,60 : 40
260,251–300,University of Colorado Denver/Anschutz Medical CampusUnited States,15491,5.0,8%,55 : 45
261,251–300,Colorado School of MinesUnited States,5557,17.6,11%,28 : 72
262,251–300,Dalhousie UniversityCanadaExplore,15201,14.9,20%,55 : 45
263,251–300,École des Ponts ParisTechFrance,1749,12.3,41%,30 : 70
264,251–300,University of EssexUnited Kingdom,10986,16.5,43%,55 : 45
265,251–300,Goethe University FrankfurtGermany,45387,13.3,15%,58 : 42
266,251–300,Griffith UniversityAustraliaExplore,31772,22.3,19%,56 : 44
267,251–300,University of HohenheimGermany,9557,42.9,13%,56 : 44
268,251–300,University of Illinois at ChicagoUnited States,25450,11.4,19%,52 : 48
269,251–300,Indian Institute of ScienceIndia,3550,8.4,1%,21 : 79
270,251–300,University of InnsbruckAustria,14530,13.1,39%,54 : 46
271,251–300,Johannes Gutenberg University of MainzGermany,34219,32.1,10%,59 : 41
272,251–300,Université LavalCanadaExplore,29322,16.9,13%,57 : 43
273,251–300,Macquarie UniversityAustraliaExplore,27955,31.0,22%,54 : 46
274,251–300,University of MarburgGermany,26062,37.4,9%,56 : 44
275,251–300,Medical University of ViennaAustria,7209,2.7,28%,50 : 50
276,251–300,Moscow Institute of Physics and Technology (MIPT)Russian Federation,5761,8.7,12%,20 : 80
277,251–300,University of NewcastleAustralia,22921,22.0,17%,55 : 45
278,251–300,North Carolina State UniversityUnited States,30254,13.1,13%,45 : 55
279,251–300,Norwegian University of Science and TechnologyNorway,21571,16.9,11%,46 : 54
280,251–300,University of OregonUnited States,23728,18.6,14%,52 : 48
281,251–300,Oregon Health and Science UniversityUnited States,2895,1.0,2%,64 : 36
282,251–300,University of OuluFinlandExplore,10287,23.7,6%,50 : 50
283,251–300,Queen’s UniversityCanadaExplore,21227,22.7,12%,57 : 43
284,251–300,University of São PauloBrazil,82258,14.8,4%,48 : 52
285,251–300,Simon Fraser UniversityCanadaExplore,26309,27.6,29%,54 : 46
286,251–300,University of Southern DenmarkDenmark,25328,13.5,16%,53 : 47
287,251–300,University of South Florida (Tampa)United States,33053,19.6,12%,
288,251–300,Stony Brook UniversityUnited States,23136,10.4,24%,49 : 51
289,251–300,University of SurreyUnited Kingdom,11027,14.3,38%,53 : 47
290,251–300,Swansea UniversityUnited Kingdom,13896,16.1,24%,47 : 53
291,251–300,Swedish University of Agricultural SciencesSweden,3812,4.4,4%,69 : 31
292,251–300,Syracuse UniversityUnited States,20180,16.3,19%,54 : 46
293,251–300,Tokyo Institute of TechnologyJapan,9570,7.3,13%,14 : 86
294,251–300,University of TrentoItaly,17759,29.4,8%,51 : 49
295,251–300,Umeå UniversitySweden,16553,11.7,10%,60 : 40
296,251–300,Wake Forest UniversityUnited States,7579,4.1,6%,51 : 49
297,251–300,William & MaryUnited States,8044,11.8,9%,55 : 45
298,251–300,University of the WitwatersrandSouth AfricaExplore,25342,24.6,8%,56 : 44
299,251–300,University of WollongongAustraliaExplore,16947,27.0,24%,50 : 50
300,301–350,Aberystwyth UniversityUnited Kingdom,7920,18.4,18%,47 : 53
301,301–350,University of Alaska FairbanksUnited States,3769,8.3,6%,51 : 49
302,301–350,Anglia Ruskin University (ARU)United Kingdom,15197,21.7,25%,62 : 38
303,301–350,Babol Noshirvani University of TechnologyIran,4749,28.6,0%,32 : 68
304,301–350,Bangor UniversityUnited Kingdom,9327,18.4,25%,55 : 45
305,301–350,"Birkbeck, University of LondonUnited Kingdom",9014,16.8,39%,54 : 46
306,301–350,University of BordeauxFranceExplore,52526,21.0,12%,58 : 42
307,301–350,Boston CollegeUnited States,12943,16.1,12%,55 : 45
308,301–350,Brighton and Sussex Medical SchoolUnited Kingdom,761,12.1,16%,59 : 41
309,301–350,Charles Darwin UniversityAustralia,6551,22.4,32%,63 : 37
310,301–350,University of ConnecticutUnited States,26669,12.7,12%,51 : 49
311,301–350,Deakin UniversityAustralia,36768,32.9,17%,58 : 42
312,301–350,University of DenverUnited States,9671,13.2,11%,56 : 44
313,301–350,University of Eastern FinlandFinland,11459,18.3,6%,63 : 37
314,301–350,Flinders UniversityAustraliaExplore,16757,23.9,18%,63 : 37
315,301–350,Free University of Bozen-BolzanoItaly,3304,11.6,12%,33 : 67
316,301–350,George Mason UniversityUnited States,27749,17.5,8%,54 : 46
317,301–350,"Goldsmiths, University of LondonUnited Kingdom",7416,13.9,37%,66 : 34
318,301–350,Grenoble Alpes UniversityFrance,39298,17.0,15%,57 : 43
319,301–350,University of HoustonUnited States,41128,42.9,10%,50 : 50
320,301–350,Iowa State UniversityUnited States,31307,18.8,12%,45 : 55
321,301–350,University of KentUnited Kingdom,16949,12.7,31%,53 : 47
322,301–350,Khalifa UniversityUnited Arab EmiratesExplore,3134,8.3,32%,46 : 54
323,301–350,Koç UniversityTurkey,5172,14.9,10%,52 : 48
324,301–350,University of LiègeBelgium,21910,27.1,23%,56 : 44
325,301–350,Loughborough UniversityUnited Kingdom,13457,14.9,22%,39 : 61
326,301–350,Medical University of GrazAustria,3323,6.9,23%,53 : 47
327,301–350,University of MilanItaly,56805,28.1,5%,59 : 41
328,301–350,Nagoya UniversityJapan,15594,7.9,10%,29 : 71
329,301–350,National Tsing Hua UniversityTaiwan,10194,13.8,5%,33 : 67
330,301–350,University of NavarraSpain,10827,14.9,19%,53 : 47
331,301–350,University of Nebraska-LincolnUnited States,22578,16.3,12%,47 : 53
332,301–350,Oregon State UniversityUnited States,23668,16.2,10%,47 : 53
333,301–350,Politecnico di MilanoItalyExplore,33189,23.8,14%,34 : 66
334,301–350,Rensselaer Polytechnic InstituteUnited States,7240,15.7,17%,32 : 68
335,301–350,Rush UniversityUnited States,2437,2.1,3%,73 : 27
336,301–350,Sapienza University of RomeItaly,111453,32.1,7%,58 : 42
337,301–350,University of StirlingUnited KingdomExplore,8507,15.1,21%,62 : 38
338,301–350,University of TartuEstonia,8835,11.6,5%,66 : 34
339,301–350,University of TasmaniaAustralia,11346,14.5,22%,60 : 40
340,301–350,Technion Israel Institute of TechnologyIsrael,14693,21.7,5%,34 : 66
341,301–350,The University of Tennessee-KnoxvilleUnited States,25264,16.4,5%,
342,301–350,Tomsk Polytechnic UniversityRussian Federation,9858,8.2,24%,36 : 64
343,301–350,TU Dortmund UniversityGermany,32870,99.6,10%,45 : 55
344,301–350,TU WienAustria,17931,36.5,28%,29 : 71
345,301–350,Victoria UniversityAustralia,14795,31.4,20%,54 : 46
346,301–350,University of VictoriaCanada,18388,22.8,15%,57 : 43
347,301–350,Virginia Polytechnic Institute and State UniversityUnited StatesExplore,30975,18.2,11%,43 : 57
348,301–350,Vrije Universiteit BrusselBelgium,12785,22.2,21%,53 : 47
349,301–350,Washington State UniversityUnited States,27135,19.7,7%,52 : 48
350,351–400,The University of AlabamaUnited States,33679,22.2,5%,54 : 46
351,351–400,American UniversityUnited States,11534,11.7,13%,64 : 36
352,351–400,Aston UniversityUnited Kingdom,8989,20.0,31%,49 : 51
353,351–400,Autonomous University of MadridSpain,29305,13.4,13%,60 : 40
354,351–400,Brunel University LondonUnited Kingdom,11359,16.0,41%,46 : 54
355,351–400,University of CanberraAustralia,11438,30.3,28%,52 : 48
356,351–400,University of CanterburyNew ZealandExplore,11931,16.8,21%,50 : 50
357,351–400,"City, University of LondonUnited Kingdom",13460,17.2,53%,56 : 44
358,351–400,"Colorado State University, Fort CollinsUnited States",23921,15.9,6%,53 : 47
359,351–400,University of Côte d’AzurFrance,33839,21.8,23%,55 : 45
360,351–400,University of CreteGreece,14522,26.2,4%,62 : 38
361,351–400,Curtin UniversityAustraliaExplore,31483,18.5,37%,52 : 48
362,351–400,Cyprus University of TechnologyCyprus,3072,18.7,8%,57 : 43
363,351–400,Drexel UniversityUnited States,20714,10.9,18%,49 : 51
364,351–400,Federal University of Toulouse Midi-PyrénéesFrance,98538,24.6,17%,53 : 47
365,351–400,University of GeorgiaUnited States,33842,16.3,7%,58 : 42
366,351–400,Georgia State UniversityUnited States,28593,18.9,6%,69 : 31
367,351–400,Gwangju Institute of Science and Technology (GIST)South Korea,1731,11.5,6%,25 : 75
368,351–400,Hanyang UniversitySouth KoreaExplore,20879,14.6,17%,
369,351–400,Heriot-Watt UniversityUnited KingdomExplore,9259,16.4,41%,42 : 58
370,351–400,HSE UniversityRussian Federation,17241,9.5,7%,
371,351–400,Indian Institute of Technology BombayIndia,9870,17.9,1%,17 : 83
372,351–400,Justus Liebig University GiessenGermany,28201,47.3,9%,61 : 39
373,351–400,University of KansasUnited States,24515,7.2,9%,51 : 49
374,351–400,Kyushu UniversityJapan,18696,7.6,12%,29 : 71
375,351–400,La Trobe UniversityAustralia,20343,34.5,26%,63 : 37
376,351–400,Leibniz University HannoverGermany,25162,65.3,12%,41 : 59
377,351–400,Linköping UniversitySweden,18740,8.1,11%,53 : 47
378,351–400,University of MacauMacaoExplore,9230,14.5,33%,58 : 42
379,351–400,University of MalayaMalaysia,21990,10.9,18%,66 : 34
380,351–400,Montpellier UniversityFrance,39828,19.9,14%,53 : 47
381,351–400,Örebro UniversitySweden,8800,16.4,2%,61 : 39
382,351–400,University of PaduaItaly,62218,30.8,4%,55 : 45
