,Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
0,1,University of OxfordUnited Kingdom,19718,10.9,35%,46 : 54
1,2,California Institute of TechnologyUnited States,2181,6.7,27%,31 : 69
2,3,Stanford UniversityUnited States,15658,7.7,22%,42 : 58
3,4,University of CambridgeUnited Kingdom,18605,11.3,35%,45 : 55
4,5,Massachusetts Institute of TechnologyUnited States,11192,8.8,33%,37 : 63
5,6,Harvard UniversityUnited States,19890,8.8,25%,
6,7,Princeton UniversityUnited States,7925,8.4,23%,45 : 55
7,8,Imperial College LondonUnited Kingdom,15236,11.3,52%,37 : 63
8,9,ETH ZurichSwitzerland,18616,14.9,37%,31 : 69
9,=10,"University of California, BerkeleyUnited States",34834,12.0,16%,52 : 48
10,=10,The University of ChicagoUnited States,13486,6.2,24%,42 : 58
11,12,Yale UniversityUnited States,11946,4.4,21%,49 : 51
12,13,University of PennsylvaniaUnited States,20367,6.5,20%,51 : 49
13,14,"University of California, Los AngelesUnited States",38392,9.9,16%,53 : 47
14,15,UCLUnited Kingdom,28602,10.6,47%,56 : 44
15,16,Columbia UniversityUnited States,25659,6.0,30%,
16,17,Johns Hopkins UniversityUnited States,15303,3.5,24%,51 : 49
17,18,Duke UniversityUnited States,15204,4.8,17%,49 : 51
18,19,Cornell UniversityUnited States,21593,9.9,19%,49 : 51
19,20,Northwestern UniversityUnited States,18570,14.0,16%,48 : 52
20,21,University of Michigan-Ann ArborUnited States,41912,8.8,16%,48 : 52
21,22,University of TorontoCanadaExplore,68093,18.8,16%,
22,23,Carnegie Mellon UniversityUnited States,12311,13.2,38%,38 : 62
23,24,National University of SingaporeSingaporeExplore,31111,16.7,32%,50 : 50
24,=25,London School of Economics and Political ScienceUnited Kingdom,9401,11.8,70%,53 : 47
25,=25,University of WashingtonUnited States,45162,11.9,15%,53 : 47
26,27,University of EdinburghUnited Kingdom,25279,12.6,37%,59 : 41
27,28,Karolinska InstituteSweden,7723,11.3,23%,69 : 31
28,29,Peking UniversityChinaExplore,42977,8.8,15%,48 : 52
29,=30,LMU MunichGermanyExplore,36180,15.7,14%,61 : 39
30,=30,École Polytechnique Fédérale de LausanneSwitzerland,9750,11.2,54%,27 : 73
31,32,New York UniversityUnited States,43021,6.6,25%,55 : 45
32,=33,Georgia Institute of TechnologyUnited States,19847,19.8,26%,31 : 69
33,=33,University of MelbourneAustralia,42273,24.8,37%,55 : 45
34,35,Tsinghua UniversityChinaExplore,41537,14.1,10%,32 : 68
35,=36,University of British ColumbiaCanada,51889,18.2,29%,54 : 46
36,=36,University of Illinois at Urbana-ChampaignUnited States,43202,18.3,22%,46 : 54
37,=36,King’s College LondonUnited Kingdom,21986,11.3,38%,61 : 39
38,39,The University of TokyoJapan,26080,7.0,10%,
39,40,KU LeuvenBelgiumExplore,46381,41.9,16%,49 : 51
40,41,"University of California, San DiegoUnited States",28416,6.6,14%,47 : 53
41,42,McGill UniversityCanada,30911,13.5,24%,57 : 43
42,=43,Heidelberg UniversityGermany,29527,24.9,17%,55 : 45
43,=43,University of Hong KongHong Kong,20095,17.8,39%,51 : 49
44,45,University of Wisconsin-MadisonUnited States,40048,11.0,12%,51 : 49
45,46,Technical University of MunichGermany,36929,51.9,22%,33 : 67
46,47,Australian National UniversityAustralia,15402,19.9,35%,52 : 48
47,48,"University of California, Santa BarbaraUnited States",22267,27.4,12%,51 : 49
48,49,The Hong Kong University of Science and TechnologyHong KongExplore,11960,27.3,38%,
49,50,University of Texas at AustinUnited States,48689,17.2,10%,51 : 49
50,=51,Brown UniversityUnited States,8694,10.2,20%,
51,=51,"University of California, DavisUnited States",36060,13.7,15%,55 : 45
52,53,University of MinnesotaUnited States,46625,17.5,13%,52 : 48
53,54,"Nanyang Technological University, SingaporeSingapore",25278,16.1,32%,49 : 51
54,55,University of ManchesterUnited KingdomExplore,34015,14.4,36%,52 : 48
55,56,University of North Carolina at Chapel HillUnited States,26412,7.5,8%,57 : 43
56,=57,Humboldt University of BerlinGermany,31043,54.8,17%,
57,=57,Washington University in St LouisUnited States,12528,5.7,17%,
58,59,Delft University of TechnologyNetherlands,16174,18.9,25%,27 : 73
59,=60,The University of QueenslandAustraliaExplore,38892,35.4,25%,55 : 45
60,=60,University of Southern CaliforniaUnited States,38466,13.6,23%,52 : 48
61,=60,University of SydneyAustralia,42678,19.0,29%,57 : 43
62,63,University of AmsterdamNetherlandsExplore,25344,14.3,10%,58 : 42
63,64,Boston UniversityUnited States,24714,8.4,19%,59 : 41
64,65,Wageningen University & ResearchNetherlands,9535,15.6,23%,56 : 44
65,66,École Normale SupérieureFrance,1548,9.6,18%,40 : 60
66,67,"University of Maryland, College ParkUnited States",31353,16.8,9%,48 : 52
67,68,Penn State (Main campus)United States,45359,12.3,13%,46 : 54
68,69,Erasmus University RotterdamNetherlandsExplore,21854,20.6,19%,49 : 51
69,70,Purdue University West LafayetteUnited States,38788,17.7,22%,42 : 58
70,71,University of BristolUnited Kingdom,18544,13.6,25%,52 : 48
71,=72,Ohio State University (Main campus)United States,52497,12.8,12%,49 : 51
72,=72,Seoul National UniversitySouth Korea,26777,13.1,11%,
73,74,Monash UniversityAustralia,44217,34.5,25%,57 : 43
74,75,Free University of BerlinGermany,32909,53.9,21%,58 : 42
75,76,Chinese University of Hong KongHong KongExplore,18433,10.5,27%,
76,77,Leiden UniversityNetherlandsExplore,23597,17.8,11%,59 : 41
77,=78,UNSW SydneyAustraliaExplore,39121,26.3,32%,46 : 54
78,=78,RWTH Aachen UniversityGermany,42298,54.9,17%,32 : 68
79,=80,University of GroningenNetherlandsExplore,25281,24.4,13%,52 : 48
80,=80,University of Pittsburgh-Pittsburgh campusUnited States,26501,5.9,10%,51 : 49
81,=82,Dartmouth CollegeUnited States,6109,6.7,15%,47 : 53
82,=82,Emory UniversityUnited States,12649,4.4,19%,57 : 43
83,=82,Technical University of BerlinGermany,20548,60.3,19%,34 : 66
84,=82,University of WarwickUnited Kingdom,18558,14.6,38%,47 : 53
85,86,Utrecht UniversityNetherlandsExplore,31142,15.6,7%,59 : 41
86,87,Rice UniversityUnited States,6447,9.0,27%,43 : 57
87,88,University of GlasgowUnited KingdomExplore,22856,15.3,32%,57 : 43
88,=89,Korea Advanced Institute of Science and Technology (KAIST)South Korea,9327,9.5,9%,20 : 80
89,=89,University of TübingenGermany,28074,37.3,11%,58 : 42
90,=91,University of HelsinkiFinland,23369,17.0,6%,65 : 35
91,=91,Kyoto UniversityJapan,22547,5.5,7%,
92,93,Uppsala UniversitySweden,25275,16.6,12%,57 : 43
93,94,Maastricht UniversityNetherlands,16030,18.3,47%,58 : 42
94,95,University of FreiburgGermany,25890,33.7,16%,52 : 48
95,=96,Durham UniversityUnited Kingdom,15705,15.3,26%,54 : 46
96,=96,Lund UniversitySweden,28852,12.0,15%,53 : 47
97,=98,Aarhus UniversityDenmark,24633,13.9,14%,55 : 45
98,=98,University of BaselSwitzerland,12560,17.4,24%,54 : 46
99,=98,"University of California, IrvineUnited States",29304,17.2,18%,53 : 47
100,101,Michigan State UniversityUnited States,45297,15.8,16%,51 : 49
101,102,University of MannheimGermany,10808,84.0,14%,55 : 45
102,103,University of MontrealCanadaExplore,37651,20.2,24%,58 : 42
103,=104,Georgetown UniversityUnited States,15726,8.6,15%,54 : 46
104,=104,Pohang University of Science and Technology (POSTECH)South KoreaExplore,3017,10.0,4%,22 : 78
105,106,University of ZurichSwitzerland,26042,6.1,18%,57 : 43
106,107,University of AlbertaCanada,33159,21.1,24%,55 : 45
107,108,Vanderbilt UniversityUnited States,12161,3.1,9%,52 : 48
108,109,University of SheffieldUnited Kingdom,23961,15.3,33%,50 : 50
109,=110,University of BernSwitzerland,14651,23.3,14%,55 : 45
