,Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
110,=110,University of St AndrewsUnited Kingdom,8453,12.2,46%,57 : 43
111,112,University of GöttingenGermany,26549,26.1,12%,50 : 50
112,=113,University of BonnGermany,33939,73.3,13%,55 : 45
113,=113,McMaster UniversityCanadaExplore,23943,20.4,16%,52 : 48
114,=113,Queen Mary University of LondonUnited Kingdom,14502,13.2,42%,52 : 48
115,=116,University of Colorado BoulderUnited States,29741,16.3,9%,44 : 56
116,=116,École PolytechniqueFranceExplore,2669,5.0,31%,18 : 82
117,118,Ghent UniversityBelgium,35374,37.0,9%,53 : 47
118,119,City University of Hong KongHong KongExplore,9871,11.6,30%,52 : 48
119,120,University of CopenhagenDenmark,29796,4.2,17%,62 : 38
120,=121,Pierre and Marie Curie UniversityFrance,28473,8.0,17%,48 : 52
121,=121,Radboud University NijmegenNetherlandsExplore,19079,19.1,11%,57 : 43
122,=121,University of SouthamptonUnited Kingdom,21049,12.8,31%,53 : 47
123,=121,University of Virginia (Main campus)United States,23797,10.0,12%,53 : 47
124,125,The University of Western AustraliaAustralia,20777,23.0,27%,50 : 50
125,=126,Case Western Reserve UniversityUnited States,9622,6.6,18%,48 : 52
126,=126,University of ExeterUnited KingdomExplore,18233,17.5,27%,55 : 45
127,128,Université Catholique de LouvainBelgium,23916,38.1,19%,54 : 46
128,129,University of YorkUnited Kingdom,14676,15.3,26%,55 : 45
129,130,University of BirminghamUnited Kingdom,26362,16.7,25%,54 : 46
130,131,Arizona State University (Tempe)United StatesExplore,43082,20.1,16%,44 : 56
131,=131,Trinity College DublinIrelandExplore,15805,23.4,25%,58 : 42
132,132,University of OsloNorway,27215,18.7,18%,54 : 46
133,133,University of LeedsUnited Kingdom,27791,15.0,22%,59 : 41
134,134,University of FloridaUnited States,44911,17.0,9%,54 : 46
135,=135,Tufts UniversityUnited States,10462,10.1,15%,54 : 46
136,=135,Ulm UniversityGermany,10370,27.3,12%,47 : 53
137,=137,University of GenevaSwitzerland,15587,15.0,40%,61 : 39
138,=137,Lancaster UniversityUnited Kingdom,11673,13.6,35%,52 : 48
139,=137,Scuola Normale Superiore di PisaItaly,545,15.1,6%,30 : 70
140,=137,Sungkyunkwan University (SKKU)South KoreaExplore,24791,19.1,10%,
141,141,Rutgers University – New BrunswickUnited States,42892,10.8,8%,52 : 48
142,142,University of AdelaideAustralia,20462,29.6,27%,47 : 53
143,143,University of Notre DameUnited States,11821,13.5,10%,45 : 55
144,=144,Karlsruhe Institute of TechnologyGermany,25948,24.5,17%,27 : 73
145,=144,Stockholm UniversitySweden,31272,23.5,8%,62 : 38
146,146,"University of California, Santa CruzUnited States",17203,24.5,2%,53 : 47
147,147,University of NottinghamUnited Kingdom,29738,14.7,28%,53 : 47
148,148,University of Cape TownSouth AfricaExplore,20061,11.6,17%,53 : 47
149,149,University of SussexUnited Kingdom,12293,15.8,35%,55 : 45
150,150,Indiana UniversityUnited States,66057,14.2,14%,52 : 48
151,=151,University of LausanneSwitzerland,12647,13.5,24%,
152,=151,University of RochesterUnited States,9628,4.5,28%,51 : 49
153,=153,University of Science and Technology of ChinaChinaExplore,14827,8.1,3%,
154,=153,University of TwenteNetherlands,6583,12.5,28%,36 : 64
155,155,Fudan UniversityChina,32449,12.1,11%,50 : 50
156,=156,University of ArizonaUnited States,37023,12.8,9%,52 : 48
157,=156,Vrije Universiteit AmsterdamNetherlands,24592,15.5,7%,56 : 44
158,158,University of LiverpoolUnited Kingdom,19085,11.7,34%,53 : 47
159,159,KTH Royal Institute of TechnologySweden,12841,15.9,17%,31 : 69
160,160,University of Erlangen-NurembergGermany,37882,55.4,9%,49 : 51
161,=161,University of MünsterGermany,41807,42.4,6%,53 : 47
162,=161,University of ViennaAustria,34711,20.3,26%,67 : 33
163,163,Autonomous University of BarcelonaSpainExplore,31095,12.4,11%,59 : 41
164,164,TU DresdenGermany,35468,36.3,12%,42 : 58
165,=165,University of AucklandNew ZealandExplore,30287,18.9,29%,54 : 46
166,=165,"University of California, RiversideUnited States",20901,22.6,13%,51 : 49
167,=165,University of East AngliaUnited KingdomExplore,13997,13.9,28%,58 : 42
168,=165,University of MassachusettsUnited States,58624,13.1,13%,49 : 51
169,169,Texas A&M UniversityUnited States,53694,22.1,9%,47 : 53
170,=170,University of CologneGermany,44882,41.3,11%,61 : 39
171,=170,University of GothenburgSweden,17761,10.6,12%,
172,172,University of LeicesterUnited Kingdom,14179,12.5,36%,53 : 47
173,=173,"Royal Holloway, University of LondonUnited Kingdom",8551,15.3,38%,58 : 42
174,=173,University of WaterlooCanadaExplore,31776,24.8,15%,45 : 55
175,175,Pompeu Fabra UniversitySpain,10791,20.1,12%,59 : 41
176,176,Technical University of DenmarkDenmark,8063,5.7,18%,27 : 73
177,177,Eindhoven University of TechnologyNetherlands,10015,19.4,14%,22 : 78
178,178,University of LuxembourgLuxembourg,5219,17.2,55%,51 : 49
179,179,Paris-Sud UniversityFrance,26642,14.1,17%,55 : 45
180,=180,University of DundeeUnited KingdomExplore,11266,14.7,24%,61 : 39
181,=180,University of HamburgGermany,37501,46.7,11%,57 : 43
182,=182,Cardiff UniversityUnited KingdomExplore,23549,14.3,25%,56 : 44
183,=182,University of MiamiUnited States,16054,6.0,15%,51 : 49
184,=182,"Northeastern University, USUnited States",18368,14.5,28%,50 : 50
185,=182,University of the WitwatersrandSouth AfricaExplore,24565,24.5,8%,56 : 44
186,=186,Hebrew University of JerusalemIsrael,17709,10.8,5%,57 : 43
187,=186,University of WürzburgGermany,22297,33.5,8%,57 : 43
188,=188,University of AberdeenUnited Kingdom,11554,13.6,32%,55 : 45
189,=188,Lomonosov Moscow State UniversityRussian Federation,29563,7.4,21%,45 : 55
190,=190,Newcastle UniversityUnited KingdomExplore,20307,15.6,28%,49 : 51
191,=190,Sant’Anna School of Advanced Studies – PisaItaly,679,13.1,13%,38 : 62
192,=192,Hong Kong Polytechnic UniversityHong KongExplore,21907,25.6,25%,54 : 46
193,=192,University of ReadingUnited Kingdom,12086,13.9,29%,56 : 44
194,194,University of KonstanzGermany,11335,50.4,12%,54 : 46
195,=195,University of CalgaryCanada,28047,16.0,18%,53 : 47
196,=195,National Taiwan University (NTU)TaiwanExplore,31581,11.6,8%,40 : 60
197,197,University of Duisburg-EssenGermanyExplore,41002,53.0,12%,49 : 51
198,=198,Brandeis UniversityUnited States,5532,13.1,23%,55 : 45
199,=198,Tilburg UniversityNetherlands,7454,22.4,13%,49 : 51
200,200,University of Illinois at ChicagoUnited States,24459,11.6,18%,53 : 47
201,201-250,Aalborg UniversityDenmarkExplore,19286,17.4,15%,48 : 52
202,201-250,Aalto UniversityFinland,12653,20.1,20%,34 : 66
203,201-250,University of AntwerpBelgium,16445,35.8,15%,54 : 46
204,201-250,University of BarcelonaSpainExplore,47569,12.5,10%,61 : 39
205,201-250,University of BergenNorway,11949,11.5,13%,59 : 41
206,201-250,"Birkbeck, University of LondonUnited Kingdom",9690,19.5,38%,54 : 46
207,201-250,University of BolognaItalyExplore,84486,22.3,7%,56 : 44
208,201-250,Boston CollegeUnited States,12932,16.5,19%,55 : 45
209,201-250,CentraleSupélecFrance,4130,11.4,32%,22 : 78
210,201-250,University of Cincinnati – UptownUnited States,27712,21.9,8%,52 : 48
211,201-250,University College DublinIreland,21438,22.7,25%,
212,201-250,University of DelawareUnited States,19426,16.2,10%,56 : 44
213,201-250,ESPCI ParisTechFrance,481,6.3,14%,38 : 62
214,201-250,Florida State UniversityUnited States,41737,30.2,7%,55 : 45
215,201-250,George Washington UniversityUnited States,21409,12.4,15%,57 : 43
216,201-250,Goethe University FrankfurtGermany,45453,13.1,15%,58 : 42
217,201-250,University of Hawai’i at MānoaUnited States,16580,10.9,13%,56 : 44
218,201-250,University of IcelandIceland,13373,24.0,8%,66 : 34
219,201-250,Indian Institute of ScienceIndia,3398,8.3,1%,20 : 80
220,201-250,University of IowaUnited States,27807,11.6,12%,52 : 48
221,201-250,University of KielGermany,24701,23.3,8%,54 : 46
222,201-250,King Abdulaziz UniversitySaudi ArabiaExplore,37178,8.3,21%,55 : 45
223,201-250,Korea UniversitySouth KoreaExplore,22739,15.5,16%,42 : 58
224,201-250,Université Libre de BruxellesBelgium,23712,35.0,32%,54 : 46
225,201-250,Nanjing UniversityChina,34784,15.7,9%,42 : 58
226,201-250,University of Galway – Ollscoil na GaillimheIreland,13911,26.1,16%,56 : 44
227,201-250,University of NewcastleAustralia,23838,22.7,18%,56 : 44
228,201-250,North Carolina State UniversityUnited States,30187,13.1,12%,45 : 55
229,201-250,University of OtagoNew Zealand,18567,20.2,20%,57 : 43
230,201-250,University of OuluFinlandExplore,10089,23.5,7%,50 : 50
231,201-250,Paris Descartes UniversityFrance,32978,24.4,15%,63 : 37
232,201-250,Paris Diderot University – Paris 7France,27836,14.8,17%,63 : 37
233,201-250,Politecnico di MilanoItalyExplore,33486,25.3,13%,35 : 65
234,201-250,Queensland University of TechnologyAustraliaExplore,34398,36.3,17%,54 : 46
235,201-250,Queen’s UniversityCanadaExplore,21015,22.6,11%,58 : 42
236,201-250,Queen’s University BelfastUnited KingdomExplore,17348,16.1,32%,55 : 45
237,201-250,RCSI University of Medicine and Health SciencesIrelandExplore,2184,18.2,62%,
238,201-250,Shanghai Jiao Tong UniversityChinaExplore,36535,12.3,6%,41 : 59
239,201-250,Simon Fraser UniversityCanadaExplore,26607,28.3,29%,55 : 45
240,201-250,University of South Florida (Tampa)United States,32016,19.0,11%,
241,201-250,"St George’s, University of LondonUnited Kingdom",3077,14.5,16%,62 : 38
242,201-250,Stony Brook UniversityUnited States,22867,10.9,24%,49 : 51
243,201-250,University of StuttgartGermany,15721,30.3,14%,30 : 70
244,201-250,University of Technology SydneyAustraliaExplore,25069,44.0,35%,52 : 48
245,201-250,Technical University of DarmstadtGermany,20719,51.9,18%,28 : 72
246,201-250,Tel Aviv UniversityIsrael,23663,24.0,4%,
247,201-250,University of Texas at DallasUnited States,17825,25.0,25%,44 : 56
248,201-250,Tohoku UniversityJapan,17349,5.4,9%,26 : 74
249,201-250,University of TrentoItaly,17118,28.2,9%,52 : 48
250,201-250,University of UtahUnited States,30193,14.8,10%,45 : 55
251,201-250,Wake Forest UniversityUnited States,7451,4.5,5%,50 : 50
252,201-250,Western UniversityCanada,28060,21.6,16%,55 : 45
253,201-250,Zhejiang UniversityChinaExplore,47845,15.2,5%,41 : 59
254,201-250,École Normale Supérieure de LyonFrance,2238,8.4,15%,46 : 54
255,251-300,University of BathUnited Kingdom,11765,16.5,30%,45 : 55
256,251-300,University of BayreuthGermany,12709,37.8,7%,46 : 54
257,251-300,Bielefeld UniversityGermany,22279,69.6,8%,57 : 43
258,251-300,University at BuffaloUnited States,26418,18.8,21%,46 : 54
259,251-300,Chalmers University of TechnologySweden,8819,11.9,15%,31 : 69
260,251-300,Charles Darwin UniversityAustralia,6096,21.3,25%,66 : 34
261,251-300,Colorado School of MinesUnited States,5437,17.7,11%,27 : 73
262,251-300,Copenhagen Business SchoolDenmark,19154,42.9,21%,48 : 52
263,251-300,Dalhousie UniversityCanadaExplore,15293,14.9,19%,55 : 45
264,251-300,Deakin UniversityAustralia,34968,31.1,17%,59 : 41
265,251-300,Free University of Bozen-BolzanoItaly,2813,4.1,16%,67 : 33
266,251-300,University of FribourgSwitzerland,10701,46.2,18%,58 : 42
267,251-300,Griffith UniversityAustraliaExplore,31031,22.3,20%,56 : 44
268,251-300,University of HohenheimGermany,9524,42.1,13%,57 : 43
269,251-300,James Cook UniversityAustralia,12004,22.9,13%,63 : 37
270,251-300,Johannes Gutenberg University of MainzGermany,35215,31.5,10%,58 : 42
271,251-300,Koç UniversityTurkey,4793,14.6,9%,52 : 48
272,251-300,Université LavalCanadaExplore,28757,16.9,12%,57 : 43
273,251-300,Macquarie UniversityAustraliaExplore,27532,32.8,24%,55 : 45
274,251-300,University of MarburgGermany,26085,39.0,9%,56 : 44
275,251-300,Mines ParisTechFrance,1289,5.5,26%,29 : 71
276,251-300,National Tsing Hua UniversityTaiwan,10260,13.6,6%,33 : 67
277,251-300,Norwegian University of Science and TechnologyNorway,22031,18.3,11%,48 : 52
278,251-300,Oregon Health and Science UniversityUnited States,2861,1.1,2%,65 : 35
279,251-300,Osaka UniversityJapan,23087,7.6,9%,30 : 70
280,251-300,University of OttawaCanadaExplore,34946,25.3,15%,60 : 40
281,251-300,Rensselaer Polytechnic InstituteUnited States,6829,15.5,17%,31 : 69
282,251-300,Ruhr University BochumGermany,42718,61.2,13%,49 : 51
283,251-300,Rush UniversityUnited States,1987,2.2,3%,71 : 29
284,251-300,Sapienza University of RomeItaly,115327,31.8,7%,59 : 41
285,251-300,University of South AustraliaAustralia,19996,29.6,33%,57 : 43
286,251-300,University of Southern DenmarkDenmark,25313,13.5,16%,53 : 47
287,251-300,University of SurreyUnited Kingdom,10377,13.3,38%,54 : 46
288,251-300,Swedish University of Agricultural SciencesSweden,3838,4.6,%,68 : 32
289,251-300,Syracuse UniversityUnited States,19930,16.1,17%,54 : 46
290,251-300,University of São PauloBrazil,83201,14.7,4%,48 : 52
291,251-300,University of TampereFinland,9530,21.7,5%,66 : 34
292,251-300,The University of Tennessee-KnoxvilleUnited States,26988,17.8,4%,
293,251-300,Tokyo Institute of TechnologyJapan,9587,7.4,13%,13 : 87
294,251-300,Umeå UniversitySweden,16698,11.7,10%,60 : 40
295,251-300,TU WienAustria,17620,35.8,27%,29 : 71
296,251-300,Virginia Polytechnic Institute and State UniversityUnited StatesExplore,30850,18.1,10%,42 : 58
297,251-300,William & MaryUnited States,7963,11.9,8%,55 : 45
298,251-300,University of WollongongAustraliaExplore,16581,25.5,24%,50 : 50
299,251-300,Yonsei UniversitySouth Korea,22469,11.9,20%,
300,301-350,Aberystwyth UniversityUnited Kingdom,8735,17.1,18%,47 : 53
301,301-350,Aix-Marseille UniversityFrance,74345,19.6,13%,60 : 40
302,301-350,University of Alaska FairbanksUnited States,3875,8.4,7%,52 : 48
303,301-350,Anglia Ruskin University (ARU)United Kingdom,16740,24.5,25%,61 : 39
304,301-350,Bangor UniversityUnited Kingdom,9162,18.3,21%,55 : 45
305,301-350,University of BordeauxFranceExplore,52169,19.5,12%,58 : 42
306,301-350,University of BremenGermany,18904,34.8,11%,50 : 50
307,301-350,Brunel University LondonUnited Kingdom,11646,16.4,39%,46 : 54
308,301-350,Central European UniversityAustria,1298,5.8,77%,51 : 49
309,301-350,Clark UniversityUnited States,3239,11.7,25%,57 : 43
310,301-350,"Colorado State University, Fort CollinsUnited States",23998,16.4,5%,53 : 47
311,301-350,University of ConnecticutUnited States,26109,12.6,7%,51 : 49
312,301-350,University of CreteGreece,14518,26.7,4%,62 : 38
313,301-350,University of DenverUnited States,9568,13.3,10%,57 : 43
314,301-350,University of EssexUnited Kingdom,10154,18.3,44%,54 : 46
315,301-350,Federal University of Toulouse Midi-PyrénéesFrance,93250,23.3,19%,54 : 46
316,301-350,George Mason UniversityUnited States,27337,17.4,8%,54 : 46
317,301-350,University of GeorgiaUnited States,33241,19.5,7%,57 : 43
318,301-350,"Goldsmiths, University of LondonUnited Kingdom",7257,16.5,38%,67 : 33
319,301-350,Grenoble Alpes UniversityFrance,37815,16.3,15%,53 : 47
320,301-350,Gwangju Institute of Science and Technology (GIST)South Korea,1575,10.7,7%,23 : 77
321,301-350,University of InnsbruckAustria,14360,13.3,38%,54 : 46
322,301-350,Justus Liebig University GiessenGermany,27980,46.9,9%,61 : 39
323,301-350,University of KentUnited Kingdom,17080,13.2,29%,53 : 47
324,301-350,Linköping UniversitySweden,18966,8.2,11%,51 : 49
325,301—350,University of LiègeBelgium,21611,27.9,23%,54 : 46
326,301-350,Loughborough UniversityUnited Kingdom,13677,14.9,22%,38 : 62
327,301-350,University of MilanItaly,58990,27.6,5%,59 : 41
328,301-350,Moscow Institute of Physics and Technology (MIPT)Russian Federation,5535,7.8,12%,
329,301-350,Nagoya UniversityJapan,15619,8.0,10%,29 : 71
330,301-350,University of NavarraSpain,10584,14.1,16%,52 : 48
331,301-350,University of Nebraska-LincolnUnited States,22068,16.2,10%,47 : 53
332,301-350,University of OregonUnited States,24268,19.8,13%,52 : 48
333,301-350,Oregon State UniversityUnited States,23464,16.3,10%,46 : 54
334,301-350,University of PaduaItaly,62267,19.1,4%,55 : 45
335,301-350,University of PaviaItaly,22010,38.7,7%,57 : 43
336,301-350,Royal Veterinary CollegeUnited Kingdom,1802,10.3,18%,76 : 24
337,301-350,Sabancı UniversityTurkeyExplore,2999,17.7,8%,39 : 61
338,301-350,Saint Louis UniversityUnited States,11919,5.7,8%,58 : 42
339,301-350,University of StirlingUnited KingdomExplore,8028,15.1,20%,61 : 39
340,301-350,University of StrasbourgFrance,43709,17.2,19%,58 : 42
341,301-350,Swansea UniversityUnited Kingdom,13048,16.5,21%,48 : 52
342,301-350,University of TartuEstonia,9464,12.2,4%,66 : 34
343,301-350,University of TasmaniaAustralia,14838,19.7,18%,58 : 42
344,301-350,TU Dortmund UniversityGermany,30998,100.3,10%,46 : 54
345,301-350,Technion Israel Institute of TechnologyIsrael,13926,19.8,4%,35 : 65
346,301-350,Temple UniversityUnited States,33672,13.3,6%,52 : 48
347,301-350,University of TurkuFinland,12167,15.9,5%,62 : 38
348,301-350,University of VictoriaCanada,18028,22.0,12%,57 : 43
349,301-350,Vrije Universiteit BrusselBelgium,12484,21.8,21%,54 : 46
350,301-350,York UniversityCanadaExplore,46565,40.8,22%,58 : 42
351,351-400,Aston UniversityUnited Kingdom,8563,16.4,32%,48 : 52
352,351-400,Bilkent UniversityTurkey,9761,14.1,4%,46 : 54
353,351-400,SUNY Binghamton UniversityUnited States,16628,23.7,14%,48 : 52
354,351-400,University of CalabriaItaly,30219,36.4,3%,59 : 41
355,351-400,University of CanterburyNew ZealandExplore,11943,16.4,20%,50 : 50
356,351-400,"City, University of LondonUnited Kingdom",12489,16.1,49%,54 : 46
357,351-400,Claude Bernard University Lyon 1France,35944,17.2,8%,50 : 50
358,351-400,University College CorkIreland,15877,22.4,16%,56 : 44
359,351-400,University of CyprusCyprusExplore,7025,22.5,8%,69 : 31
360,351-400,Drexel UniversityUnited States,21153,11.0,18%,49 : 51
361,351-400,University of Eastern FinlandFinland,11098,17.7,6%,63 : 37
362,351-400,Flinders UniversityAustraliaExplore,16465,23.6,16%,63 : 37
363,351-400,Graz University of TechnologyAustria,6312,10.1,16%,23 : 77
364,351-400,University of GuelphCanada,21547,28.4,4%,60 : 40
365,351-400,Hanyang UniversitySouth KoreaExplore,21629,14.1,15%,
366,351-400,Hong Kong Baptist UniversityHong KongExplore,11038,11.1,29%,62 : 38
367,351-400,University of HoustonUnited States,39402,42.5,9%,50 : 50
368,351-400,ITMO UniversityRussian Federation,11875,10.4,10%,
369,351-400,Indian Institute of Technology BombayIndia,9207,16.3,1%,17 : 83
370,351-400,Iowa State UniversityUnited States,32951,18.7,12%,46 : 54
371,351-400,University of KaiserslauternGermany,14226,53.7,15%,37 : 63
372,351-400,University of KansasUnited States,24345,7.6,9%,51 : 49
373,351-400,University of KentuckyUnited States,31225,19.0,6%,53 : 47
374,351-400,Kyung Hee UniversitySouth KoreaExplore,23692,17.3,16%,47 : 53
375,351-400,Kyushu UniversityJapan,18650,6.6,11%,29 : 71
376,351-400,La Trobe UniversityAustralia,22422,29.6,25%,63 : 37
377,351-400,Leibniz University HannoverGermany,23126,61.9,12%,41 : 59
378,351-400,University of MacauMacaoExplore,8981,14.6,33%,58 : 42
379,351-400,Autonomous University of MadridSpain,26969,12.4,16%,60 : 40
380,351-400,University of Milan-BicoccaItaly,32892,65.8,6%,62 : 38
381,351-400,Mizzou - University of MissouriUnited States,30535,11.3,6%,53 : 47
382,351-400,Montpellier UniversityFrance,39313,19.7,14%,54 : 46
383,351-400,Maynooth UniversityIreland,7850,28.8,12%,55 : 45
384,351-400,Norwegian University of Life SciencesNorway,5655,7.3,21%,53 : 47
385,351-400,University of OklahomaUnited States,27054,10.3,6%,52 : 48
