,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Teaching reputation,Institutional income to academic staff,Students to academic staff ratio,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,Proportion of international academic staff,International co-authorship,Proportion of international students
University of Newcastle,46.6,55.5,8.8,46,37.1,72,40,7.5,73,62.9,96.1,77.7,65.8
RMIT University,46.3,31.6,9.3,44.5,42.5,50.3,32.4,6.7,53.3,38.4,99.9,74.5,86.9
National University of Singapore,48.2,80.5,88.3,95.2,42.9,88.6,96.7,85.2,81.3,61.9,99.9,93.4,94
La Trobe University,46.2,63.8,3.2,63.3,30.3,99.3,53.7,4,49.8,58.1,97.1,52.5,88.8
Curtin University,46.3,31.6,7.1,41.5,40.8,63.9,35.6,6.4,60.6,39.5,100,84.8,98.2
University of Canberra,46.1,48.9,2.4,48.9,31.9,85.9,31.2,2.9,68,33.6,50.3,56.2,91.3
University of Tasmania,46.6,41.6,3.2,48.3,47.3,85.8,56.2,4.1,65.4,51.5,93.6,73.5,79.5
The University of Queensland,47.2,91.9,31.7,70.6,29.9,99.6,92.6,35,87.8,76.2,94.8,83.1,88.4
Western Sydney University,46,30.3,2.8,48.9,30.5,87.4,34.1,2.9,62.3,37.1,99.9,80,53.4
University of Sydney,47.3,60.1,49.8,54.8,37.4,98.2,73.4,48,86,67.9,77.4,81,95.2
James Cook University,46.6,39.8,5.1,52.3,36.6,88.9,33.5,5.4,89.1,42.9,90,82,49.8
University of Technology Sydney,46.4,72.2,5.7,63.7,28,98,88.1,5.4,71.7,51,99.8,84.6,98.2
Monash University,47,85.7,34.1,68.3,30.6,99.7,80.5,32.2,80.9,71.5,81.3,78.9,91.2
University of Adelaide,47,85.7,11.3,66.9,30.4,97.7,88.8,9.7,85.3,67.3,93.3,78.2,88.3
Australian Catholic University,45.8,19.9,2.3,45.5,31.7,63.3,29.8,1.8,59.5,35.3,28.7,66.2,40.3
University of Otago,46.9,53.4,15.1,47.2,39.1,86,37.1,10.2,82.2,45.1,99.9,90.2,75.7
University of Auckland,46.7,43.5,21.5,45.6,40.4,86.4,53.5,21.2,73.8,67.3,89.7,89.4,92.6
University of South Australia,46.5,90.3,1.8,52.1,34.2,94.8,77.8,3,63.3,81.6,100,76.1,99.3
The University of Western Australia,46.7,64.8,14.2,57.8,37.2,98.2,85,15.7,90.6,54.5,99.9,88.8,87
Australian National University,48.7,81.8,43.7,65.1,39.8,99.5,99.7,53.5,85.5,61.1,99.7,85.7,97.4
University of Melbourne,49.3,99.9,62.6,65.3,33.7,98.8,88.3,61.3,90.3,70.1,98.8,80.2,99.1
Macquarie University,46.7,70.8,9.4,56.1,31.6,96.8,46.3,9.6,70,41,76.6,74.2,80.1
Griffith University,46.3,39,6.5,44,36.8,91.8,36.7,6.9,77.7,40.7,99,75.3,71.8
Deakin University,46.2,42.3,5.9,50.8,30.8,88.3,28.8,5.3,72,36.2,96.1,69.6,67.5
Queensland University of Technology,46.5,70.9,8.9,55.4,29.5,95.7,79.6,8.8,73,63.2,96.8,74.5,66.1
UNSW Sydney,47.2,68.2,28.3,60.3,33.7,99.6,90.5,32.5,82.8,49.8,99.4,78.2,96.6
University of Wollongong,46.8,66.1,6.8,57.2,33.6,97.8,47.9,6.7,67.1,47.7,99.2,80.7,84.4
Worldwide: Top*,51,100,29.9,77.9,76.2,100,100,26,100,74.4,100,100,100
Worldwide: 75%,48.2,64.8,12.9,53.5,52.6,69.1,58.5,11.1,74.2,50.4,63.6,78.7,67
Worldwide: Median,46.9,39.8,4.2,43.5,43.9,39.5,35.8,3.5,47,38.4,34.5,49.1,38.9
Worldwide: 25%,46.3,24.2,1.5,36.9,36.8,20.1,26.8,1.2,22.9,33.6,25.2,20.4,22.3
Worldwide: Bottom*,45.6,0,0,27,20.4,0.1,0,0,0.8,9.1,0.6,0.7,15.4
