,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Teaching reputation,Institutional income to academic staff,Students to academic staff ratio,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,Proportion of international academic staff,International co-authorship,Proportion of international students
University of Newcastle,41.1,42.6,14.2,45.3,35.3,53,35.9,14.6,67.2,64.4,92.2,66.5,69.1
RMIT University,39.6,30.9,12.3,44.4,40.4,31.6,32.5,8.1,44.6,37,99.9,59.2,87
National University of Singapore,47.9,67.6,83.6,80.2,45.1,82.3,83.4,85.7,79.4,49.8,99.8,91.1,97.7
La Trobe University,39.4,58,8.4,50,29.9,86.9,40.2,5.1,45.4,43.7,98,45.5,90.6
Curtin University,39.2,28.2,4.3,40.9,42,44.8,32.1,8.1,44.6,37.8,99.9,80.2,99.1
University of Canberra,38.2,32.8,2.2,45.2,30.1,59.9,30.4,2.1,29.8,36.2,42.1,35.1,86.4
University of Tasmania,40,38.9,5,46.7,33.6,64.4,46,6.1,68,42.7,88.6,71,77.7
The University of Queensland,46.6,93.3,35.5,68.4,28.1,99,85.3,43.3,82.4,76.7,95.3,81.4,91.1
Western Sydney University,38.2,31.6,6.4,47,28.3,75.8,26,7.1,52.4,30.7,44.7,78.3,39
University of Sydney,45.4,64.3,57.1,51.8,37.4,92.8,64.8,60.9,77.5,72.4,81.7,79.2,92.4
James Cook University,39.6,29.9,2.2,49.5,35.3,66.6,32.2,5.1,81.4,40.7,89.5,74.9,46.7
University of Technology Sydney,38.9,54.4,10.4,59.7,24.6,84.8,65.1,9,66.9,43.4,99.7,74.8,96
Monash University,40.2,79.3,40.9,68.2,25.5,98.5,85.2,37.3,73.3,82.5,93.1,71.1,98.5
University of Adelaide,42.4,71.1,12.3,63.9,29.3,90.5,87.3,12.8,72.4,79.3,92.6,72.5,90.4
University of Otago,41.8,48.6,17.9,44.5,37.2,80.1,34.1,12.8,74.9,31.5,100,91.7,77.9
University of Auckland,41.1,39.2,22.5,44.9,39.1,77.8,46.7,24.3,69.8,78,88.9,90,92.6
University of South Australia,40.1,62,5,50,31.6,79.7,42.9,3.6,41.2,85.9,100,70.3,96.7
The University of Western Australia,42.5,52.6,20.2,53.7,36.7,91.3,82.6,18.9,83.6,64.5,99.8,87.4,90.6
Australian National University,49.6,81.5,48.5,61.5,38.6,96.5,100,63.3,72.3,48,99.6,82.2,98.2
University of Melbourne,45.6,83.8,64.8,58.3,33.6,95.8,72.7,69.6,86.6,64.6,85.6,77.7,98.1
Macquarie University,40.9,42,16.1,44.5,37.6,69.6,32.5,11.4,52.4,33.1,100,70.3,99.8
Griffith University,38.8,32.4,9,43.9,35.2,68.2,32.3,8.5,66.3,34.6,98.5,68.6,77.9
Deakin University,38.3,36.8,8.4,48.5,29.1,68.5,27.1,4.6,66.8,30,96.5,66.6,67.4
Queensland University of Technology,40.2,58.2,12.3,53,26.9,79.3,67.5,10.4,56,73.7,96.1,66.4,65.3
UNSW Sydney,44.8,71.5,28,56.7,31.8,96.5,76.5,32.2,82.1,50,97.6,74.2,96.9
University of Wollongong,41.2,55.8,5.7,51.3,32.2,90.8,40.2,3.6,59.3,57.9,99.6,73.8,87
Worldwide: Top*,64.6,100,39.6,76.9,83.7,100,100,34,100,85.9,100,100,100
Worldwide: 75%,50,63.9,17.3,54.1,54.6,69.5,58.7,15,73.4,52.8,65.7,77.7,67.6
Worldwide: Median,44,41.2,6.4,45,43.1,44,36.9,5.6,47.2,37.4,34,50.7,39
Worldwide: 25%,40,25.8,2.2,38.7,34.8,23,26.7,2.1,23.4,30.7,23.7,20.8,22.5
Worldwide: Bottom*,36.3,0,0,29.4,18.1,1.9,0,0,0.7,28,0,1.3,0.4
