,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Teaching reputation,Institutional income to academic staff,Students to academic staff ratio,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,Proportion of international academic staff,International co-authorship,Proportion of international students
University of Newcastle,43.1,58.1,12.9,42.5,31.6,71.1,40.4,10.3,73.5,63.7,97,73.9,68.4
RMIT University,41.7,29.2,9.9,39,40.8,46.6,35,7.2,53.6,40,99.9,68.7,88.3
National University of Singapore,50.1,79.2,86.6,99.7,42.2,87.3,92.1,85,79.7,61.3,99.8,91.8,96.3
La Trobe University,41.4,61.8,5.9,59.5,25.5,93.1,42.5,4.3,49,45.5,97.4,51,87.7
Curtin University,41.3,30.3,7,34,38.4,59.2,34.9,7.7,52.1,39.5,99.9,83.3,98.3
University of Canberra,40.5,41.6,2.9,45.5,24.6,79.8,35.6,2.5,50.8,35,40.1,47.7,92.3
University of Tasmania,43,38.9,4.7,47.8,36,79,53.9,5,66.3,51.7,91.6,71.3,69
The University of Queensland,46.8,95.7,34.3,88.1,22.4,99.6,87.4,37.8,86.1,70.6,95.1,83.2,87.5
Western Sydney University,40.2,26.4,4.9,43.6,26.1,78.3,30.5,4.4,57.9,35.6,99.2,79.3,54.1
University of Sydney,46.1,56.9,53.8,53.2,37.2,92.4,66,52.5,83.2,63.9,78.8,79.5,92.9
James Cook University,42.5,33.7,5,61.1,31.4,59,32.9,6.6,84.2,43.2,89,80.6,52.9
University of Technology Sydney,41.2,57.7,7.8,76,19.5,95.1,82.4,7.5,73.8,44.2,99.8,79.2,97.9
Monash University,43.4,87.7,37.2,89.1,22.8,99.8,84.1,34.4,78.5,76,98.7,74.9,87.8
University of Adelaide,44.6,83.5,14.5,80.2,25.4,93.8,88.1,12.6,78.8,67.5,93,75.2,90.6
Australian Catholic University,39.3,19.7,2.8,39.1,24.5,50.6,30.1,2.6,44.2,35.4,22.8,57,41.1
University of Otago,43.7,48.6,17.6,46.1,35.2,84.2,35.5,11.3,80,35.6,99.9,89.5,76.5
University of Auckland,43.3,47.3,22.7,42.1,37.5,84.3,50.6,23,75.8,70.5,89.1,89.2,93.1
University of South Australia,42.2,84.5,3.8,55.4,25.5,91.1,49,3.2,58.4,82.9,100,73.5,96.7
The University of Western Australia,42.6,54.5,16.9,67.4,31.2,97.2,78.2,16.4,89,48.8,100,88.6,90.2
Australian National University,50.5,83.8,44.3,79.2,35.6,99.4,99.9,56.8,81.7,53.5,99.7,84.1,97.9
University of Melbourne,53.9,99.4,62.2,79.7,29.3,98,80.1,63.3,88,63.7,87.6,78.8,98.5
Macquarie University,43.1,70.7,12.9,67.9,23.6,98.8,49.4,11.4,62.3,41.3,67.8,72.5,84.7
Griffith University,41.5,38.8,7.9,39.2,32.1,85.3,36.4,6.9,74.8,41.3,98.7,73.1,75
Deakin University,41.1,45.7,6.5,51.2,24.5,81,28.7,4.2,75.5,34.1,96.6,68.5,65.3
Queensland University of Technology,42.2,60.5,10.5,61.2,22,89.9,69.4,10.1,67.4,58.9,96.3,70.7,66.8
UNSW Sydney,46.2,74.6,30.6,71.7,27.9,99.1,90.2,34.5,81.4,49.7,99.3,77.4,96.3
University of Wollongong,43.8,66.8,5.7,60.8,28.6,94.3,47.4,6.2,64.1,49.2,99.7,76.8,84.6
Worldwide: Top*,62.3,100,35.4,100,94,100,100,30.9,100,74,100,100,100
Worldwide: 75%,49.9,63.7,15.3,62.7,56.8,69.6,56.8,13.3,73.7,50.2,64.5,78.6,68
Worldwide: Median,44.4,41.4,5.1,39.4,42,39.3,36.7,4.2,48.4,38.9,34.5,50,39.8
Worldwide: 25%,41.6,24.7,1.7,26.6,31.7,20.5,26.8,1.5,23.3,34.2,24.7,20.4,22.2
Worldwide: Bottom*,38.8,0,0,4.1,10.9,0,0,0,0.7,32.1,1.1,0.5,2.5
